District,Total Branch,SC Disb No.,SC Disb Amt,SC O/S No.,SC O/S Amt,ST Disb No.,ST Disb Amt,ST O/S No.,ST O/S Amt
Baksa,53,877,1540.27,4952,5124.36,3291,8422.69,17079,23332.04
Barpeta,121,4042,4270.42,18460,12292.78,1850,4015.46,7970,9940.55
Biswanath,56,2453,2729.15,10187,7773.89,1847,1861.58,13284,8627.5
Bongaigaon,55,2648,3837.68,9270,9596.15,1274,4344.28,5861,11737.1
Cachar,158,18022,15921.65,52871,37650.58,1815,3629.03,9339,11614.16
Charaideo,33,528,461.94,1701,1475.35,447,630.69,1487,1714.43
Chirang,34,1411,1539.34,4154,3909.91,3075,8961.58,16248,23526.43
Darrang,70,987,1512.11,4758,4059.88,646,1138.48,3796,3978.55
Dhemaji,45,1145,1835.4,6033,6046.57,6301,14254.11,25894,36889.54
Dhubri,83,2485,2760.61,12282,9251.68,630,1414.4,3062,3847.59
Dibrugarh,182,4617,5810.77,17982,18556.69,5461,9521.29,19982,27663.18
Dima Hasao,28,177,485.07,1418,2324.1,1669,5895.67,5493,13605.63
Goalpara,67,1637,77112.68,6575,5637.51,3682,5414.42,18053,16112.52
Golaghat,115,4828,4381.07,18083,13401.96,4173,4905.47,18069,15748.12
Hailakandi,44,3154,3017,9132,7253.66,206,310.57,1865,1813.98
Hojai,59,3516,3432.91,15072,10555.85,962,1917.82,5774,5779.84
Jorhat,135,3528,4534.46,16402,14092.75,3079,5212.46,17880,16787.3
Kamrup Metro,167,5672,6104.81,25532,18011.1,5502,7003.07,22545,19506.91
Karbi Anglong,64,583,1643.4,1859,4053.06,8025,18305.59,22496,42635.45
Karimganj,87,9741,8252.16,27360,16956.7,723,846.06,3712,2968.4
Kokrajhar,52,1550,2372.34,5108,5690.17,7109,25370.88,26490,58408.21
Lakhimpur,87,3023,3541.01,19350,16107.34,6627,12461.93,29377,36444.21
Majuli,14,199,521.17,1581,1334.16,505,1421.92,3445,3815.1
Morigaon,67,2802,2308.93,14850,9408.02,3709,3267.75,19093,12295.83
Nagaon,149,6256,6760.52,30925,22117.47,4749,4952.35,19757,15651.59
Nalbari,83,1347,2004.85,8880,7026.15,822,1616.29,5499,5914.74
Sivasagar,94,2614,3640.33,10285,10462.94,1798,3942.17,7424,9795.45
Sonitpur,122,3438,3793.42,16369,13311.21,3688,5405.37,17843,16890.65
South Salmara,11,21,87.75,92,179.6,17,78.06,78,157.21
Tinsukia,147,2276,2980.89,8878,10311.53,3217,5403.66,12216,17538.95
Udalguri,46,919,1306.65,3947,3587.73,6174,10992.27,35008,41071.13
West Karbi Anglong,22,90,265.87,1518,1091.66,1257,3727.86,4476,10423.79
