District,Total Branch,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amt,Number of rupay card Issued,KCC Card activated,KCC Animal Husbandry Issued (Incl Renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount,AH Number of rupay card Issued,AH Card Activated,KCC Fisheries Issued (Incl Renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total No. of KCC,Fishery Outstanding amount,Fishery Number of rupay card Issued,Fishery Card Activated
Baksa,53,2447,2205.68,18789,12125.41,8618,7185,18,13.84,117,212.4,18,16,4,3.49,19,24.37,12,11
Barpeta,121,10400,13494.46,60673,36872.76,26210,17826,79,52.02,424,590.39,34,32,62,110.21,278,398.34,43,29
Biswanath,56,4067,3881.19,25044,15396.33,10554,8324,71,80.3,250,317.39,21,20,6,3.69,11,40.86,3,3
Bongaigaon,55,1550,1847.21,13893,8889.42,6648,5483,24,19.75,194,238.38,2,1,45,58.22,150,134.88,2,2
Cachar,158,6745,5540.89,48395,28808.43,28164,25250,55,51.39,1516,2049.66,5,4,86,98.3,449,402.01,69,65
Charaideo,33,901,614,10155,6293.15,6045,5870,25,17.24,219,297.39,1,1,24,24.36,87,71.79,3,3
Chirang,34,3331,2838.8,18222,10780.24,10891,9785,6,9,120,166.17,2,2,7,11.24,13,59.5,1,1
Darrang,70,4306,4197.63,38176,21443.37,18746,14624,137,211.43,386,468.88,7,7,205,123.09,555,456.46,29,23
Dhemaji,45,4593,5448.59,27652,16818.96,12974,9089,35,30.48,430,487.07,26,26,19,11.29,79,88.22,15,15
Dhubri,83,2270,2387.43,28575,16111.19,14359,10965,22,19.7,521,747.09,18,18,49,155.22,71,333.5,0,0
Dibrugarh,182,13700,15276.16,77767,47161.22,36052,24415,45,36.3,779,1044.26,36,34,37,52.32,129,115.07,4,1
Dima Hasao,28,268,177.23,1842,628.83,867,750,8,5.43,90,63.18,58,53,0,0,4,2.85,3,3
Goalpara,67,4545,3054.32,25267,12758.91,15118,13575,19,15.33,403,449.84,5,4,73,104.79,448,346.58,7,6
Golaghat,115,8475,8076.66,62788,32871.32,27971,15595,36,31.66,540,774.84,9,6,18,26.98,40,47.75,5,3
Hailakandi,44,1587,889.26,18376,9690.83,10522,9821,24,19.56,394,489.58,9,9,9,21.58,29,48.25,4,4
Hojai,59,2406,2029.41,21503,11802.97,12971,10605,45,36.86,462,801.51,1,0,12,27.61,37,144,0,0
Jorhat,135,5567,5026.88,46989,22993.35,24326,13559,47,50.08,677,846.44,20,17,37,39.93,172,128.64,5,3
Kamrup Metro,167,11600,7856.82,76309,40178.92,37394,27010,47,55.61,596,919.88,20,12,39,53.66,242,261.55,17,10
Karbi Anglong,64,7894,5389.01,28824,14162.55,5155,3831,65,52.12,137,138.79,2,2,42,15.64,57,38.05,2,2
Karimganj,87,1707,1036.05,28120,16589.52,16093,15007,33,32.96,1158,1527.32,7,7,49,56.65,140,285.4,26,26
Kokrajhar,52,2361,3673.14,23548,15611.1,10363,9788,9,10.93,156,183.72,0,0,41,15.61,88,53.54,0,0
Lakhimpur,87,9849,10826.54,62085,36791.75,24615,19114,62,45.35,974,1323.94,54,37,86,63.91,234,352.58,4,3
Majuli,14,354,367.11,5055,2478.18,3327,2496,12,8.16,56,98.89,0,0,18,23.87,77,64.33,10,10
Morigaon,67,3642,3340.84,39254,24781.39,23028,20170,192,233.32,1290,1522.99,88,61,159,60.87,256,266.93,57,44
Nagaon,149,11614,13348.06,97878,50309.52,41908,33700,215,184.75,1537,2147.89,81,78,578,100.48,789,1401.87,73,67
Nalbari,83,4724,2847.36,42161,17781.28,14118,11795,86,66.29,594,611.3,94,87,21,37.95,150,150.24,31,26
Sivasagar,94,3316,2714.79,31221,15196.91,13412,9720,37,32.02,480,550.65,7,7,67,177.75,227,396.92,103,101
Sonitpur,122,6518,5597.52,33806,20858.49,17444,14672,70,93.05,535,719,57,52,27,49.01,134,298.94,5,5
South Salmara,11,42,35.48,2271,802.4,895,851,1,1.19,1,0,0,0,1,0,16,14.91,6,6
Tinsukia,147,11131,15119.28,57064,38015.61,28412,23473,122,120.87,1023,1449.29,38,38,33,45.3,100,152.59,2,2
Udalguri,46,4829,4800.39,32302,20899.97,14949,13293,9,8.13,121,136.75,4,4,18,20.25,146,115.26,0,0
West Karbi Anglong,22,1191,766.78,10511,4277.12,811,414,0,0,7,4.28,0,0,1,0.5,1,0.36,0,0
