District,Total Branch,Inactive CSPs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenticated SB accounts,RuPay card issued in KCC
Baksa,53,12,197053,174304,29933,10662
Barpeta,121,23,624575,491263,97610,27684
Biswanath,56,9,132938,135254,32227,13501
Bongaigaon,55,5,193188,157960,41168,5503
Cachar,158,24,277123,217836,101042,15881
Charaideo,33,5,41901,29622,7843,4142
Chirang,34,9,153861,140193,16393,8522
Darrang,70,18,247624,210999,45521,16754
Dhemaji,45,16,289489,290055,31649,12541
Dhubri,83,18,393131,367296,65525,14468
Dibrugarh,182,24,276893,325420,95599,28338
Dima Hasao,28,2,23348,19154,23573,250
Goalpara,67,16,228584,207085,28849,14041
Golaghat,115,23,213283,235949,75932,22341
Hailakandi,44,20,152141,122207,36283,8022
Hojai,59,12,229385,205877,82843,10203
Jorhat,135,19,169948,153096,59626,22195
Kamrup Metro,167,27,402042,331185,76147,31835
Karbi Anglong,64,8,104940,65800,30550,4678
Karimganj,87,21,160633,155520,40836,4557
Kokrajhar,52,5,223303,198951,30781,12135
Lakhimpur,87,9,277778,291347,48910,22234
Majuli,14,0,24452,19692,6000,2871
Morigaon,67,18,145120,101151,63260,14865
Nagaon,149,31,536252,483452,287242,24960
Nalbari,83,11,145125,123613,50266,14518
Sivasagar,94,8,113944,132952,39368,9669
Sonitpur,122,14,280239,223884,126606,16573
South Salmara,11,7,81850,75830,11580,1624
Tinsukia,147,31,223623,173208,92023,25154
Udalguri,46,24,229264,210313,15228,14597
West Karbi Anglong,22,4,28645,27685,3387,775
