district,Total Branch,Micro No.,Micro Amt.,Small No.,Small Amt.,Medium No.,Medium Amt.,Other MSME No.,Other MSME Amt.,MSME Total O/S No.,MSME Total O/S Amount
Baksa,53,17266,14380.97,117,2124.37,2,556.8,1016,553.08,18401,17615.22
Barpeta,121,32162,45568.42,1071,14609.18,42,1084.93,1694,708.13,34969,61970.66
Biswanath,56,12697,11797.01,381,6400.94,28,3210.45,1177,752.43,14283,22160.83
Bongaigaon,55,14382,23168.41,1129,17882.77,43,2798.68,1607,750.72,17161,44600.58
Cachar,158,35790,67149.62,1882,32284.06,89,5465.99,845,820.35,38606,105720.02
Charaideo,33,5239,8025.18,138,2371.52,4,48.53,23,18.82,5404,10464.05
Chirang,34,9769,9110.2,131,2254.13,9,1349.48,687,485.63,10596,13199.44
Darrang,70,16306,21916.44,472,7725.59,11,148.54,508,393.28,17297,30183.85
Dhemaji,45,18704,14516.73,371,4834.03,2,45.7,601,343.62,19678,19740.08
Dhubri,83,17470,18959.07,534,8905.35,7,626.59,122,119.59,18133,28610.6
Dibrugarh,182,43779,89912.25,2528,64366.18,142,9009.07,1122,586.28,47571,163873.78
Dima Hasao,28,2662,3143.77,82,427.71,0,0,2,1.22,2746,3572.7
Goalpara,67,19440,16431.1,278,5715.34,10,885.48,426,336.24,20154,23368.16
Golaghat,115,22514,28994.26,1178,17984.76,23,833.99,1701,1024.92,25416,48837.93
Hailakandi,44,7761,11540.09,280,4856.43,8,304.23,359,240.8,8408,16941.55
Hojai,59,14907,15759.29,438,4611.76,3,9.63,263,175.88,15611,20556.56
Jorhat,135,30968,62057.35,1778,40928.09,133,16721.49,913,445.48,33792,120152.41
KARIMGANJ,87,14684,22277.99,530,7476.91,23,919.65,1110,924.96,16347,31599.51
Kamrup,167,54346,62517.12,1886,23683.22,243,8931.06,1947,1466.27,58422,96597.67
Kamrup Metro,416,92507,463552.96,14517,455609.27,1284,214300.31,1603,6887.4,109911,1140349.94
Karbi Anglong,64,14214,9218.5,145,2163.59,3,106.15,74,41.1,14436,11529.34
Kokrajhar,52,8965,12300,227,4288.21,21,275.37,235,200.37,9448,17063.95
Lakhimpur,87,32518,35846.86,958,13687.51,14,171.49,4392,2788.72,37882,52494.58
Majuli,14,3247,4465.72,50,593.27,0,0,453,254.47,3750,5313.46
Morigaon,67,13710,18563.19,347,3733.58,11,928.92,510,284.94,14578,23510.63
Nagaon,149,29986,48360.7,1564,25271.3,72,4869.92,540,279.93,32162,78781.85
Nalbari,83,22285,22831.59,442,8308.23,18,202.6,843,675.77,23588,32018.19
Sivasagar,94,21077,34730.05,1230,21515.35,33,4996.95,1114,660.51,23454,61902.86
Sonitpur,122,28299,51247.49,1814,27889.91,140,5992.43,581,482.99,30834,85612.82
South Salmara,11,1484,2188,17,310.66,0,0,31,103.9,1532,2602.56
Tinsukia,147,30042,64741.05,1782,40149.31,66,5952.27,799,595.8,32689,111438.43
Udalguri,46,13833,12727.9,68,1045.11,1,0.6,636,676,14538,14449.61
West Karbi Anglong,22,1631,594.56,5,50.99,5,3.65,3,0.88,1644,650.08
