district,Total Branch,Micro TL A/C,Micro TL Amt,Micro WC A/C,Micro WC Amt,Small TL A/C,Small TL Amt,Small WC A/C,Small WC Amt,Medium TL A/C,Medium TL Amt,Medium WC A/C,Medium WC Amt,KVIC TL A/C,KVIC TL Amt,KVIC WC A/C,KVIC WC Amt,Others under MSMEs A/C,Others under MSMEs Amt,Tot MSME (PS) Disb No.,Tot MSME (PS) Disb Amt
Baksa,53,2167,2476.57,338,979.51,128,720.6,40,499.85,0,0,8,1572.7,39,62.16,7,7.15,474,581.4,3201,6899.94
Barpeta,121,5198,11153.44,1182,8894.36,514,5365.52,182,3344.81,41,556.92,52,1028.35,96,252.43,55,134.04,914,783.51,8234,31513.38
Biswanath,56,1920,5426.67,360,1849.73,212,2595.15,134,628.57,1,37.5,1,12.5,22,50.06,0,0,629,775.31,3279,11375.49
Bongaigaon,55,2859,8444.65,510,3471.28,302,7111.82,64,2339.22,15,434,28,1664.97,17,29.26,6,8.45,718,1261.59,4519,24765.24
Cachar,158,4855,15493.29,1411,7503.02,1049,11401.9,289,7800.27,60,2091.19,133,5526.88,66,259.74,29,90.39,641,1209.1,8533,51375.78
Charaideo,33,834,1723.54,237,839.09,117,966.23,15,156.51,9,72.95,13,85.07,5,14.72,0,0,10,8.72,1240,3866.83
Chirang,34,1657,1813.17,271,653.32,64,1708.36,16,404.97,1,477.18,1,159.06,36,41.87,1,0.86,332,383.62,2379,5642.41
Darrang,70,2751,5231.47,636,3843.26,197,2037.5,104,1237.55,7,47.27,10,78.58,51,95.18,7,15.94,273,592.22,4036,13178.97
Dhemaji,45,3470,3787.93,472,1622.87,187,898.5,92,665.73,19,249.26,38,392.98,30,63.42,0,0,415,448.23,4723,8128.92
Dhubri,83,3489,6051.18,681,2661.1,314,4892.33,67,1175.38,1,0.5,0,0,25,37.54,5,9.16,130,845.39,4712,15672.58
Dibrugarh,182,5738,21988.5,1984,12618.05,624,13033.53,407,9568.23,41,803.55,18,1079.72,14,69.82,0,0,510,2220.65,9336,61382.05
Dima Hasao,28,658,570.67,131,290.76,39,155.09,9,66.07,7,48.4,7,80.44,23,56.36,3,14.2,6,21.18,883,1303.17
Goalpara,67,2446,3386.76,496,1499.76,191,1484.84,48,540.07,21,232.32,61,1170.8,37,57.07,4,5.7,240,641.02,3544,9018.34
Golaghat,115,3052,6816.75,828,3049.92,566,4477.21,220,3068.45,16,761.55,30,498.54,12,33.88,0,0,840,994.14,5564,19700.44
Hailakandi,44,1906,3762.97,441,2186.58,167,1172.25,56,1967.52,9,56.37,12,67.66,83,184.76,7,19.25,186,213.39,2867,9630.75
Hojai,59,2177,4288.63,602,2385.3,268,2494.79,73,888,16,112.59,21,198.47,26,71.63,16,28.46,119,463.72,3318,10931.59
Jorhat,135,3388,12282.76,1036,7755.13,585,9215.68,254,5855.56,57,4172.29,36,1555.97,9,21.15,0,0,447,1410.21,5812,42268.75
KARIMGANJ,87,1614,3072.82,701,4425.8,373,2962.79,103,1324.02,22,189.76,25,304.5,63,170.6,7,14.97,694,1184.15,3602,13649.41
Kamrup,167,5663,10383.96,1735,9316.18,553,5874.91,223,6424.6,29,472.34,40,570.58,108,179.59,51,58.49,941,1107.74,9343,34388.39
Kamrup Metro,416,13825,99704.29,3631,74540.85,1963,94174.78,1370,87424.38,233,52928.64,227,52860.58,82,225.09,50,143.1,924,10629.28,22305,472630.99
Karbi Anglong,64,4536,3231.79,509,1241.28,56,693.23,15,362.18,0,0,0,0,21,42.36,0,0,43,45.87,5180,5616.71
Kokrajhar,52,1603,2938.2,370,1336.1,135,1933.86,14,327.47,1,6,3,9.62,76,130.07,49,92.73,36,47.11,2287,6821.16
Lakhimpur,87,4983,7144.8,1047,5187.21,539,4221.33,194,3556.12,29,756.61,37,601.73,30,60.55,1,5,2204,2323.02,9064,23856.37
Majuli,14,480,697.53,42,183.79,46,369.49,13,90.65,0,0,0,0,0,0,0,0,237,210.14,818,1551.6
Morigaon,67,1764,3031.28,430,2352.96,229,1199.33,82,1852.86,28,372.46,42,1479.23,32,73.65,1,0.72,440,692.86,3048,11055.35
Nagaon,149,4432,10396.76,978,5828.54,671,7723.09,281,6755.25,50,885.48,42,574.12,103,313.64,74,157.26,338,665.41,6969,33299.55
Nalbari,83,2320,4860.66,546,3495.03,212,1644.26,79,2791.35,7,77.44,9,2126.75,59,114.21,4,5.23,405,599.16,3641,15714.09
Sivasagar,94,3463,8134.03,1090,4806.87,281,3655.32,147,3407.86,22,1578.16,24,396.01,26,73.19,0,0,547,588.15,5600,22639.59
Sonitpur,122,4259,13474.62,1220,6380.5,543,11347.41,152,4900.61,54,2455.06,52,2006.48,111,313.98,51,117.31,281,654.24,6723,41650.21
South Salmara,11,280,639.21,48,95.09,16,461.68,0,0,0,0,0,0,11,16.06,0,0,1,6.5,356,1218.54
Tinsukia,147,4966,17325.6,1671,11399.07,504,8865.26,298,12581.75,38,2354.95,32,5801.79,28,46.02,0,0,355,1193.71,7892,59568.15
Udalguri,46,1573,1998.76,322,1098.72,86,547.45,17,173.48,14,164.66,23,259.56,17,51.11,0,0,552,694.56,2604,4988.3
West Karbi Anglong,22,355,160.49,136,65.78,3,35.62,0,0,6,5.86,0,0,0,0,0,0,2,0.95,502,268.7
