district,Total Branch,Export Credit A/C,Export Credit Amt,Education (PS) A/C,Education (PS) Amt,Housing (PS) A/C,Housing (PS) Amt,Social Infrastructure A/C,Social Infrastructure Amt.,Renewable Energy A/C,Renewable Energy Amt,Informal Credit A/C,Informal Credit Amt,Total Other PS Disb No.,Total Other PS Disb Amt.,Loans to weaker No,Loans to weaker Amt
Baksa,53,0,0,21,42.55,152,1061.75,179,58.47,50,140.76,1932,1191.64,2334,2495.17,5238,4495
Barpeta,121,0,0,148,206.9,491,3243.3,28,17.51,89,178.55,16581,9238.2,17337,12884.46,28070,22062.17
Biswanath,56,0,0,58,80.66,169,1084.27,0,0,84,155.92,6056,4055.04,6367,5375.89,9918,5784.85
Bongaigaon,55,1,0.31,43,138.39,464,2867.16,191,113.58,57,102.86,8517,4585.58,9273,7807.88,13541,10316.98
Cachar,158,0,0,385,359.82,1228,4902.03,1460,400.02,469,747.9,45407,29947.79,48949,36357.56,37096,23398.26
Charaideo,33,0,0,17,16.84,75,718.67,0,0,70,98.36,2997,1694.03,3159,2527.9,5028,3037.69
Chirang,34,0,0,19,43.8,187,600.31,7,2.37,54,138.77,5144,2981.42,5411,3766.67,6947,5132.79
Darrang,70,0,0,123,155.15,461,1753.52,11,3.49,115,232.77,8714,5140.17,9424,7285.1,12630,10731.83
Dhemaji,45,0,0,66,111.98,474,1991.53,1,95,64,183.5,3860,2373.92,4465,4755.93,9801,7309.87
Dhubri,83,0,0,75,100.91,491,2420.68,14,3.36,118,256.67,18127,9797.71,18825,12579.33,20168,14643.24
Dibrugarh,182,0,0,288,460.42,679,4158.6,1,10,348,739.29,19368,10764.89,20684,16133.2,44198,29716.98
Dima Hasao,28,0,0,9,15.83,43,460.46,0,0,500,3172.19,8,13,560,3661.48,306,639.98
Goalpara,67,0,0,41,69.51,214,1550.83,257,90.72,83,203.01,7785,4668.02,8380,6582.09,11755,9480.77
Golaghat,115,1,0.11,149,245.53,321,2379.39,1,4,332,577.86,19165,11435.42,19969,14642.31,32034,18910.16
Hailakandi,44,0,0,17,22.09,120,461.68,2,4,119,203.29,7812,4626.19,8070,5317.25,7590,4791.54
Hojai,59,0,0,55,94.28,131,897.67,0,0,52,113.95,9333,6682.72,9571,7788.62,11733,8808.79
Jorhat,135,0,0,320,591.63,741,4932.67,2,1.31,238,419.77,12512,6752.19,13813,12697.57,25689,17144.78
Kamrup Metro,167,0,0,570,797.82,904,4806.77,19,22.5,152,372.78,25647,16428.13,27292,22428,35988,24222.1
Karbi Anglong,64,0,0,39,55.52,456,2915.62,43,50.28,1163,7627.46,1940,959.06,3641,11607.94,12406,7398.6
Karimganj,87,0,0,26,42.35,279,1197.01,188,71.31,224,577.18,18642,11008.48,19359,12896.33,16229,10060.67
Kokrajhar,52,0,0,38,85.07,185,1258.06,587,968.13,106,238.65,10648,5320.99,11564,7870.9,13288,9877.7
Lakhimpur,87,0,0,135,229.65,788,5270.73,2,0.57,90,203.48,8355,5234.39,9370,10938.82,23172,18297.04
Majuli,14,0,0,15,17.2,46,538.8,0,0,11,32.65,27,79,99,667.65,712,1095.88
Morigaon,67,0,0,29,69.99,195,1136,1,0.95,103,255.46,8438,5709.76,8766,7172.16,15044,10016.87
Nagaon,149,0,0,104,162.52,595,3946.36,19,6.47,299,644.02,23142,16245.09,24159,21004.46,37389,28665.21
Nalbari,83,0,0,126,165.13,433,3201.48,47,28.32,105,242.5,6901,4316.51,7612,7953.94,10956,9298.38
Sivasagar,94,0,0,106,204.25,405,2892.92,1,0.37,270,478.27,11360,6303.46,12142,9879.27,23341,14769.66
Sonitpur,122,0,0,188,416.99,651,4171.72,34,11,97,149.94,12558,8653.14,13528,13402.79,21089,16352.57
South Salmara,11,0,0,3,4.21,64,282.98,0,0,3,2.29,4,4.68,74,294.16,396,964.99
Tinsukia,147,0,0,232,404.46,397,3351.58,0,0,115,185.17,14340,8607.7,15084,12548.91,27610,20674.17
Udalguri,46,0,0,129,162.22,344,2270.95,283,80.06,60,166.03,2265,1367.95,3081,4047.21,8743,7031.08
West Karbi Anglong,22,0,0,8,21.25,101,420,0,0,290,1619.87,1,0.05,400,2061.17,915,667.08
