District,Total Branch,KCCs for AH and Allied Activities No.,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No.,Farm Mechanisation Amt,Poultry No.,Poultry Amt,fisheries no,fisheries Amt,Godown No.,Godown Amt,Clinic No.,Clinic Amt,Other No.,Other Amt,Total IC- Agri Disb No.,Total IC- Agri Disb Amt
Baksa,53,86,50.74,40,35.27,40,30.14,123,43.85,44,906.62,7,2.25,0,0,0,0,259,389.35,599,1458.22
Barpeta,121,143,170.19,634,259.06,387,327.48,2082,798.62,366,295.15,116,76.41,0,0,4,7.1,1700,2196.82,5432,4130.83
Biswanath,56,121,126.18,106,228.16,33,17.85,55,54.88,73,48.8,14,23.83,0,0,3,4.5,258,1097.91,663,1602.11
Bongaigaon,55,41,72.06,804,106.39,367,254.49,579,181.97,107,103.22,17,18.64,1,77.26,4,5.8,1066,1313.04,2986,2132.87
Cachar,158,193,262.55,925,322.07,492,503.39,227,165.65,288,459.47,147,126.27,1,600,0,0,1692,1570.37,3965,4009.77
Charaideo,33,82,80.84,46,47.43,13,32.22,21,19.12,42,27.76,3,4.82,0,0,0,0,36,72.72,243,284.91
Chirang,34,48,24.83,18,24.03,4,1.7,6,12.23,20,20.17,4,3.7,0,0,5,10.85,8,30.13,113,127.64
Darrang,70,179,165.74,111,159.06,75,63.3,1190,475.34,65,51.58,59,48.66,1,1.44,10,15.3,989,1167.93,2679,2148.35
Dhemaji,45,115,77.48,89,102.88,76,36.82,1645,458.62,146,77.26,9,7.79,0,0,8,12.95,511,243.74,2599,1017.54
Dhubri,83,204,79.52,124,148.83,85,119.06,141,109.21,112,98.82,10,11.17,1,39.3,0,0,181,282.56,858,888.47
Dibrugarh,182,242,242.23,250,124.27,485,384.68,1570,405.96,307,256.46,177,174.4,0,0,2,3,1572,5084.72,4605,6675.72
Dima Hasao,28,13,20.39,25,23.53,3,3.26,8,16.03,5,4.63,0,0,0,0,0,0,128,159.3,182,227.14
Goalpara,67,192,54.8,103,127.68,91,35.1,499,131.33,147,104.78,17,5.91,0,0,6,7.95,250,355.86,1305,823.41
Golaghat,115,99,157.49,248,185.02,37,44.29,1657,552.27,111,95.4,11,6.61,2,220.09,2,3,933,2220.01,3100,3484.18
Hailakandi,44,105,126.38,58,105.66,101,125.04,19,60.66,142,143.32,11,7.89,1,810,9,12.5,533,462.08,979,1853.53
Hojai,59,54,115.52,143,143.99,20,28.37,445,159.21,78,59.61,9,13.29,0,0,4,6.25,230,426.73,983,952.97
Jorhat,135,119,144.22,215,80.89,87,119.12,625,186.47,120,112.37,22,40.28,1,2,5,11,1036,2816.38,2230,3512.73
Kamrup Metro,167,236,217.6,1040,404.15,2015,938.03,3259,1051.69,558,668.95,68,46.15,0,0,2,1.85,1819,1917.97,8997,5246.39
Karbi Anglong,64,68,45.61,13,18.75,43,13.94,355,116.47,34,38.98,20,16.53,0,0,0,0,275,983.67,808,1233.95
Karimganj,87,77,142.8,216,271.06,39,40.14,117,171.32,119,70.03,13,19.35,0,0,9,9.89,241,471.94,831,1196.53
Kokrajhar,52,138,21.89,28,17.38,223,139.79,30,9.03,155,154.96,14,127.75,0,0,1,9.18,80,68.06,669,548.04
Lakhimpur,87,126,207.05,254,248.34,141,98.64,1526,413.74,291,299.45,69,139.57,0,0,10,10.28,382,554.69,2799,1971.76
Majuli,14,20,22.51,28,33.15,0,0,6,9.47,10,20.05,9,4.75,0,0,0,0,8,15.08,81,105.01
Morigaon,67,401,355.73,209,161.72,241,249.75,370,183.71,120,73.63,193,231.95,0,0,8,15.17,560,698.03,2102,1969.69
Nagaon,149,317,380.78,386,469.68,138,98.4,3499,991.77,379,266.81,70,130.87,2,64.98,9,12,1339,1593.17,6139,4008.46
Nalbari,83,349,143.2,169,137.36,245,184.49,3032,791.21,300,185.58,140,31.3,0,0,2,3.5,826,1367.48,5063,2844.12
Sivasagar,94,194,141.73,427,143.65,456,247.74,1415,360.13,530,489.3,48,33.82,0,0,5,0,741,1631.47,3816,3047.84
Sonitpur,122,495,267.17,168,187.16,90,71.98,1816,495.66,356,286.63,37,29.34,0,0,4,3,618,1093.45,3584,2434.39
South Salmara,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinsukia,147,247,293.19,318,146.71,474,520.98,2477,601.71,190,275.47,19,15.39,0,0,4,6.45,1038,6271.53,4767,8131.43
Udalguri,46,104,17.38,10,16,7,7.87,10,8.6,145,66.76,8,11.16,0,0,0,0,33,33.22,317,160.99
West Karbi Anglong,22,2,2.02,0,0,4,1.42,0,0,1,3.98,1,1.37,0,0,0,0,16,25.17,24,33.96
