district,Total Branch,CY SANCTION A/C No.,CY SANCTION Amt.,CY DISBURSED A/C No.,CY DISBURSED Amt.,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA No.,PMEGP NPA Amt.,PMEGP NPA Amt. %
Baksa,53,253,823.44,250,480.71,1333,2076.51,884,1178.92,56.77
Barpeta,121,292,815.32,281,622.04,1791,3057.77,833,1324,43.3
Biswanath,56,79,200.56,85,194.31,380,533.3,175,228.34,42.82
Bongaigaon,55,84,244.51,84,192.47,689,882.82,394,499.53,56.58
Cachar,158,101,453.48,109,433.49,1779,2454.67,695,916.49,37.34
Charaideo,33,19,53.81,14,32.66,399,581.86,170,288.95,49.66
Chirang,34,59,116.32,67,98.04,1479,1785.44,1197,1389.59,77.83
Darrang,70,108,288.6,114,265.6,974,1508,644,930.37,61.7
Dhemaji,45,153,484.59,182,433.96,940,2086.28,403,752.14,36.05
Dhubri,83,258,760.06,287,610.7,1935,2737.09,1107,1339.47,48.94
Dibrugarh,182,195,566.69,199,457.02,1479,2738.23,645,958.36,35
Dima Hasao,28,58,172.43,52,126.83,264,416.18,55,57.1,13.72
Goalpara,67,62,143.93,67,112.52,1085,1235.34,625,767.89,62.16
Golaghat,115,171,442.37,204,383.25,1265,1873.23,551,806.02,43.03
Hailakandi,44,144,459.91,119,263.2,776,1247.52,380,506.47,40.6
Hojai,59,33,107.07,47,108.4,667,855.22,195,226.07,26.43
Jorhat,135,78,232.18,97,245.27,1063,1528.35,428,538.61,35.24
Kamrup Metro,167,192,535.45,213,472.59,1499,2169.66,881,1128.7,52.02
Karbi Anglong,64,104,154.05,108,184.6,394,450.28,161,98.27,21.82
Karimganj,87,90,313.73,99,265.03,860,1404.71,299,447.26,31.84
Kokrajhar,52,116,306.57,119,261.32,1854,2340.63,1510,1829.33,78.16
Lakhimpur,87,145,544.8,193,461.79,1280,2512.57,536,983.76,39.15
Majuli,14,24,67.42,23,41.39,157,151.3,64,63.25,41.8
Morigaon,67,88,260.93,96,220.34,867,1256.09,479,665.56,52.99
Nagaon,149,91,430.08,95,409.28,1691,2892.63,808,1188.49,41.09
Nalbari,83,147,446.12,153,384.78,1237,2193.71,766,1270.69,57.92
Sivasagar,94,149,476.24,151,378.08,907,1892.93,346,611.7,32.31
Sonitpur,122,145,550.76,163,435.92,1288,2414.11,559,864.1,35.79
South Salmara,11,13,26.46,17,30.69,389,441.99,338,379.61,85.89
Tinsukia,147,166,583.58,170,429.4,1393,2315.95,558,754.59,32.58
Udalguri,46,120,317.53,119,250.55,1720,2682.87,1408,2215.45,82.58
West Karbi Anglong,22,2,4.75,2,1.76,15,14.23,12,12.06,84.75
