district,Total Branch,BHIM/UPI A/c,BHIM/UPI Amt.,BHIM Aadhaar A/C,BHIM Aadhaar Amt.,Bharat QR Code A/C,Bharat QR Code Amt.,IMPS A/C,IMPS Amt.,Cards (Debit & Credit) A/C,Cards (Debit & Credit) Amt.,USSD A/C,USSD Amt.
Baksa,53,86777691,423661929700.92,3474845,65855.07,4271,16898.33,6728654,150153801528.22,266222,81914149.2,419492,6349.77
Barpeta,121,631775104,3120396840646.99,11651490,276535.92,5174,171862.33,40249979,1037984965769.28,656816,581099399.84,1524680,22076.09
Biswanath,56,260029206,817734854209.39,3346591,63285.75,1821,78031.87,12426422,266076595287.3,499324,152713305.68,427771,7389.85
Bongaigaon,55,219916320,887334400877.12,3942681,89843.54,4734,182749.69,19175623,403692999664.5,392811,260446279.76,822686,13271.85
Cachar,158,454553472,1793223076000.7,9243883,190411.86,9428,471364.23,55731714,1247386555770.33,1023317,698698173.42,1635620,28164.44
Charaideo,33,4647873,17918694686.36,1999369,39853.41,787,1814.34,615760,8523645392.63,108865,9394879.26,382116,6009.93
Chirang,34,2166921,8723526679.59,2469641,50664.9,1162,1812.51,197325,4750554442.03,148505,5148492.95,552785,8881.69
Darrang,70,244687533,1140276406051.85,4457888,98245.29,3217,81340.28,19688441,527690030724.5,396724,209068991.01,568081,8955.87
Dhemaji,45,52032732,196885917314.08,4862667,88704.16,2209,4900.44,5945372,116125302894.49,375186,65161272.17,571511,8782.2
Dhubri,83,192600298,971049511537.1,6810282,165955.37,3942,58544.05,14907883,348442136508.3,556516,183736620.42,781650,13085.83
Dibrugarh,182,739123097,2537889254296.73,9372469,192427.2,11823,287262.12,95054121,2117834530591.86,2317793,1174171460.76,2534004,41381.88
Dima Hasao,28,28957,3461.72,1827556,40334.22,977,1445.68,4621,312909,35504,15928.64,319206,4848.1
Goalpara,67,231640205,1242394808200.29,4309413,112809.99,3793,56839.01,17158497,524409983009.5,329108,210077496.08,561687,9352.68
Golaghat,115,369085278,1396713611730.17,5976549,106120.89,2929,415211.65,54742356,1223890296960.31,1101285,547371644.12,1120072,18926.52
Hailakandi,44,33237921,147308981217.7,3489019,58590.45,1556,94508.36,3594496,66118817752.84,172829,49382900.18,256795,4389.67
Hojai,59,264053561,1368414140766.77,5414302,124410.07,7767,56130.87,37650027,1008431636826.2,402930,280282442.82,543755,8795.07
Jorhat,135,614795305,2066308194553.41,6859099,128469.32,8874,490720.38,84622020,1609449009176.4,1753185,969222441.68,2069580,32799.05
KARIMGANJ,87,192332602,1008063688537.62,5590886,124804.26,3424,69681.84,34210889,973396985544.93,445941,261258597.63,561716,9542
Kamrup,167,611503353,2431909418200.23,8245290,176674.19,4580,396624.6,48852514,1123487533595.19,1554780,691981258.21,1464046,24603.64
Kamrup Metro,416,5923952653,2142039802112.78,24688783,562891.63,80722,4444593.51,868085442,1007562929829.83,7657836,10446202786.25,8790224,157942.99
Karbi Anglong,64,124701717,552497396548.94,4114950,85357.38,1469,61052.58,14871890,279962856725.34,209048,181300656.26,650244,11130.61
Kokrajhar,52,102522266,472799060877.99,3715652,76722.95,1533,5355.42,9842228,198109142283.04,210815,217372007.63,975443,12929.9
Lakhimpur,87,230257553,858348729554.03,6496113,126499.65,2512,55843.09,20631815,483925546445.31,629527,183231732.54,826553,13374.2
Majuli,14,149353,5335.17,807437,12313.99,843,276.43,13671,370012.19,30091,10072.52,88608,1171.31
Morigaon,67,286010536,1304987797224.08,2674492,65171.34,3466,1392799.43,16482349,612508711043.94,399382,148606288.77,392657,5976.1
Nagaon,149,422323309,1755944577344.88,9339345,215613.91,5900,1196566.93,34228129,795189290554.25,820556,503974979.17,1521914,25208.22
Nalbari,83,156413827,611451695747.11,4130875,85458.26,2547,264756.42,14949102,331438482857.2,400632,222102113.57,819207,12597.67
Sivasagar,94,344367435,1238716884983.72,5723054,116601.57,4095,166472.6,39103440,857855727283.66,979135,518387600.79,1624096,27552.71
Sonitpur,122,426716796,1562633246483.57,9017485,175417.24,6016,338539.35,41635128,829740610633.54,938414,604936811.9,1940546,29065.04
South Salmara,11,152536,11578.93,954712,28026.73,368,15.96,5371,308137.66,14509,1013.83,85066,1458.29
Tinsukia,147,581062361,2289547643404.7,6613252,131502.22,9470,420588.58,108660529,2757478316045.53,1135236,964884736.71,1295239,20741.83
Udalguri,46,12812513,61128454712.36,4313404,74270.51,1321,17327.7,1501636,34958009864.27,146405,35506597.6,447026,6792.81
West Karbi Anglong,22,41208,1265.98,1476767,26209.22,0,0,4522,709.13,26855,1011.06,155264,2233.33
