district,Total Branch,Sishu O/S No.,Sishu O/S Amt.,Sishu NPA No.,Sishu NPA Amt.,Kishore O/S No.,Kishore O/S Amt.,Kishore NPA No.,Kishore NPA Amt.,Tarun O/S No.,Tarun O/S Amt.,Tarun NPA No.,Tarun NPA Amt.,Total MUDRA O/S No.,Total MUDRA O/S Amt.,Total MUDRA NPA No.,Total MUDRA NPA Amt.,MUDRA NPA Amt.%
Baksa,53,3750,962.44,1467,349.58,2817,4230.53,861,1237.89,661,1200.3,19,97.63,7228,6393.27,2347,1685.1,26.36
Barpeta,121,26639,5343.59,7562,1577.32,22033,19984.58,3988,4118.88,1646,5952.87,95,484.53,50318,31281.04,11645,6180.73,19.76
Biswanath,56,7115,1473.27,1696,396.88,6921,5893.92,1000,971.2,333,1464.46,41,188.48,14369,8831.65,2737,1556.56,17.62
Bongaigaon,55,9684,1581.79,2324,356.84,6335,5610.96,956,741.09,827,3380.03,22,87.67,16846,10572.78,3302,1185.6,11.21
Cachar,158,39677,10342.61,5058,926.57,38856,38646.88,5964,4473.19,1222,5598.81,69,383.44,79755,54588.3,11091,5783.2,10.59
Charaideo,33,3712,756.89,1415,259.19,1742,2088.08,307,475.66,211,1172.87,10,48,5665,4017.84,1732,782.85,19.48
Chirang,34,4277,886.16,778,181.24,4712,4241.62,1158,1198.63,117,650.5,18,78.57,9106,5778.28,1954,1458.44,25.24
Darrang,70,12541,2386.04,2923,648.98,10506,9600.38,2207,2221.46,1116,3702.53,121,581.25,24163,15688.95,5251,3451.69,22
Dhemaji,45,5986,1228.11,852,253.85,5044,5655.88,739,1056.46,574,3400.09,76,403.73,11604,10284.08,1667,1714.04,16.67
Dhubri,83,23224,4709.97,3271,745.57,21698,18129.5,4105,3477.93,736,3612.93,89,364.15,45658,26452.4,7465,4587.65,17.34
Dibrugarh,182,26982,5566.82,9721,1799.38,14671,15285.8,2062,2114.41,2138,10281.3,181,1006.42,43791,31133.92,11964,4920.21,15.8
Dima Hasao,28,1115,214.42,139,31.08,922,1497.96,81,113.28,420,1486.47,10,37.28,2457,3198.85,230,181.64,5.68
Goalpara,67,14031,2736.97,2728,461.25,11395,9241.35,1661,1366.77,384,1330.88,15,58.98,25810,13309.2,4404,1887,14.18
Golaghat,115,19017,3496.61,6247,1148.64,12656,11735.85,1721,1759.99,1048,6319.4,164,934.2,32721,21551.86,8132,3842.83,17.83
Hailakandi,44,5850,1264.91,960,243.21,9013,8429.04,1466,1305.48,545,2065.46,21,118.3,15408,11759.41,2447,1666.99,14.18
Hojai,59,8214,2052.95,1256,347.94,8759,10035.23,1565,1606.85,703,4100.47,87,443.56,17676,16188.65,2908,2398.35,14.82
Jorhat,135,21879,3887.36,9385,1504.98,11237,12432.38,1715,1938.95,1609,7051.77,128,731.03,34725,23371.51,11228,4174.96,17.86
Kamrup Metro,167,33898,6149.01,6751,1165.18,28166,23136.87,4881,4051.03,2035,6279.34,165,846.36,64099,35565.22,11797,6062.57,17.05
Karbi Anglong,64,3731,760.41,611,168.01,2055,2944.23,364,449.55,1098,4278.91,54,210.36,6884,7983.55,1029,827.92,10.37
Karimganj,87,20189,4143.12,3498,663.43,20148,16376.5,3129,2675.07,618,3703.32,23,140.73,40955,24222.94,6650,3479.23,14.36
Kokrajhar,52,8443,1910.74,1277,264.06,5586,5161.38,1391,1392.81,216,1077.8,11,52.87,14245,8149.92,2679,1709.74,20.98
Lakhimpur,87,10222,2333.17,2277,619.14,11046,10549.45,1931,2197.66,740,3656.7,130,602.47,22008,16539.32,4338,3419.27,20.67
Majuli,14,1503,264.27,341,94.89,559,908.17,117,163.2,111,500.65,20,119.98,2173,1673.09,478,378.07,22.6
Morigaon,67,8275,1910.04,1624,435.44,8797,9850.97,1712,2050.87,1508,5490.84,98,566.38,18580,17251.85,3434,3052.69,17.69
Nagaon,149,25521,4649.82,9001,1639.68,23204,20861.3,4652,4512.79,2061,9328.51,380,2831.74,50786,34839.63,14033,8984.21,25.79
Nalbari,83,13359,2481.28,5652,940.65,7482,7787.44,1664,1677.35,718,2318.34,49,271.57,21559,12587.06,7365,2889.57,22.96
Sivasagar,94,11151,2404.49,2849,638.57,8905,8616.68,1258,1239.21,1001,4272.45,55,275.24,21057,15293.62,4162,2153.02,14.08
Sonitpur,122,19821,3616.43,4159,788.96,16732,14713.85,2291,2149.96,1364,6152.64,116,530.93,37917,24482.92,6566,3469.85,14.17
South Salmara,11,222,48.17,90,20.66,827,1086.08,353,419.9,58,314.92,4,30.46,1107,1449.17,447,471.02,32.5
Tinsukia,147,13353,2609.15,2950,540.52,11262,13108.73,1437,1593.81,1612,8213.73,106,556.72,26227,23931.61,4493,2691.05,11.24
Udalguri,46,3494,960.03,892,298.25,3102,3991.59,1498,1883.12,153,949.55,14,70,6749,5901.17,2404,2251.37,38.15
West Karbi Anglong,22,321,57.25,136,31.39,207,282.33,48,59.77,224,758.87,16,83.33,752,1098.45,200,174.49,15.89
