district,Total Branch,Sanctioned No,of which girl student Sanctioned No,Sanctioned Amt,of which girl student Sanctioned Amt,Disb. Number,of which girl student Disb No,Disb. Amt,of which girl student Disb Amt,OS No,of which girl student OS No,OS amt,of which girl student OS Amt
Baksa,53,15,11,30.01,26.93,23,14,38.71,33.69,70,27,192.09,93.86
Barpeta,121,56,29,158.26,76.66,165,59,427.62,160.28,404,139,1318.08,402.25
Biswanath,56,23,9,76.27,17.07,57,32,148.97,76.28,142,60,406.57,190.71
Bongaigaon,55,22,9,184.63,50.52,47,17,228.96,87.2,126,37,598.05,197.25
Cachar,158,99,27,244.88,72.59,381,76,1181.79,213.8,989,202,2938.87,589.81
Charaideo,33,5,2,7.23,4.81,17,6,57.24,23.16,69,23,197.13,78.38
Chirang,34,4,3,11.34,8.2,17,5,91.06,19.71,67,14,228.95,38.48
Darrang,70,35,15,85.51,47.17,167,53,399.69,153.81,322,130,940.4,398.73
Dhemaji,45,30,18,75.55,39.02,66,32,179.88,79.65,150,61,401.87,172.94
Dhubri,83,21,5,41.3,7.89,75,16,295.61,68.78,181,34,620.99,137.4
Dibrugarh,182,94,52,402.5,213.51,293,126,973.67,394.75,829,327,2932.38,1161.62
Dima Hasao,28,3,0,2.65,0,9,1,22.45,6.5,24,7,65.75,25.9
Goalpara,67,18,10,56.37,39.97,56,13,165.21,38.41,126,38,469.09,128.3
Golaghat,115,49,24,121.09,52.37,154,63,527.59,263.83,327,121,1086.58,435.93
Hailakandi,44,3,2,7.16,5.01,19,9,40.57,24.08,87,23,207.5,70.74
Hojai,59,23,9,66.76,26.08,55,20,179.62,53.26,141,39,426.89,113.18
Jorhat,135,100,56,407.02,261.97,326,155,1448.71,690.86,749,321,2988.27,1321.21
KARIMGANJ,87,7,2,19.61,1.56,23,5,74.08,11.62,97,28,297.22,78.77
Kamrup,167,160,88,416.72,244.34,600,185,2233.8,617.94,1099,293,3528.24,953.13
Kamrup Metro,416,393,185,2570.74,1250.89,1369,542,6890.61,2736.77,4067,1495,20213.1,6903.73
Karbi Anglong,64,17,10,30.74,15.96,42,19,94.69,35.83,117,44,305.4,112.29
Kokrajhar,52,16,6,76.88,23.59,40,11,145.17,41.06,88,23,282.32,75.19
Lakhimpur,87,57,32,208.25,154.8,130,59,316.56,148.34,309,126,859.34,345.71
Majuli,14,3,1,4.65,2.65,15,2,36.5,4.35,43,7,91.78,16.36
Morigaon,67,17,6,65.98,20.68,30,12,73.82,25.18,127,42,379.14,131.93
Nagaon,149,29,14,156.44,96.86,117,35,407.38,152.78,311,90,1157.31,350.26
Nalbari,83,33,16,79.34,31.34,133,55,487.07,202.13,315,100,1104.76,389.05
Sivasagar,94,35,19,155.88,43.27,111,52,349.85,166.62,300,124,1010.05,356.42
Sonitpur,122,80,33,355.6,69.09,208,73,772.78,245.43,458,162,1496.87,540.18
South Salmara,11,1,0,2.47,0,3,0,7.32,0,15,2,50.31,6.25
Tinsukia,147,82,37,301.88,134.76,243,98,794.35,289.15,555,190,1959.07,567.5
Udalguri,46,53,38,78.75,58.4,146,95,324.87,208.03,243,146,649.31,368.06
West Karbi Anglong,22,1,0,4.64,0,6,1,26.01,5.42,16,4,56.93,15.74
