District,Total Branch,CY Disbursement No.,CY Disbursement Amt,Outstanding No.,Outstanding Amt
Baksa,53,627,421.41,27936,6096.65
Barpeta,121,1034,1057.49,33650,6828.93
Biswanath,56,589,844.36,10471,2622.08
Bongaigaon,55,948,839.45,10787,3113.15
Cachar,158,3242,1593.16,11918,3004.65
Charaideo,33,332,387.4,3112,905.26
Chirang,34,304,396.24,2759,768.56
Darrang,70,415,458.44,16599,3417.84
Dhemaji,45,302,413.65,10963,2855.24
Dhubri,83,289,292.38,3857,964.18
Dibrugarh,182,715,855.45,32220,6082.94
Dima Hasao,28,129,178.5,443,322.59
Goalpara,67,590,475.37,13184,3325.37
Golaghat,115,697,1019.72,32036,6461.74
Hailakandi,44,380,403.9,1135,489.71
Hojai,59,195,270.54,7054,1780.83
Jorhat,135,541,756.62,46314,9225.46
Kamrup Metro,167,695,1035.16,58172,10963.77
Karbi Anglong,64,1551,2187.89,6012,2449.37
Karimganj,87,830,638.44,9620,2083.49
Kokrajhar,52,1236,754.19,1572,692.63
Lakhimpur,87,1104,1541.86,30492,8129.86
Majuli,14,59,75.1,2591,449.33
Morigaon,67,199,259.03,8783,2184.66
Nagaon,149,1001,979.61,45845,8624.47
Nalbari,83,512,539.3,29782,5054.12
Sivasagar,94,687,806.55,18901,4551.2
Sonitpur,122,927,801.03,25388,5010.57
South Salmara,11,90,130.19,103,144.54
Tinsukia,147,639,792.54,19475,3583.11
Udalguri,46,669,514.08,7833,1888.49
West Karbi Anglong,22,444,614.4,1361,755.79
