district,Total Branch,Crop Loan A/C,Crop Loan Amt,Forestry and wasteland Dev. A/C Nos,Forestry and wasteland Dev. Amt,Water Resource A/C Nos,Water Resource Amount,Farm mechanization A/C Nos,Farm mechanization Amount,Plantation & horticulture A/C Nos,Plantation & horticulture Amount,Animal Husbandry A/C Nos,Animal Husbandry Amount,Fishery A/C Nos,Fishery Amount,Farm Credit Others A/C Nos,Farm Credit Others Amount,Agri. Infrastructure Ac,Agri. Infrastructure Amt,Ancillary Activities Ac,Ancillary Activities Amt,Tot Agri (PS) Disb No.,Tot Agri (PS) Disb Amt
Baksa,53,3565,4165.33,0,0,0,0,60,44.39,25,32.13,596,741.86,127,131.7,2128,3711.74,29,25.85,1122,1103.41,7652,9956.41
Barpeta,121,9890,10876.73,155,97.9,0,0,913,503.81,164,406.84,845,1235.14,216,325.35,8900,9151.55,165,427.04,3223,4794.07,24471,27818.43
Biswanath,56,4768,4324.3,0,0,0,0,91,112.6,73,146.81,960,1691.8,27,24.52,4276,5717.41,93,466.79,1852,3275.69,12140,15759.92
Bongaigaon,55,3672,4406.6,4,2.38,0,0,266,155.43,83,177.47,399,832.51,187,163.59,3074,3635.54,70,101.59,1376,2874.73,9131,12349.84
Cachar,158,9061,7127.81,108,85.86,0,0,2067,1097.34,270,798.05,487,659.8,197,249.82,11985,8873.76,299,854.22,3788,3962.22,28262,23708.88
Charaideo,33,1295,1222.31,0,0,0,0,40,62.19,14,85.63,299,853.72,31,62.7,2335,3126.12,38,40.78,1790,1086.7,5842,6540.15
Chirang,34,3892,3385.41,0,0,0,0,13,30.33,11,58.9,331,285.79,20,32.7,2068,3586.53,14,19.03,697,801.31,7046,8200
Darrang,70,5077,6470.91,104,70.86,3,4.92,694,353.33,97,370.1,407,825.56,237,335.27,4842,5648.4,104,152.18,1547,1688.33,13112,15919.86
Dhemaji,45,4676,4970.24,0,0,0,0,907,318.03,69,113.66,1100,1417.65,30,34.15,3810,5471.95,77,89.43,1819,1410.13,12488,13825.24
Dhubri,83,5183,6711.62,8,4.94,0,0,115,177.85,91,309.68,749,1571.08,60,404.43,3910,4448.09,250,248.62,1824,1379.13,12190,15255.44
Dibrugarh,182,15917,13425.74,115,77.55,0,0,1164,566.76,77,250.49,726,1354.33,90,152.33,14823,12763.03,78,302.18,6282,6807.23,39272,35699.64
Dima Hasao,28,379,293.84,0,0,0,0,20,23.35,19,26.5,97,102.43,1,0.6,612,749.03,20,18.53,322,303.63,1470,1517.91
Goalpara,67,5389,5882.98,0,0,0,0,212,167.37,75,235.65,639,987.51,183,284.6,4129,4784.88,89,114.56,3277,3022.98,13993,15480.53
Golaghat,115,11405,9336.77,18,13.18,0,0,539,342.14,88,349.5,794,1535.05,234,120.49,8875,8581.51,115,162.64,4316,5400.38,26384,25841.66
Hailakandi,44,2404,1707.82,0,0,0,0,462,328.66,37,191.89,241,360.35,81,120.09,2676,2230.4,70,917.41,909,909.26,6880,6765.88
Hojai,59,3215,2645.77,0,0,0,0,274,223.64,105,308.91,255,307.98,65,83.92,3309,2803.46,177,152.93,2228,1868.16,9628,8394.77
Jorhat,135,6816,5491.32,105,58.43,2,95.6,333,239.8,30,206.78,920,763.89,78,130.82,10344,10245.84,60,71.03,3293,7671.45,21981,24974.96
KARIMGANJ,87,2706,2866.19,56,36.45,0,0,259,430.15,171,494.89,245,412.8,92,168.62,6568,4888.44,200,259.03,2055,1814.72,12352,11371.29
Kamrup,167,13378,11843.7,273,226.92,0,0,1683,837.92,313,630.07,1541,2052.91,211,309.04,12958,10266.33,303,353.83,6238,5983.66,36898,32504.38
Kamrup Metro,416,3398,7285.3,211,224.87,2,15.82,370,598.04,224,815.96,1611,1761.42,377,520.22,5671,7660.26,215,992.8,3528,33572.22,15607,53446.91
Karbi Anglong,64,11169,6392.27,0,0,0,0,110,50.91,5,25,1785,2294.39,43,18.15,4098,8384.72,9,14.25,2040,1025.5,19259,18205.19
Kokrajhar,52,4649,6357.02,0,0,0,0,40,31.53,20,43.55,508,507.6,34,36.63,2731,4227.98,75,47.03,708,738.81,8765,11990.15
Lakhimpur,87,12067,10258.89,0,0,0,0,801,448.1,151,473.9,1031,1053.62,267,273.9,7811,8549.32,181,189.72,4482,3979.4,26791,25226.85
Majuli,14,844,1280.32,0,0,0,0,44,36.27,20,85.35,341,1175.14,54,67.55,239,340.06,22,28.15,187,157.21,1751,3170.05
Morigaon,67,5114,3586.26,4,3.24,0,0,250,309.26,131,252.46,689,637.28,56,66.08,4435,3971.66,163,144.83,2525,1814.42,13367,10785.49
Nagaon,149,10123,10826.71,2,1.27,0,0,1451,872.57,296,1787.17,1442,1705.74,179,302.06,16594,15361.52,340,476.84,7017,6894.1,37444,38227.98
Nalbari,83,4705,5212.65,28,21.06,0,0,1691,551.92,108,272.83,550,1073.21,108,120.04,5293,6423.47,85,139.97,1537,2407.61,14105,16222.76
Sivasagar,94,4604,4533.08,11,8.08,0,0,944,351.71,104,313.89,839,1071.86,85,387.1,11083,8618.66,120,120.62,4217,3368.28,22007,18773.28
Sonitpur,122,6943,6921.29,58,38.66,0,0,847,380.08,115,416.74,787,1263.08,106,183.16,9960,10735.97,137,223.87,3829,5665.45,22782,25828.3
South Salmara,11,202,575.73,0,0,0,0,0,0,0,0,39,168.7,2,10,271,864.23,0,0,0,0,514,1618.66
Tinsukia,147,11878,12740.66,56,33.44,0,0,1430,612.02,89,300.02,781,1568.26,63,126.69,8481,9321.44,111,131.87,3013,6467.38,25902,31301.78
Udalguri,46,6820,5182.83,0,0,0,0,14,16.53,3,72.98,445,318.95,78,68.74,1998,2796,6,11.35,1070,671.52,10434,9138.9
West Karbi Anglong,22,1444,862.35,0,0,0,0,0,0,0,0,235,257.65,2,0.7,1159,2564.72,0,0,126,55.44,2966,3740.86
