district,Total Branch,Number of operative CASA,Number of Aadhaar seeded CASA,Number of Authenticated CASA
Baksa,53,886907,81501,56757
Barpeta,121,2337170,233710,175062
Biswanath,56,715667,43124,63413
Bongaigaon,55,788798,57046,112074
Cachar,158,1935759,133469,546027
Charaideo,33,422798,11157,38035
Chirang,34,634986,40231,59232
Darrang,70,1328823,77819,136305
Dhemaji,45,1027549,39581,136833
Dhubri,83,1947008,108198,323339
Dibrugarh,182,1690903,110954,301808
Dima Hasao,28,200907,34481,49320
Goalpara,67,1195223,95892,115731
Golaghat,115,1404522,115385,342368
Hailakandi,44,808428,61682,210242
Hojai,59,910757,98602,209913
Jorhat,135,1293658,84766,373050
Kamrup Metro,167,1937756,160823,185465
Karbi Anglong,64,629202,51158,39101
Karimganj,87,1279758,87649,372498
Kokrajhar,52,1017782,71477,68808
Lakhimpur,87,1271419,70500,258962
Majuli,14,178690,14141,28229
Morigaon,67,1264079,103163,476237
Nagaon,149,2723152,389009,705309
Nalbari,83,999494,104930,83620
Sivasagar,94,1010762,65653,299469
Sonitpur,122,1465924,176014,231590
South Salmara,11,314718,34128,36890
Tinsukia,147,1381135,92229,378456
Udalguri,46,985828,50797,54094
West Karbi Anglong,22,229941,16368,5689
