district,Total Branch,Micro No,Micro Amt,Small No,Small Amt,Medium No,Medium Amt,KVIC No,KVIC Amt,Other MSME No,Other MSME Amt,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt.
Baksa,53,4365,3474.83,452,595.81,2,11.87,674,878.81,57,37.76,5550,4999.08
Barpeta,121,6736,6646.54,1613,1961.2,40,251.78,309,488.02,74,22.63,8772,9370.17
Biswanath,56,3373,1805.74,262,386.33,3,46.58,96,144.64,39,15.71,3773,2399
Bongaigaon,55,1614,1601.96,187,582.53,15,141.17,284,417.79,30,4.91,2130,2748.36
Cachar,158,3931,6017.22,801,2206.85,17,338.94,206,335.81,19,14.01,4974,8912.83
Charaideo,33,1722,1467.65,96,315.12,6,93.16,84,170.52,17,16.27,1925,2062.72
Chirang,34,1698,1575.18,598,655.57,1,16.17,845,981.02,6,4.59,3148,3232.53
Darrang,70,4275,4586.27,654,940.59,8,50.72,446,689.54,91,67.83,5474,6334.95
Dhemaji,45,2975,2561.49,288,979.08,0,0,179,276.95,25,5.8,3467,3823.32
Dhubri,83,3778,2768.72,1147,992.63,16,57.04,392,412.88,84,112.11,5417,4343.38
Dibrugarh,182,7093,8011.87,1479,6275.57,32,1068.56,244,390.56,168,51,9016,15797.56
Dima Hasao,28,226,211.15,9,19.54,0,0,3,11.25,1,0.39,239,242.33
Goalpara,67,4053,3642.54,576,839.94,5,102.31,374,468.66,62,57.99,5070,5111.44
Golaghat,115,5202,3972.07,156,1097.68,5,7.47,181,265.73,172,28.57,5716,5371.52
Hailakandi,44,1399,1517.61,228,506.81,5,3.14,238,347.84,25,8.8,1895,2384.2
Hojai,59,3126,1863.02,251,334.31,2,24.73,16,17.78,40,12.54,3435,2252.38
Jorhat,135,7981,6257.17,847,4574.13,15,888.05,138,165.77,229,74.16,9210,11959.28
KARIMGANJ,87,2671,2529.81,153,585.9,2,63.32,135,245.44,68,17.06,3029,3441.53
Kamrup,167,18596,10280.9,894,1780.15,52,671.47,474,727.04,169,301.68,20185,13761.24
Kamrup Metro,416,23502,36867.1,2322,42415.03,395,13784.75,184,1463.13,74,127.14,26477,94657.15
Karbi Anglong,64,765,846.53,63,136.07,0,0,100,26.93,5,4.84,933,1014.37
Kokrajhar,52,2382,2290.09,1234,1325.84,10,169.14,815,984.25,113,154.14,4554,4923.46
Lakhimpur,87,6129,5911.01,355,1455.91,3,43,125,229.24,166,80.51,6778,7719.67
Majuli,14,751,461.24,85,197.61,0,0,28,25.59,16,5.17,880,689.61
Morigaon,67,2647,2813.99,354,651.26,1,22,263,408.19,48,5.75,3313,3901.19
Nagaon,149,9181,9803.41,500,1990.52,3,36.67,406,614.86,105,35.32,10195,12480.78
Nalbari,83,8493,5273.46,887,760.89,13,132.18,565,979.72,80,35.36,10038,7181.61
Sivasagar,94,4775,4098.19,391,1174.02,3,104.49,132,261.6,148,80.97,5449,5719.27
Sonitpur,122,6900,4651.5,1441,2437.4,44,1257.18,305,507.49,139,198.26,8829,9051.83
South Salmara,11,405,584.31,483,567.16,1,5.55,154,210.54,31,103.9,1074,1471.46
Tinsukia,147,5683,4838.91,1239,2347.33,12,162.04,238,347.88,157,73.47,7329,7769.63
Udalguri,46,3094,2099.08,2182,3740.87,0,0,543,810.25,99,314.2,5918,6964.4
West Karbi Anglong,22,202,108.58,50,2.03,0,0,6,0.06,0,0,258,110.67
