district,Total Branch,Agriculture (NPS) No.,Agriculture (NPS) Amt.,MSME (NPS) No.,MSME (NPS) Amt.,Exp Credit (NPS) A/C,Exp Credit (NPS) Amt.,Education (NPS) A/C,Education (NPS) Amt.,Housing (NPS) A/C,Housing (NPS) Amt.,Personal Loans under NPS A/C,Personal Loans under NPS Amt.,Others NPS A/C,Others NPS Amt.,Total ACP (NPS) Disb No.,Total ACP (NPS) Disb Amt.
Baksa,53,0,0,0,0,0,0,1,10.8,33,488.03,288,945.51,1726,5673.35,2048,7117.69
Barpeta,121,0,0,0,0,0,0,1,6.31,132,2237.42,1320,4952.51,10469,34274.23,11922,41470.47
Biswanath,56,0,0,0,0,0,0,0,0,43,266.93,240,802.8,2585,7966.21,2868,9035.94
Bongaigaon,55,0,0,0,0,0,0,1,25.69,218,2446.68,1117,3778.63,9144,28372.49,10480,34623.49
Cachar,158,0,0,0,0,0,0,0,0,165,2302.98,2672,7979.7,25267,60115.89,28104,70398.57
Charaideo,33,0,0,0,0,0,0,0,0,9,85.5,83,275.34,1977,4255.01,2069,4615.85
Chirang,34,0,0,0,0,0,0,0,0,20,237.02,149,379.4,2215,8219.07,2384,8835.49
Darrang,70,0,0,0,0,0,0,0,0,93,1256.58,1091,3193.68,5363,18601.17,6547,23051.43
Dhemaji,45,0,0,0,0,0,0,1,23.66,39,428.23,524,2424.91,4349,12429.56,4913,15306.36
Dhubri,83,1,1.2,0,0,0,0,0,0,120,926.2,553,1663.32,6407,17351.53,7081,19942.25
Dibrugarh,182,0,0,0,0,0,0,5,102.6,297,3873.95,2823,10020.54,21816,62395.73,24941,76392.82
Dima Hasao,28,0,0,0,0,0,0,0,0,7,120.69,212,549.7,1437,2894.38,1656,3564.77
Goalpara,67,0,0,0,0,0,0,2,0.77,63,799.73,487,1594.9,3888,12236.12,4440,14631.52
Golaghat,115,0,0,0,0,0,0,2,9.5,71,1193.36,976,2756.12,8711,25066,9760,29024.98
Hailakandi,44,0,0,0,0,0,0,0,0,20,459.21,408,1377.66,5278,11624.84,5706,13461.71
Hojai,59,0,0,0,0,0,0,0,0,42,370.97,691,1992.55,3158,10248.28,3891,12611.8
Jorhat,135,0,0,0,0,0,0,4,57.06,287,3802.61,2091,6726.67,17612,61680.52,19994,72266.86
Kamrup Metro,167,1,1.9,0,0,0,0,8,111.02,253,5853.05,4407,17826.79,28048,211271.35,32717,235064.11
Karbi Anglong,64,0,0,0,0,0,0,0,0,33,577.68,754,2108.76,3740,12295.24,4527,14981.68
Karimganj,87,0,0,0,0,0,0,0,0,27,356.18,624,1975.05,8596,17717.46,9247,20048.69
Kokrajhar,52,0,0,0,0,0,0,0,0,65,1082.21,619,2861.3,5367,18326.55,6051,22270.06
Lakhimpur,87,0,0,0,0,0,0,2,18.24,135,1405.23,1011,3331.05,8648,25985.66,9796,30740.18
Majuli,14,0,0,0,0,0,0,0,0,1,18,340,885.2,233,857.49,574,1760.69
Morigaon,67,0,0,0,0,0,0,0,0,55,876.45,1338,4172.3,3886,13258.33,5279,18307.08
Nagaon,149,0,0,0,0,0,0,2,37.49,198,2631.69,1646,6423.39,14590,50374.15,16436,59466.72
Nalbari,83,0,0,0,0,0,0,2,71.78,126,1881.62,1368,5801.18,7261,22616.12,8757,30370.7
Sivasagar,94,0,0,0,0,0,0,3,82.81,129,1713.03,1615,6507.2,15444,44997.16,17191,53300.2
Sonitpur,122,0,0,0,0,0,0,2,2.02,275,3343.34,2080,6924.4,15465,47005.88,17822,57275.64
South Salmara,11,0,0,0,0,0,0,0,0,2,0.51,11,16.39,267,946.55,280,963.45
Tinsukia,147,0,0,0,0,0,0,0,0,185,4283.64,1857,5858.56,13537,50337,15579,60479.2
Udalguri,46,0,0,0,0,0,0,2,1.1,8,144.52,167,505.61,2595,7555.82,2772,8207.05
West Karbi Anglong,22,0,0,0,0,0,0,0,0,4,32.72,55,74.81,505,1003.16,564,1110.69
