district,Total Branch,Export No,Export Amt,Education PS No,Education PS Amt,Housing PS No,Housing PS Amt,Social Infra No,Social Infra Amt,Renewable No,Renewable Amt,Other PS No,Other PS Amt,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt.
Baksa,53,0,0,11,25.36,215,697.82,0,0,77,24.76,1050,307.77,1353,1055.71
Barpeta,121,0,0,41,123.57,173,699.9,1,7.32,500,242.94,4100,1722.09,4815,2795.82
Biswanath,56,0,0,16,40.68,71,178.81,0,0,0,0,3235,1246.44,3322,1465.93
Bongaigaon,55,0,0,8,20.96,67,235.43,0,0,113,54.64,5351,1485.98,5539,1797.01
Cachar,158,0,0,61,145.48,151,691.49,0,0,11,4.68,8467,3569.69,8690,4411.34
Charaideo,33,0,0,9,41.69,14,88.55,0,0,60,23.79,1117,500.49,1200,654.52
Chirang,34,0,0,15,41.25,23,69.36,0,0,146,68.51,1047,261.17,1231,440.29
Darrang,70,0,0,24,45.88,145,489.15,0,0,56,27.08,3098,1408.51,3323,1970.62
Dhemaji,45,0,0,16,42.33,57,275.35,0,0,22,6.56,686,243.05,781,567.29
Dhubri,83,0,0,20,64.56,97,365.54,2,9.68,212,118.01,4553,2265.58,4884,2823.37
Dibrugarh,182,0,0,57,206.34,175,1657,0,0,20,7.57,8394,2320,8646,4190.91
Dima Hasao,28,7,7.19,2,5.74,16,44.82,0,0,0,0,4,11.17,29,68.92
Goalpara,67,0,0,13,49.04,76,217.47,1,0.06,474,305.7,2884,888.43,3448,1460.7
Golaghat,115,0,0,26,56.41,71,359.04,0,0,6,1.24,3737,1235.73,3840,1652.42
Hailakandi,44,0,0,7,10.68,59,245.67,0,0,24,12.99,1639,722.93,1729,992.27
Hojai,59,0,0,17,69.88,31,192.96,1,1.19,0,0,1998,2575.44,2047,2839.47
Jorhat,135,1,7.19,47,141.45,185,807.24,0,0,0,0,7106,1954.89,7339,2910.77
Kamrup Metro,167,0,0,59,150.52,269,767.52,2,10.41,18,7.56,17946,5312.62,18294,6248.63
Karbi Anglong,64,0,0,24,60.88,47,141.09,0,0,0,0,553,145.2,624,347.17
Karimganj,87,0,0,10,38.04,67,258.23,2,6.08,11,2.67,4667,2150.13,4757,2455.15
Kokrajhar,52,0,0,5,10.3,33,157.93,0,0,58,41.72,1743,592.03,1839,801.98
Lakhimpur,87,0,0,28,76.71,149,654.49,0,0,100,43.5,3003,2327.83,3280,3102.53
Majuli,14,0,0,6,6.08,34,107.33,0,0,0,0,481,816.98,521,930.39
Morigaon,67,0,0,14,32.42,204,939.38,0,0,28,11.56,1403,2167.6,1649,3150.96
Nagaon,149,0,0,38,95.02,254,1226.17,0,0,3,1.94,6703,3493.13,6998,4816.26
Nalbari,83,0,0,56,120.63,341,897.94,0,0,7,1.93,3218,1330.31,3622,2350.81
Sivasagar,94,0,0,26,69.39,92,474.39,0,0,17,7.25,3489,1428.14,3624,1979.17
Sonitpur,122,0,0,57,112.24,235,741.59,0,0,4,1.42,4131,3211.64,4427,4066.89
South Salmara,11,0,0,9,32.84,14,37.28,0,0,7,5,199,224.59,229,299.71
Tinsukia,147,0,0,38,117.03,102,606.1,1,0,24,6.66,2949,1225.28,3114,1955.07
Udalguri,46,0,0,25,71.87,38,110.68,0,0,0,0,2879,1330.25,2942,1512.8
West Karbi Anglong,22,0,0,2,7.59,13,40.85,0,0,9,0.78,3,3.37,27,52.59
