district,Total Branch,Sep-I No.,Sep-I Amt,Sep-G No,Sep-G Amt.,Sep-G No. of Beneficiary,SHG No.,SHG Amt,SHG No. of Beneficiary,Women SHG No.,Women SHG Amt.,Women SHG No. of Beneficiary,Total Current Year NULM Disb No.,Total Current Year NULM Disb Amount,NULM O/S No.,NULM O/S Amt.,NULM NPA No.,NULM NPA Amt.,NULM NPA Amt. %
Baksa,53,0,0,0,0,0,0,0,0,0,0,0,0,0,75,25.42,7,1.19,4.68
Barpeta,121,2,4.13,0,0,0,1,2.8,10,0,0,0,3,6.93,623,489.32,244,66.67,13.63
Biswanath,56,3,0.73,3,3.41,70,1,5,10,0,0,0,7,9.14,70,299.71,1,0.42,0.14
Bongaigaon,55,1,1.12,2,5.26,2,4,6.26,14,10,1.4,9,7,12.64,77,68.19,27,11.4,16.72
Cachar,158,8,14.43,3,4.46,50,75,187.37,723,15,26.66,53,86,206.26,179,212.93,16,6.35,2.98
Charaideo,33,1,0.1,0,0,0,6,16,6,1,2,2,7,16.1,12,17.32,0,0,0
Chirang,34,0,0,0,0,0,3,3.99,3,3,3,5,3,3.99,32,28.04,3,3.21,11.45
Darrang,70,2,3.84,0,0,0,7,10.77,7,0,0,2,9,14.61,117,113.12,3,0.46,0.41
Dhemaji,45,0,0,1,0.87,0,0,0,0,0,0,0,1,0.87,11,16.42,2,1.53,9.32
Dhubri,83,0,0,6,4.96,73,15,15.02,77,10,6.07,75,21,19.98,223,143.44,188,114.02,79.49
Dibrugarh,182,18,42.78,14,13.07,153,20,27.86,110,11,10.85,110,52,83.71,333,968.22,36,17.68,1.83
Dima Hasao,28,3,3.74,1,1.61,8,1,1.61,8,1,1.61,8,5,6.96,19,18.43,0,0,0
Goalpara,67,0,0,0,0,0,19,21,190,17,17,170,19,21,47,39.14,3,1.71,4.37
Golaghat,115,0,0,0,0,0,8,7.5,7,2,8,3,8,7.5,117,136.57,11,7.29,5.34
Hailakandi,44,16,21.93,3,3.64,24,34,44.39,87,8,9.96,67,53,69.96,150,134.91,14,10.81,8.01
Hojai,59,0,0,0,0,0,1,2,1,0,0,1,1,2,123,100.62,0,0,0
Jorhat,135,5,8.11,31,101.52,248,193,843.68,1884,18,64.6,136,229,953.31,361,1054.03,12,6.06,0.57
KARIMGANJ,87,0,0,13,13.92,106,13,13.92,113,15,15.92,121,26,27.84,120,105.18,32,10.99,10.45
Kamrup,167,0,0,1,1.11,12,66,289.24,617,1,1.11,12,67,290.35,234,242.26,12,7.48,3.09
Kamrup Metro,416,9,10.39,25,22.7,158,204,515.37,1900,22,42.67,114,238,548.46,849,1572.43,78,63.78,4.06
Karbi Anglong,64,0,0,0,0,0,1,2,10,0,0,0,1,2,5,7.79,1,1.84,23.62
Kokrajhar,52,0,0,1,2.34,8,7,8.28,16,3,3.86,10,8,10.62,70,69.87,6,7.19,10.29
Lakhimpur,87,0,0,1,0.25,8,6,6.57,12,18,81.05,10,7,6.82,113,119.22,9,2.34,1.96
Majuli,14,1,2,1,2,16,4,8.7,36,3,6.7,36,6,12.7,1,2,0,0,0
Morigaon,67,0,0,0,0,0,26,30,60,50,5,55,26,30,290,256.17,59,14.81,5.78
Nagaon,149,5,10,5,10,69,94,125.18,171,756,118.92,843,104,145.18,74,77.66,11,4.02,5.18
Nalbari,83,0,0,0,0,0,103,451.35,1020,0,0,0,103,451.35,255,460.76,16,9.68,2.1
Sivasagar,94,5,7.76,2,3.15,24,11,19.94,70,5,6.9,39,18,30.85,129,197.06,3,3.91,1.98
Sonitpur,122,8,76.2,0,0,0,6,9.87,37,0,0,2,14,86.07,135,577.43,7,4.72,0.82
South Salmara,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinsukia,147,7,11.38,6,5.93,56,12,20.23,89,9,13.63,69,25,37.54,397,419.31,42,28.31,6.75
Udalguri,46,5,9.42,0,0,0,6,7.46,6,0,0,2,11,16.88,23,17.9,4,0.56,3.13
West Karbi Anglong,22,0,0,0,0,0,0,0,0,0,0,0,0,0,42,59.2,0,0,0
