district,Total Branch,O/S No.,O/S Amt.,CY Disb No.,CY Disb Amt.
Baksa,53,33337,17926.86,6120,6939.68
Barpeta,121,130004,71644.21,32350,28223.46
Biswanath,56,51137,27085.02,12193,11369.29
Bongaigaon,55,55172,38248.39,15690,15069.1
Cachar,158,179517,111586.48,61520,51878.21
Charaideo,33,18034,13183.81,7011,7405.82
Chirang,34,27277,17964.8,8874,7865.33
Darrang,70,82140,42446.53,16091,15971.74
Dhemaji,45,40783,31813.25,13513,14717.04
Dhubri,83,96371,53332.73,23852,18637.71
Dibrugarh,182,135563,110142.08,51854,48792.1
Dima Hasao,28,5384,10821.47,1781,4736.26
Goalpara,67,58966,34098.03,15104,13651.27
Golaghat,115,110220,63240.97,34549,28605.04
Hailakandi,44,29725,19850.51,10955,9786.58
Hojai,59,54160,29806.5,14437,12987.61
Jorhat,135,115005,82005.21,32735,34397.18
Kamrup Metro,167,210244,127930.11,54055,48377.02
Karbi Anglong,64,40854,36386.7,18919,21814.23
Karimganj,87,84426,43672.76,27788,21761.14
Kokrajhar,52,38742,32743.19,16483,15965.89
Lakhimpur,87,106609,63756.89,26812,26008.21
Majuli,14,5119,2782.27,850,1939
Morigaon,67,65072,35953.31,16750,14316.73
Nagaon,149,195259,114181.45,47824,45219.03
Nalbari,83,86411,46478.02,17027,16805.57
Sivasagar,94,90798,71138.2,30947,33324.05
Sonitpur,122,111608,77393.18,28784,29752.76
South Salmara,11,1076,1229.25,174,555.88
Tinsukia,147,86784,75534.15,32838,29801.99
Udalguri,46,31177,22059.09,7858,8682.81
West Karbi Anglong,22,6915,6917.46,1941,3146.58
