District,Total Branch,During the Quarter Savings Linked No.,During the Quarter Savings Linked Amt,During the Quarter Credit Linked No.,During the Quarter Credit Linked Amt,Current FY Savings Linked No.,Current FY Savings Linked Amt,Current FY Credit Linked No.,Current FY Credit Linked Amt,SHG O/S No.,SHG O/S Amt,SHG NPA No.,SHG NPA Amt,SHG NPA Amt. %
Baksa,53,893,133.61,573,1684,1382,171.83,1479,3813.18,4747,6153.92,1216,626.46,10.18
Barpeta,121,1193,203.79,2153,2948.69,2019,277.14,4008,6974.19,9735,8136.71,1731,1154.28,14.19
Biswanath,56,976,91.17,981,2452.93,1684,188.03,2807,5930.22,7003,7345.58,1906,1036.08,14.1
Bongaigaon,55,963,124.54,719,1409.03,1391,289.29,1322,3262.7,3609,3777.09,253,131.37,3.48
Cachar,158,766,173.69,900,1114.73,1801,265.84,1733,2470.83,5528,5105.71,1247,760.3,14.89
Charaideo,33,324,31.38,328,1149.32,589,32.35,806,2764.19,2950,3236.41,346,201.96,6.24
Chirang,34,1006,73.58,472,1468.24,1402,94.13,1049,2920.74,3159,3780.21,669,512.38,13.55
Darrang,70,1160,170.07,1296,2641.11,1896,225.82,2170,5060.73,6303,6031.73,1424,1083.95,17.97
Dhemaji,45,1434,160.72,1667,2363.09,2397,244.09,3420,6032.61,7291,5963.3,1071,453.49,7.6
Dhubri,83,3523,631.36,682,1934.17,4627,777.23,1982,4731.96,5694,5122.95,1424,663.77,12.96
Dibrugarh,182,2017,383.1,2804,3462.46,3461,540.06,5037,7889.77,10143,8827.41,570,271.25,3.07
Dima Hasao,28,203,8.72,162,290.59,313,44.25,323,549.6,805,867.62,108,41.03,4.73
Goalpara,67,681,86.79,1179,2701.31,1287,165.8,2387,6075.92,6049,5876.59,1128,582.36,9.91
Golaghat,115,1621,252.43,2171,3086.06,3170,459.54,3899,6965.54,8442,9482.15,673,377.13,3.98
Hailakandi,44,869,169.85,219,340.72,1426,208.06,653,864.37,2413,2119.37,663,337.09,15.91
Hojai,59,882,86.09,522,568.74,1109,107.15,1179,1661.39,3239,3271.53,313,191.67,5.86
Jorhat,135,1068,239.02,1587,2993.84,1553,357.58,2667,5928.09,6945,8086.82,615,448.79,5.55
Kamrup Metro,167,1072,166.24,3377,3169.85,2500,381.5,5469,7250.37,12668,9978.7,1975,1330.62,13.33
Karbi Anglong,64,215,17.37,1535,5080.96,478,23.25,2502,7607.79,4699,4846.84,755,224.77,4.64
Karimganj,87,633,117.97,508,712.19,1246,155.74,1035,1500.53,3644,2786.46,1349,615.33,22.08
Kokrajhar,52,1678,154.43,673,2214.09,2456,205.43,1157,3922.69,3471,3402.54,706,616.43,18.12
Lakhimpur,87,1665,208.72,1932,2349.74,2629,281.84,3705,5636.25,8894,8496.33,1137,623.88,7.34
Majuli,14,58,1.94,174,780.03,99,3.45,354,1550.58,1097,1556.39,248,112.86,7.25
Morigaon,67,648,43.05,631,1148.01,881,66.89,1411,2314.89,5322,4603.17,2051,1115.51,24.23
Nagaon,149,3494,330.12,3717,3122.07,4353,305.03,6014,7342.06,13052,12445.1,1255,769.07,6.18
Nalbari,83,804,125.63,2274,2801.72,1674,542.21,3860,6775.18,9984,9920.76,1099,584.33,5.89
Sivasagar,94,776,148.12,1183,1598.11,1353,240.54,1909,3852.8,5505,4945.93,449,342.6,6.93
Sonitpur,122,2181,413.46,2027,2634.31,2904,450.76,3094,4977.64,8736,7665.58,2081,1059.01,13.82
South Salmara,11,332,29.68,127,559.84,487,34.88,291,1250.13,964,901.98,256,100.39,11.13
Tinsukia,147,1242,201.09,2465,2897.12,2206,293.06,4321,6708.63,8704,7587.53,664,331.2,4.37
Udalguri,46,1431,143.66,519,1075.51,1774,146.8,982,2234.28,3612,4405.34,937,634.43,14.4
West Karbi Anglong,22,336,12.17,486,1498.7,492,14.09,839,2212.55,2518,1939.1,1060,315.13,16.25
