district,Total Branch,Crop No,Crop Amt,Term Loan No,Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.
Baksa,53,5734,2794.85,7756,4414.87,115,66.82,192,94.62,13797,7371.16
Barpeta,121,18377,9880.85,25424,8944.84,599,322.16,884,805.35,45284,19953.2
Biswanath,56,5857,3261.78,8883,3679.72,224,120.53,562,377.5,15526,7439.53
Bongaigaon,55,2748,1193.39,5084,1693.2,143,80.53,365,336.46,8340,3303.58
Cachar,158,17611,9520.62,11759,6076.41,429,383.05,2319,2446.89,32118,18426.97
Charaideo,33,1740,1158.45,2490,1395.37,34,31.4,240,178.12,4504,2763.34
Chirang,34,5875,2844.38,3634,2425.52,763,516,333,190.94,10605,5976.84
Darrang,70,12881,6607.96,17361,7814.59,335,416.91,654,397.48,31231,15236.94
Dhemaji,45,7670,3933.22,3844,2213.02,33,40.55,419,376.35,11966,6563.14
Dhubri,83,12688,6071.11,14146,7333.3,3483,1943.74,1702,1015.24,32019,16363.39
Dibrugarh,182,30045,16800.75,20844,7234.63,327,247.89,1625,1679.12,52841,25962.39
Dima Hasao,28,688,163.9,360,217.05,213,5.16,42,23.54,1303,409.65
Goalpara,67,8031,3507.93,6258,4518.54,332,245.02,191,217.46,14812,8488.95
Golaghat,115,23758,10250.95,26029,9294.26,1037,562.2,1012,1258.68,51836,21366.09
Hailakandi,44,6485,3031.66,2993,1447.33,65,58.49,257,211.02,9800,4748.5
Hojai,59,8074,3951.75,7868,3886.8,1413,865.93,1643,1065.2,18998,9769.68
Jorhat,135,19441,8269.71,18805,6384.27,1004,569.87,1140,1853.4,40390,17077.25
Kamrup Metro,167,25133,13397.05,20580,8106.56,322,229.1,845,996.52,46880,22729.23
Karbi Anglong,64,7018,3092.22,2395,1093.22,55,98.37,63,47.51,9531,4331.32
Karimganj,87,7457,3808.67,11569,5218.19,184,143.07,1690,1545.99,20900,10715.92
Kokrajhar,52,7297,3584.39,3838,2333.95,1253,717.45,388,184.69,12776,6820.48
Lakhimpur,87,17268,10184.76,15421,5418.64,306,231.7,1148,1005.79,34143,16840.89
Majuli,14,1715,727.64,1129,849.76,6,5.21,56,53.96,2906,1636.57
Morigaon,67,10071,5359.87,17730,9019.56,958,563.69,1716,1509.05,30475,16452.17
Nagaon,149,35189,15589.05,44958,16511.48,1618,1029.63,3291,2398.26,85056,35528.42
Nalbari,83,11032,4758.55,20838,5892.39,256,159.65,279,248.92,32405,11059.51
Sivasagar,94,8981,3829.5,14810,5500.94,129,150.66,1308,1124.87,25228,10605.97
Sonitpur,122,7931,4445.61,16615,7396.64,749,400.39,1100,767.94,26395,13010.58
South Salmara,11,1806,597.18,330,433.07,6,6.78,0,0,2142,1037.03
Tinsukia,147,16729,10056.2,12925,4675.91,390,3745.07,1189,1076.74,31233,19553.92
Udalguri,46,16570,10269.49,9342,5290.67,115,94.88,245,119.88,26272,15774.92
West Karbi Anglong,22,1600,736.11,1353,478.37,19,0,4,0.96,2976,1215.44
