district,Total Branch,Rural No,Urban No,Male No,Female No,Total PMJDY No.,No of Zero Balance A/c,Amt Deposits held in the A/c,No of Rupay Card Issued,No of Rupay Card Activated,No of Aadhaar Seeded
Baksa,53,518020,398,198328,320005,518333,48198,13193.3,346904,191086,45834
Barpeta,121,1100600,366549,634341,830642,1464983,189172,37260.76,937735,586065,138916
Biswanath,56,323117,50919,150041,223961,374002,35533,13800.06,191026,107315,24366
Bongaigaon,55,248672,133973,156999,225340,382339,32530,14256.38,300534,172414,22153
Cachar,158,716356,304109,469234,551164,1020398,74732,49039,625674,425204,68671
Charaideo,33,219913,60880,113502,167245,280747,27638,11198.54,163802,81742,7104
Chirang,34,374248,14550,152364,236350,388714,38901,10663.13,266185,165014,23728
Darrang,70,659443,205702,362222,502883,865105,103922,21789.59,447367,270770,42308
Dhemaji,45,536211,116888,280420,372587,653007,38560,17073.83,422957,272217,19849
Dhubri,83,1088580,296111,584212,799941,1384153,204690,34121,708942,432164,75955
Dibrugarh,182,461052,198995,272760,385924,658684,71296,29870.54,455625,288022,31658
Dima Hasao,28,55595,8282,29917,33947,63864,3390,3363.91,24398,14134,6435
Goalpara,67,486944,195035,273162,408694,681856,79220,16472.4,405217,253091,47041
Golaghat,115,509123,118503,255714,371570,627284,49891,25881.37,363895,229284,48440
Hailakandi,44,324763,129040,204244,249515,453759,47213,16410.36,257266,173026,31521
Hojai,59,343313,268029,262011,349223,611234,50123,24371.8,435032,306141,63266
Jorhat,135,255723,221840,200874,276452,477326,45761,25838.59,314670,216279,24611
KARIMGANJ,87,577021,69385,294790,351551,646341,58461,30007.03,367765,259416,44748
Kamrup,167,787895,112070,374507,523786,898293,82937,28901.15,652998,400432,68398
Kamrup Metro,416,101295,310995,181141,229297,410438,54927,38200.19,337791,193231,38389
Karbi Anglong,64,201139,35049,96073,140095,236168,18440,8988.41,91745,47247,21353
Kokrajhar,52,534573,87386,266568,355253,621821,81860,16018.82,349688,203192,49727
Lakhimpur,87,543863,226054,332602,436439,769041,44171,30031.62,537806,337740,33652
Majuli,14,119886,16444,59885,76420,136305,12619,5119.57,69129,51413,8332
Morigaon,67,479405,219280,301908,396094,698002,56873,28113.49,474734,302461,55901
Nagaon,149,1113514,467203,680277,900009,1580286,194638,39453,915521,553531,241834
Nalbari,83,358689,95286,185493,267894,453387,51215,15461.21,238535,141707,52754
Sivasagar,94,267319,78301,146216,199184,345400,24605,18700.91,259850,151076,19432
Sonitpur,122,561361,199679,305291,455297,760588,99414,28354.05,446971,268325,82668
South Salmara,11,232598,21521,98498,155590,254088,44445,3745.44,111717,74026,25996
Tinsukia,147,425481,279659,298990,404872,703862,72404,34039.14,439682,324000,41340
Udalguri,46,533607,106206,260566,379130,639696,86720,14748.06,356606,227542,25782
West Karbi Anglong,22,107103,0,45976,61117,107093,11282,3263.13,37175,22879,11154
