district,Total Branch,Farm Credit Crop No,Farm Credit Crop Amt,Farm Credit Term Loan No,Farm Credit Term Loan Amt,Agri Infra No,Agri Infra Amt,Ancillary No,Ancillary Amt,Agri Total O/S No.,Agri Total O/S Amount
Baksa,53,19497,12911.72,16084,10745.5,132,65.12,4927,2910.27,40640,26632.61
Barpeta,121,49971,33788.53,47926,23040.27,596,422.62,9444,6980.32,107937,64231.74
Biswanath,56,25734,16163.53,15634,10455.33,353,694.48,6211,4662.48,47932,31975.82
Bongaigaon,55,12901,10493.58,13020,7350.96,261,193.09,2719,2805.45,28901,20843.08
Cachar,158,49473,30451.83,25903,14296.99,996,1489.44,11093,14083.04,87465,60321.3
Charaideo,33,10698,6678.53,5672,4286.31,107,129.94,2925,1792.57,19402,12887.35
Chirang,34,19047,11364.89,6153,4944.39,855,483.3,1790,1623.09,27845,18415.67
Darrang,70,34547,21442.48,29936,15060.66,275,238.02,6076,5153.63,70834,41894.79
Dhemaji,45,24928,15837.24,13859,8945.53,177,314.71,5997,3220.89,44961,28318.37
Dhubri,83,30370,17943.23,15026,8733.55,4126,2259.49,5819,3759.95,55341,32696.22
Dibrugarh,182,69169,47722.2,40595,18770.76,823,1137.07,14291,23623.31,124878,91253.34
Dima Hasao,28,1817,666.15,1243,1144.16,13,16.55,184,250.87,3257,2077.73
Goalpara,67,27240,14249.23,15016,9542.95,413,307.12,7931,5260.19,50600,29359.49
Golaghat,115,54519,32169.07,36724,17192.89,1645,1145.86,9923,13249.86,102811,63757.68
Hailakandi,44,18520,10002.84,5618,3891.99,228,1104.66,1959,1695.26,26325,16694.75
Hojai,59,21773,12190.52,7282,4755.63,2160,1304.83,6420,4465.91,37635,22716.89
Jorhat,135,42032,22838.59,40342,19640.4,1469,964.35,8525,26413.19,92368,69856.53
KARIMGANJ,87,26008,16796.17,16206,8728.58,580,849.03,6395,7328.39,49189,33702.17
Kamrup,167,67587,40697.83,51659,22878.97,716,660.84,18317,12070.89,138279,76308.53
Kamrup Metro,416,12290,10566.1,24924,142923.46,230,4393.84,5878,53295.33,43322,211178.73
Karbi Anglong,64,33095,15210,11397,8017.63,21,30.02,3067,1074.25,47580,24331.9
Kokrajhar,52,25359,17451.35,6361,4436.08,1750,869.91,1555,1263.57,35025,24020.91
Lakhimpur,87,56625,37634.04,37185,17212.25,634,652.38,13209,8015.65,107653,63514.32
Majuli,14,5248,2779.88,2892,2318.42,27,28.19,414,373.02,8581,5499.51
Morigaon,67,39095,25112.61,21866,12836.5,1493,1174.58,9618,7838.84,72072,46962.53
Nagaon,149,79258,46615.28,74164,34095.19,2743,2322.04,17954,13895.76,174119,96928.27
Nalbari,83,29262,16541.5,41321,18210.64,325,277.19,5632,5049.59,76540,40078.92
Sivasagar,94,25669,15339.79,33653,14324.49,288,362.46,11573,7795.37,71183,37822.11
Sonitpur,122,30576,21401.12,39842,22868.73,1118,684.84,12493,10221.67,84029,55176.36
South Salmara,11,2600,1079.21,690,794.58,0,0,0,0,3290,1873.79
Tinsukia,147,48215,37760.11,26652,14816.48,550,4284.73,8618,55998.17,84035,112859.49
Udalguri,46,34319,22111.8,15257,9205.72,106,43.63,3764,1505.66,53446,32866.81
West Karbi Anglong,22,10921,4454.62,3523,2580.5,1,0,165,43.01,14610,7078.13
