district,Total Branch,Housing Loan (PS) O/S No,Housing Loan (PS) O/S Amount,Housing Loan (NPS) O/S No,Housing Loan (NPS) O/S Amount,Rural Housing Loan O/S No,Rural Housing Loan O/S Amount,Housing Loan Eligible under PMAY O/S No,Housing Loan Eligible under PMAY O/S Amount,Current Year Disbursed under PMAY No,Current Year Disbursed under PMAY Amount,PMAY O/S No,PMAY O/S Amount
Baksa,53,1066,9107.17,58,985.92,1009,8970.05,13,151.69,0,0,13,151.69
Barpeta,121,3565,31135.53,264,5646.26,1606,14867.37,53,616.57,4,22.2,53,616.57
Biswanath,56,308,2163.38,28,379.28,492,4133.74,16,221.62,2,10,16,221.62
Bongaigaon,55,2240,19389.97,320,6106.71,274,2502.27,52,648.38,8,114.17,56,719.57
Cachar,158,4272,27642.24,347,7015.62,439,4021,158,2079.93,12,182.89,159,2092.03
Charaideo,33,411,3430.22,14,219.29,110,1050.7,2,40.78,0,0,2,40.78
Chirang,34,664,6802.48,22,485.14,284,2974.72,1,0.02,0,0,1,0.02
Darrang,70,1774,15165.1,132,2898.09,342,3457.78,17,213.38,2,47.61,18,213.35
Dhemaji,45,1804,16303.43,60,1164.51,592,6085.81,43,409.87,0,0,43,409.87
Dhubri,83,2372,20176.59,77,1873.83,755,7079.5,88,596.91,21,84.57,60,522.71
Dibrugarh,182,5325,47162.59,774,16171.2,1754,15657.53,95,1360.43,8,74.85,99,1378.07
Dima Hasao,28,656,3970.34,10,247.72,146,273.67,2,27.09,0,0,2,27.09
Goalpara,67,323,2293.25,42,784.8,263,2300.89,14,208.34,0,0,14,208.34
Golaghat,115,2634,21681,197,4626.61,705,7014.48,33,310.48,1,9.7,31,305.53
Hailakandi,44,997,7101.19,33,790.82,26,130.16,29,253.34,0,0,28,249.56
Hojai,59,1015,8774.49,92,1386.57,88,765.95,20,221.51,4,40.25,20,221.51
Jorhat,135,4984,43691.65,706,15035.03,948,9491.27,75,938.47,5,34.1,81,1007.45
Kamrup Metro,167,4528,37997.49,737,16319.09,2491,24892.17,98,1282.81,2,8.06,98,1282.81
Karbi Anglong,64,2463,23516.28,55,1318.24,1149,10949.91,6,80.89,0,0,6,80.89
Karimganj,87,1378,7323.13,85,2021.2,217,1679.93,28,286.66,1,20.73,28,286.66
Kokrajhar,52,1226,12390.21,109,2606.37,344,4158.66,2,24.32,0,0,3,36.45
Lakhimpur,87,3614,30310.27,172,4179.93,698,6736.96,55,595.62,4,10,55,595.62
Majuli,14,184,842.01,4,88.59,89,868.45,10,101.28,1,6,10,101.28
Morigaon,67,1723,11830.21,97,1651.92,761,4033.95,68,705.6,2,29.57,69,717.12
Nagaon,149,4337,35262.71,327,5577.7,1201,11218.18,62,708.14,5,49.8,61,683.04
Nalbari,83,2965,24222.09,280,4899.54,895,6748.65,52,953.64,2,23.7,51,949.65
Sivasagar,94,2970,24347.5,320,6846.03,106,779.11,45,744.01,4,87.43,45,744.01
Sonitpur,122,5276,45566.34,655,12503.37,1012,9356.57,61,757.12,4,90.21,64,796.89
South Salmara,11,158,1648.58,0,0,117,1043.47,0,0,0,0,0,0
Tinsukia,147,3298,28125.2,562,11818.4,726,6414.77,71,887.01,3,56.64,72,899.33
Udalguri,46,1761,17252.7,5,105.76,401,4273.96,3,25.49,0,0,3,25.49
West Karbi Anglong,22,606,6458.5,1,32.17,477,5182.07,0,0,0,0,0,0
