district,Total Branch,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No,MUSLIMS Amt.,BUDDHISTS No,BUDDHISTS Amt.,SIKHS No.,SIKHS Amt.,ZORASTRIANS No.,ZORASTRIANS Amt.,JAINS No.,JAINS Amt.,Tot Minority Disb No.,Tot Minority Disb Amt.
Baksa,53,183,212.52,,1781.4,7,15.99,0,0,1,0,14,5.04,1997,2014.95
Barpeta,121,121,296.33,,34708.38,28,26.94,7,12.88,0,0,14,69.02,36088,35113.55
Biswanath,56,135,137.22,,2778,12,13.12,4,20.22,1,1.6,48,86.91,3731,3037.07
Bongaigaon,55,451,720.06,,15141.22,38,21.5,16,71.87,1,0.02,16,45.82,12493,16000.49
Cachar,158,1284,2335.64,,35035.64,62,132.34,31,100.73,2,0.84,10,100.27,33958,37705.46
Charaideo,33,100,95.28,,1004.01,24,32.54,9,32.03,1,0,2,1,1105,1164.86
Chirang,34,210,174.21,,2798.98,18,11.35,3,13.18,0,0,0,0,3444,2997.72
Darrang,70,82,178.87,,14436.79,160,53.66,0,0,1,0.7,17,102.32,18301,14772.34
Dhemaji,45,53,94.58,,290.79,6,32.57,8,60.94,0,0,2,6.5,459,485.38
Dhubri,83,71,106.32,,27425.84,3,1.1,8,50.88,0,0,10,8.52,31375,27592.66
Dibrugarh,182,582,761.42,,6941.4,157,237.44,218,456.57,1,0.25,26,112.32,6440,8509.4
Dima Hasao,28,2052,3051.17,,499.25,5,15,4,7.5,0,0,0,0,2315,3572.92
Goalpara,67,1325,916.33,,13897.73,6,1.76,7,27.88,27,1.59,3,18.3,13871,14863.59
Golaghat,115,585,469.24,,5011.36,139,74.55,27,19.86,1,0.8,12,229.61,7299,5805.42
Hailakandi,44,102,79.58,,11441.11,2,8.6,3,4,0,0,1,0.45,13065,11533.74
Hojai,59,166,275.03,,7934.9,22,22.57,14,24.43,0,0,1,10,10604,8266.93
Jorhat,135,491,633.4,,5076.31,387,329.58,92,571.15,3,3.17,38,943.87,4808,7557.48
KARIMGANJ,87,275,333.59,,12546.93,25,21.82,8,17.75,1,4,3,133.59,12833,13057.68
Kamrup,167,398,511.55,,23845.38,278,164.74,24,94.15,0,0,49,105.86,28389,24721.68
Kamrup Metro,416,2429,11723.67,,56795.72,1343,924.94,220,2466.52,20,11.2,250,4461.01,24113,76383.06
Karbi Anglong,64,2103,1594.12,,933.07,52,92.7,3,6,1,0.49,5,10.74,2729,2637.12
Kokrajhar,52,1268,1909.42,,5881.04,4,6.54,4,10.7,0,0,5,10.96,7215,7818.66
Lakhimpur,87,517,588.27,,7825.28,40,81.38,17,13.37,3,1.45,2,0.72,9728,8510.47
Majuli,14,4,7.26,,47.17,1,0.96,0,0,0,0,0,0,39,55.39
Morigaon,67,48,68.15,,6573.17,62,21.66,11,33.62,0,0,29,22,8822,6718.6
Nagaon,149,360,265.99,,33855.55,60,32.13,85,220.8,9,5.1,38,129.21,49048,34508.78
Nalbari,83,57,101.95,,10847.3,2,0.03,10,2.3,0,0,3,18.75,9351,10970.33
Sivasagar,94,196,262.1,,11767.78,152,166.79,37,57.84,1,0.09,6,15.07,7882,12269.67
Sonitpur,122,669,1282.81,,9696.54,299,469.75,50,186.74,1,0.7,6,74.02,10297,11710.56
South Salmara,11,3,8,,2499.57,0,0,0,0,0,0,0,0,1868,2507.57
Tinsukia,147,633,1671.64,,3293.04,389,763.2,189,1157.96,0,0,39,95.4,4331,6981.24
Udalguri,46,3049,2181.12,,3272.65,0,0,0,0,0,0,0,0,6247,5453.77
West Karbi Anglong,22,142,212.07,,96.63,1,1.43,1,13.05,0,0,0,0,180,323.18
