District,Total Branch,Export No.,Export Amt,Education PS No.,Education PS Amt,Housing PS No.,Housing PS Amt,Social Infra No.,Social Infra Amt,Renewable No.,Renewable Amt,Other PS No.,Other PS Amt,OPS Total O/S No.,OPS Total O/S Amt
Baksa,53,0,0,71,182.72,1067,8972.48,0,0,87,24.76,7563,2776.8,8788,11956.76
Barpeta,121,0,0,401,1204.35,3550,32655.88,3,444.81,505,243.05,45553,18090.22,50012,52638.31
Biswanath,56,0,0,143,384.93,310,2095.71,0,0,0,0,21372,11515.06,21825,13995.7
Bongaigaon,55,0,0,129,556.5,2239,19389.94,2,55,113,54.64,26138,9976.26,28621,30032.34
Cachar,158,0,0,997,2886.09,4188,27202.28,0,0,15,4.68,93653,43820.79,98853,73913.84
Charaideo,33,0,0,69,186.4,412,3433.28,0,0,62,23.79,6392,4591.15,6935,8234.62
Chirang,34,0,0,67,216.64,664,6802.47,0,0,146,68.51,11529,5115.89,12406,12203.51
Darrang,70,0,0,323,920.79,1780,15094.48,0,0,56,27.08,31685,12378.63,33844,28420.98
Dhemaji,45,0,0,150,401.52,1809,16281.28,1,95,26,6.56,7399,3146.08,9385,19930.44
Dhubri,83,0,0,180,592.94,2377,20176.75,4,12.65,212,118.01,49450,20987.08,52223,41887.43
Dibrugarh,182,0,0,843,2670.96,5205,46581.04,0,0,20,7.57,39322,21554.92,45390,70814.49
Dima Hasao,28,0,0,24,65.75,657,3970.47,0,0,0,0,72,115.33,753,4151.55
Goalpara,67,0,0,124,460.76,326,2310.43,1,0.06,475,305.7,19174,8768.86,20100,11845.81
Golaghat,115,0,0,328,954.34,2624,21641.83,1,4,6,1.24,44228,20133.36,47187,42734.77
Hailakandi,44,0,0,87,206.15,1005,7130.52,1,2,24,12.99,16030,7011.32,17147,14362.98
Hojai,59,0,0,138,420.66,1009,8599.83,1,1.19,0,0,25372,25643.74,26520,34665.42
Jorhat,135,0,0,751,2559.66,5005,43184.84,2,99.67,0,0,33706,14870.67,39464,60714.84
Kamrup Metro,167,0,0,1113,3530.56,4562,38105.1,7,27.94,18,7.56,80167,33082.11,85867,74753.27
Karbi Anglong,64,0,0,117,295.37,2462,23518.28,0,0,0,0,3435,1631.69,6014,25445.34
Karimganj,87,0,0,97,295.69,1391,7379.5,5,20.91,14,2.67,43511,23498.77,45018,31197.54
Kokrajhar,52,0,0,88,282.78,1227,12298.17,1,800,59,42.48,19002,7313.43,20377,20736.86
Lakhimpur,87,0,0,317,858.05,3635,30302.69,1,0.1,101,43.67,22392,17477.73,26446,48682.24
Majuli,14,0,0,43,91.78,183,766.62,0,0,0,0,1219,7673.06,1445,8531.46
Morigaon,67,0,0,128,382.52,1739,13004.24,1,0.38,29,11.56,25642,27506.88,27539,40905.58
Nagaon,149,0,0,314,1104.62,4374,35502.76,1,13.28,3,1.94,66593,40181.15,71285,76803.75
Nalbari,83,0,0,316,1035.57,2966,24030.7,3,45.5,7,1.93,24655,11546.93,27947,36660.63
Sivasagar,94,0,0,298,838.85,2963,24331.68,0,0,18,7.48,23930,13172.15,27209,38350.16
Sonitpur,122,0,0,468,1407.65,5236,45523.42,3,5.31,5,3.02,38822,29027.4,44534,75966.8
South Salmara,11,0,0,15,50.31,158,1648.58,0,0,7,5,239,403.43,419,2107.32
Tinsukia,147,0,0,561,1842.4,3302,28083.74,1,0,25,6.66,29191,17076.08,33080,47008.88
Udalguri,46,0,0,243,615.93,1761,17252.69,0,0,0,0,8144,3337.26,10148,21205.88
West Karbi Anglong,22,0,0,16,56.29,606,6458.5,0,0,9,0.78,11,3.58,642,6519.15
