District,Total Branch,CHRISTIANS No.,CHRISTIANS Amt,MUSLIMS No.,MUSLIMS Amt,BUDDHISTS No.,BUDDHISTS Amt,SIKHS No.,SIKHS Amt,ZORASTRIANS No.,ZORASTRIANS Amt,JAINS No.,JAINS Amt,Tot Loan to Minority O/S No.,Tot Loan to Minority O/S Amt
Baksa,53,173,361.49,,6978.2,14,37.79,0,0,1,1.48,21,14.51,9810,7393.47
Barpeta,121,211,536.55,,94034.16,40,47.92,13,64.45,3,3.51,14,89.6,105942,94776.19
Biswanath,56,513,502.88,,8679.39,17,36.2,6,53.37,3,3.42,14,134.21,13892,9409.47
Bongaigaon,55,1620,1234.3,,32828.9,86,68.66,21,83.09,27,8.95,20,71.76,36285,34295.66
Cachar,158,2248,4271.52,,92360.66,68,186.74,35,152.77,4,1.26,23,213.88,109878,97186.83
Charaideo,33,162,143.98,,1967.6,63,71.92,17,47.66,3,4.23,4,1.32,3004,2236.71
Chirang,34,3207,2327.43,,8494.48,74,41.98,3,4.62,4,3.87,3,1.4,14479,10873.78
Darrang,70,284,455.31,,50000.57,52,95.03,2,3.39,1,0.67,18,266.41,69115,50821.38
Dhemaji,45,103,144.13,,958.66,10,27.96,17,86.51,0,0,3,7.84,1495,1225.1
Dhubri,83,576,708.52,,82103.13,15,12.43,15,69.86,2,1.12,19,109.32,97113,83004.38
Dibrugarh,182,1398,3091.8,,17121.62,189,649.9,255,1105.72,7,5.82,42,403.96,16375,22378.82
Dima Hasao,28,2371,6142.85,,1036.87,7,18.83,7,22.73,0,0,0,0,2999,7221.28
Goalpara,67,5749,3693.62,,40917.93,20,9.5,12,44.68,14,9.97,11,44.48,50621,44720.18
Golaghat,115,1694,1250.53,,11865.62,335,248.29,60,80.55,5,2.43,26,135.12,17693,13582.54
Hailakandi,44,215,349.01,,33061.76,3,8.27,4,5.59,0,0,1,0.35,34942,33424.98
Hojai,59,280,498.08,,27831.66,15,59.66,26,45.76,1,0.8,2,5.23,35777,28441.19
Jorhat,135,1418,3423.36,,12645.62,719,620.04,109,619.83,3,3.11,48,1103.38,14874,18415.34
Kamrup Metro,167,1554,1374.87,,66549.51,522,281.76,63,355.3,0,0,44,793.2,86808,69354.64
Karbi Anglong,64,3997,3977.4,,1811.36,72,245.27,7,20.87,1,0.47,6,22.44,5399,6077.81
Karimganj,87,734,652.26,,36371.13,15,24.93,11,47.33,1,3.72,4,131.73,50816,37231.1
Kokrajhar,52,5029,3842.84,,15013.7,7,3.85,12,53.89,2,35.33,14,65.02,25653,19014.63
Lakhimpur,87,1334,1187.71,,21892.36,52,151.24,33,40.84,22,15.61,4,4.66,32690,23292.42
Majuli,14,9,6.56,,386.11,1,0.96,0,0,0,0,0,0,643,393.63
Morigaon,67,109,158.53,,26635.66,23,47.96,11,39.29,1,0.24,4,3.82,42720,26885.5
Nagaon,149,956,1051.91,,101235.58,238,115.37,147,411.15,29,13.15,36,100.4,145975,102927.56
Nalbari,83,112,161.11,,28933.89,33,33.74,26,29.06,3,2.3,7,17.57,37103,29177.67
Sivasagar,94,660,888.76,,23821.77,225,237.38,50,107.89,1,2.29,15,50.75,19414,25108.84
Sonitpur,122,1687,3383.97,,27878.63,176,766.53,84,334.43,2,0.78,24,182.34,42505,32546.68
South Salmara,11,10,4.79,,8527.05,0,0,0,0,0,0,0,0,5114,8531.84
Tinsukia,147,1609,4047.43,,9995.92,457,1347.12,155,1585.48,2,0.61,38,393.03,12131,17369.59
Udalguri,46,5942,8436.8,,8643.79,13,6.48,4,1.82,5,3.13,6,8.45,12619,17100.47
West Karbi Anglong,22,430,817.6,,159.7,1,1.35,6,14.31,1,0.3,0,0,481,993.26
