district,Total Branch,Current Year No. of Female Account,Current Year Sum of Female Amount,Current Year No. of Male Account to SC,Current Year Sum of Male Amount to SC,Current Year No. of Male Account to ST,Current Year Sum of Male Amount to ST,Total Current Year SUI Disb No.,Total Current Year SUI Disb Amount,SUI O/S No.,SUI O/S Amt.,SUI NPA No.,SUI NPA Amt.,SUI NPA Amt. %
Baksa,53,0,0,2,18.87,1,22.77,3,41.64,8,87.06,0,0,0
Barpeta,121,12,108.69,2,5.15,4,104.53,18,218.37,42,606.08,4,84.84,14
Biswanath,56,5,23.64,4,58.45,2,31.86,11,113.95,29,451.99,0,0,0
Bongaigaon,55,17,114.36,5,34.6,8,62.14,30,211.1,47,453.53,9,86.11,18.99
Cachar,158,16,211.57,1,0.22,0,0,17,211.79,60,628.82,5,47.33,7.53
Charaideo,33,5,6.28,1,20.65,0,0,6,26.93,11,138.13,0,0,0
Chirang,34,3,59.2,1,1.13,3,45.42,7,105.75,14,308.38,0,0,0
Darrang,70,11,121.19,4,52.95,1,15.13,16,189.27,36,431.77,4,38.43,8.9
Dhemaji,45,3,39.5,0,0,1,15,4,54.5,11,108.96,1,9.57,8.78
Dhubri,83,10,90.03,0,0,1,8.48,11,98.51,28,489.64,1,8.78,1.79
Dibrugarh,182,53,638.7,10,109.18,4,26.5,67,774.38,124,1804.73,11,172.6,9.56
Dima Hasao,28,0,0,2,0,10,44.1,12,44.1,14,99.83,1,5.09,5.1
Goalpara,67,5,63.15,3,23.76,3,23.8,11,110.71,22,178.23,2,9.89,5.55
Golaghat,115,15,122.89,2,18.73,1,0.34,18,141.96,47,631.86,1,8.83,1.4
Hailakandi,44,1,10,3,30.76,0,0,4,40.76,11,213.08,2,41.67,19.56
Hojai,59,5,104.6,0,0,1,7.98,6,112.58,80,292.31,0,0,0
Jorhat,135,12,151,2,51,2,9.3,16,211.3,72,703.09,8,69.5,9.88
Kamrup Metro,167,19,192.49,0,0,0,0,19,192.49,78,654.43,5,62.36,9.53
Karbi Anglong,64,5,56.91,4,10.27,6,40.72,15,107.9,27,470.49,3,9.88,2.1
Karimganj,87,2,35.75,2,20.25,0,0,4,56,17,225.78,1,8.89,3.94
Kokrajhar,52,6,63.61,0,0,1,20.11,7,83.72,12,256.08,0,0,0
Lakhimpur,87,7,63.36,1,11.05,4,19.15,12,93.56,43,540.69,11,123.65,22.87
Majuli,14,3,22,2,18.54,0,0,5,40.54,5,43.9,0,0,0
Morigaon,67,5,42.91,2,21.84,3,44.84,10,109.59,26,233.86,2,10.02,4.28
Nagaon,149,26,322.18,2,41.29,1,6.04,29,369.51,100,993.79,8,48.48,4.88
Nalbari,83,12,125.18,2,19.89,0,0,14,145.07,29,471.19,0,0,0
Sivasagar,94,24,244.77,3,11.58,2,0.5,29,256.85,51,647.4,10,167.08,25.81
Sonitpur,122,21,136.13,1,12.38,4,43.05,26,191.56,101,1141.21,7,42.87,3.76
South Salmara,11,0,0,0,0,0,0,0,0,0,0,0,0,0
Tinsukia,147,35,468.52,5,49.48,5,10.93,45,528.93,236,1411.85,0,0,0
Udalguri,46,2,0.26,1,9.15,0,0,3,9.41,17,157.29,1,0.09,0.06
West Karbi Anglong,22,0,0,0,0,1,11.5,1,11.5,17,49.86,0,0,0
