district,Total Branch,NRLM O/S No.,NRLM O/S Amt.,NRLM Irregular A/C No,NRLM Irregular A/C Amt,NRLM NPA NO,NRLM NPA AMT,NULM O/S No.,NULM O/S Amt.,NULM NPA NO,NULM NPA AMT,PMEGP O/S No.,PMEGP O/S Amt.,PMEGP NPA NO,PMEGP NPA AMT,SHG O/S No.,SHG O/S Amt.,SHG NPA NO,SHG NPA AMT,SUI O/S No.,SUI O/S Amt.,SUI NPA NO,SUI NPA AMT
Baksa,53,3837,5952.55,178,380.43,142,91.01,75,25.42,7,1.19,1333,2076.51,884,1178.92,4747,6153.92,1216,626.46,8,87.06,0,0
Barpeta,121,5145,6342.64,324,452.38,527,314.01,623,489.32,244,66.67,1791,3057.77,833,1324,9735,8136.71,1731,1154.28,42,606.08,4,84.84
Biswanath,56,4615,6016.58,933,1158.24,228,202.53,70,299.71,1,0.42,380,533.3,175,228.34,7003,7345.58,1906,1036.08,29,451.99,0,0
Bongaigaon,55,2641,3149.21,145,153.32,37,19.7,77,68.19,27,11.4,689,882.82,394,499.53,3609,3777.09,253,131.37,47,453.53,9,86.11
Cachar,158,2880,3664.44,423,425.11,99,67.52,179,212.93,16,6.35,1779,2454.67,695,916.49,5528,5105.71,1247,760.3,60,628.82,5,47.33
Charaideo,33,2013,2445.73,191,152.08,130,63.9,12,17.32,0,0,399,581.86,170,288.95,2950,3236.41,346,201.96,11,138.13,0,0
Chirang,34,2933,3627.35,299,262.27,117,67.6,32,28.04,3,3.21,1479,1785.44,1197,1389.59,3159,3780.21,669,512.38,14,308.38,0,0
Darrang,70,3284,4787.16,298,456.08,201,209.21,117,113.12,3,0.46,974,1508,644,930.37,6303,6031.73,1424,1083.95,36,431.77,4,38.43
Dhemaji,45,3778,4945.51,428,424.31,219,80.49,11,16.42,2,1.53,940,2086.28,403,752.14,7291,5963.3,1071,453.49,11,108.96,1,9.57
Dhubri,83,3887,4068.73,414,290.56,346,118.59,223,143.44,188,114.02,1935,2737.09,1107,1339.47,5694,5122.95,1424,663.77,28,489.64,1,8.78
Dibrugarh,182,5121,6761.37,502,611.95,247,94.7,333,968.22,36,17.68,1479,2738.23,645,958.36,10143,8827.41,570,271.25,124,1804.73,11,172.6
Dima Hasao,28,432,569.55,177,290.8,3,2,19,18.43,0,0,264,416.18,55,57.1,805,867.62,108,41.03,14,99.83,1,5.09
Goalpara,67,3563,4028.07,360,512.72,173,78.04,47,39.14,3,1.71,1085,1235.34,625,767.89,6049,5876.59,1128,582.36,22,178.23,2,9.89
Golaghat,115,4687,7326.65,483,567.64,129,105.31,117,136.57,11,7.29,1265,1873.23,551,806.02,8442,9482.15,673,377.13,47,631.86,1,8.83
Hailakandi,44,1677,1777.92,190,162.76,129,41.14,150,134.91,14,10.81,776,1247.52,380,506.47,2413,2119.37,663,337.09,11,213.08,2,41.67
Hojai,59,2077,2644.68,229,192.66,119,72.56,123,100.62,0,0,667,855.22,195,226.07,3239,3271.53,313,191.67,80,292.31,0,0
Jorhat,135,3933,5978.34,388,515.75,78,69.9,361,1054.03,12,6.06,1063,1528.35,428,538.61,6945,8086.82,615,448.79,72,703.09,8,69.5
KARIMGANJ,87,1961,1989.63,256,250.49,97,41.37,120,105.18,32,10.99,860,1404.71,299,447.26,3644,2786.46,1349,615.33,17,225.78,1,8.89
Kamrup,167,7004,9378.84,417,418.8,591,524.81,234,242.26,12,7.48,1499,2169.66,881,1128.7,12668,9978.7,1975,1330.62,78,654.43,5,62.36
Kamrup Metro,416,2338,2713,141,154.4,178,130.83,849,1572.43,78,63.78,1089,2044.89,409,559.92,3257,3406.44,474,414.79,373,4995.79,36,391
Karbi Anglong,64,2109,3470.46,1411,1894.88,8,5.27,5,7.79,1,1.84,394,450.28,161,98.27,4699,4846.84,755,224.77,27,470.49,3,9.88
Kokrajhar,52,2515,2459.29,198,123.56,71,24.54,70,69.87,6,7.19,1854,2340.63,1510,1829.33,3471,3402.54,706,616.43,12,256.08,0,0
Lakhimpur,87,5457,7112.6,518,702.42,333,177.82,113,119.22,9,2.34,1280,2512.57,536,983.76,8894,8496.33,1137,623.88,43,540.69,11,123.65
Majuli,14,1015,1675.6,73,103.11,31,19.79,1,2,0,0,157,151.3,64,63.25,1097,1556.39,248,112.86,5,43.9,0,0
Morigaon,67,2705,3157.27,271,347.69,394,260.83,290,256.17,59,14.81,867,1256.09,479,665.56,5322,4603.17,2051,1115.51,26,233.86,2,10.02
Nagaon,149,6590,10010.25,540,707.76,292,130.49,74,77.66,11,4.02,1691,2892.63,808,1188.49,13052,12445.1,1255,769.07,100,993.79,8,48.48
Nalbari,83,5908,8681.73,184,276.01,193,118.32,255,460.76,16,9.68,1237,2193.71,766,1270.69,9984,9920.76,1099,584.33,29,471.19,0,0
Sivasagar,94,3059,3855.44,201,199.88,141,65.63,129,197.06,3,3.91,907,1892.93,346,611.7,5505,4945.93,449,342.6,51,647.4,10,167.08
Sonitpur,122,5224,7213.34,438,441.78,417,200.57,135,577.43,7,4.72,1288,2414.11,559,864.1,8736,7665.58,2081,1059.01,101,1141.21,7,42.87
South Salmara,11,582,469.72,53,68.18,142,29.73,0,0,0,0,389,441.99,338,379.61,964,901.98,256,100.39,0,0,0,0
Tinsukia,147,4659,6568.66,481,595.85,181,97.32,397,419.31,42,28.31,1393,2315.95,558,754.59,8704,7587.53,664,331.2,236,1411.85,0,0
Udalguri,46,2578,3771.31,161,191.64,104,89.18,23,17.9,4,0.56,1720,2682.87,1408,2215.45,3612,4405.34,937,634.43,17,157.29,1,0.09
West Karbi Anglong,22,826,1109.64,624,657.29,3,3.89,42,59.2,0,0,15,14.23,12,12.06,2518,1939.1,1060,315.13,17,49.86,0,0
