district,Total Branch,Total Agri (PS) O/S No.,Total Agri (PS) O/S Amt.,Tot Agri (PS) NPA No.,Tot Agri (PS) NPA Amt.,Agri NPA Amt %,Total MSME (PS) O/S No.,Total MSME (PS) O/S Amt.,Tot MSME (PS) NPA No.,Tot MSME (PS) NPA Amt.,MSME NPA Amt %,Total Other PS O/S No.,Total Other PS O/S Amt.,Tot Other (PS) NPA No.,Tot Other (PS) NPA Amt.,OTHER(PS) NPA Amt %,Total PS O/S No.,Total PS O/S Amt.,Total PSA NPA No.,Total PSA NPA Amt.,TOTAL PSA NPA Amt %
Baksa,53,40640,26632.61,13797,7371.16,27.68,18401,17615.22,5550,4999.08,28.38,8788,11956.76,1353,1055.71,8.83,67829,56204.59,20700,13425.95,23.89
Barpeta,121,107937,64231.74,45284,19953.2,31.06,34969,61970.66,8772,9370.17,15.12,50012,52638.31,4815,2795.82,5.31,192918,178840.71,58871,32119.19,17.96
Biswanath,56,47932,31975.82,15526,7439.53,23.27,14283,22160.83,3773,2399,10.83,21825,13995.7,3322,1465.93,10.47,84040,68132.35,22621,11304.46,16.59
Bongaigaon,55,28901,20843.08,8340,3303.58,15.85,17161,44600.58,2130,2748.36,6.16,28621,30032.34,5539,1797.01,5.98,74683,95476,16009,7848.95,8.22
Cachar,158,87465,60321.3,32118,18426.97,30.55,38606,105720.02,4974,8912.83,8.43,98853,73913.84,8690,4411.34,5.97,224924,239955.16,45782,31751.14,13.23
Charaideo,33,19402,12887.35,4504,2763.34,21.44,5404,10464.05,1925,2062.72,19.71,6935,8234.62,1200,654.52,7.95,31741,31586.02,7629,5480.58,17.35
Chirang,34,27845,18415.67,10605,5976.84,32.46,10596,13199.44,3148,3232.53,24.49,12406,12203.51,1231,440.29,3.61,50847,43818.62,14984,9649.66,22.02
Darrang,70,70834,41894.79,31231,15236.94,36.37,17297,30183.85,5474,6334.95,20.99,33844,28420.98,3323,1970.62,6.93,121975,100499.62,40028,23542.51,23.43
Dhemaji,45,44961,28318.37,11966,6563.14,23.18,19678,19740.08,3467,3823.32,19.37,9385,19930.44,781,567.29,2.85,74024,67988.89,16214,10953.75,16.11
Dhubri,83,55341,32696.22,32019,16363.39,50.05,18133,28610.6,5417,4343.38,15.18,52223,41887.43,4884,2823.37,6.74,125697,103194.25,42320,23530.14,22.8
Dibrugarh,182,124878,91253.34,52841,25962.39,28.45,47571,163873.78,9016,15797.56,9.64,45390,70814.49,8646,4190.91,5.92,217839,325941.61,70503,45950.86,14.1
Dima Hasao,28,3257,2077.73,1303,409.65,19.72,2746,3572.7,239,242.33,6.78,753,4151.55,29,68.92,1.66,6756,9801.98,1571,720.9,7.35
Goalpara,67,50600,29359.49,14812,8488.95,28.91,20154,23368.16,5070,5111.44,21.87,20100,11845.81,3448,1460.7,12.33,90854,64573.46,23330,15061.09,23.32
Golaghat,115,102811,63757.68,51836,21366.09,33.51,25416,48837.93,5716,5371.52,11,47187,42734.77,3840,1652.42,3.87,175414,155330.38,61392,28390.03,18.28
Hailakandi,44,26325,16694.75,9800,4748.5,28.44,8408,16941.55,1895,2384.2,14.07,17147,14362.98,1729,992.27,6.91,51880,47999.28,13424,8124.97,16.93
Hojai,59,37635,22716.89,18998,9769.68,43.01,15611,20556.56,3435,2252.38,10.96,26520,34665.42,2047,2839.47,8.19,79766,77938.87,24480,14861.53,19.07
Jorhat,135,92368,69856.53,40390,17077.25,24.45,33792,120152.41,9210,11959.28,9.95,39464,60714.84,7339,2910.77,4.79,165624,250723.78,56939,31947.3,12.74
Kamrup Metro,167,138279,76308.53,46880,22729.23,29.79,58422,96597.67,20185,13761.24,14.25,85867,74753.27,18294,6248.63,8.36,282568,247659.47,85359,42739.1,17.26
Karbi Anglong,64,47580,24331.9,9531,4331.32,17.8,14436,11529.34,933,1014.37,8.8,6014,25445.34,624,347.17,1.36,68030,61306.58,11088,5692.86,9.29
Karimganj,87,49189,33702.17,20900,10715.92,31.8,16347,31599.51,3029,3441.53,10.89,45018,31197.54,4757,2455.15,7.87,110554,96499.22,28686,16612.6,17.22
Kokrajhar,52,35025,24020.91,12776,6820.48,28.39,9448,17063.95,4554,4923.46,28.85,20377,20736.86,1839,801.98,3.87,64850,61821.72,19169,12545.92,20.29
Lakhimpur,87,107653,63514.32,34143,16840.89,26.52,37882,52494.58,6778,7719.67,14.71,26446,48682.24,3280,3102.53,6.37,171981,164691.14,44201,27663.09,16.8
Majuli,14,8581,5499.51,2906,1636.57,29.76,3750,5313.46,880,689.61,12.98,1445,8531.46,521,930.39,10.91,13776,19344.43,4307,3256.57,16.83
Morigaon,67,72072,46962.53,30475,16452.17,35.03,14578,23510.63,3313,3901.19,16.59,27539,40905.58,1649,3150.96,7.7,114189,111378.74,35437,23504.32,21.1
Nagaon,149,174119,96928.27,85056,35528.42,36.65,32162,78781.85,10195,12480.78,15.84,71285,76803.75,6998,4816.26,6.27,277566,252513.87,102249,52825.46,20.92
Nalbari,83,76540,40078.92,32405,11059.51,27.59,23588,32018.19,10038,7181.61,22.43,27947,36660.63,3622,2350.81,6.41,128075,108757.74,46065,20591.93,18.93
Sivasagar,94,71183,37822.11,25228,10605.97,28.04,23454,61902.86,5449,5719.27,9.24,27209,38350.16,3624,1979.17,5.16,121846,138075.13,34301,18304.41,13.26
Sonitpur,122,84029,55176.36,26395,13010.58,23.58,30834,85612.82,8829,9051.83,10.57,44534,75966.8,4427,4066.89,5.35,159397,216755.98,39651,26129.3,12.05
South Salmara,11,3290,1873.79,2142,1037.03,55.34,1532,2602.56,1074,1471.46,56.54,419,2107.32,229,299.71,14.22,5241,6583.67,3445,2808.2,42.65
Tinsukia,147,84035,112859.49,31233,19553.92,17.33,32689,111438.43,7329,7769.63,6.97,33080,47008.88,3114,1955.07,4.16,149804,271306.8,41676,29278.62,10.79
Udalguri,46,53446,32866.81,26272,15774.92,48,14538,14449.61,5918,6964.4,48.2,10148,21205.88,2942,1512.8,7.13,78132,68522.3,35132,24252.12,35.39
West Karbi Anglong,22,14610,7078.13,2976,1215.44,17.17,1644,650.08,258,110.67,17.02,642,6519.15,27,52.59,0.81,16896,14247.36,3261,1378.7,9.68
