district,Total Branch,KCCs for AH and Allied Activities No,KCCs for AH and Allied Activities Amt,Farm Production A/C,Farm Production amt,Dairy no,Dairy Amt,Farm Mechanisation No,Farm Mechanisation Amt,Poultry No,Poultry Amt,fisheries no,fisheries Amt,Godown No,Godown Amt,Clinic No,Clinic Amt,Other No,Other Amt,Total IC-Agri O/S No.,Total IC-Agri O/S Amt
Baksa,53,1006,894.65,99,152.3,281,400.19,174,155.93,68,77.43,26,81.88,0,0,0,0,1444,1478.3,3098,3240.68
Barpeta,121,436,735.9,393,625.7,1348,1606.87,3258,2240.24,519,594.84,200,340.16,2,13.1,4,6.52,6733,3416.04,12893,9579.37
Biswanath,56,287,352.23,147,728.65,66,98.1,130,149.51,156,143.51,22,33.47,0,0,13,23.5,1628,1578.54,2449,3107.51
Bongaigaon,55,490,501.96,239,353.97,1859,1167.69,807,500.19,126,146.55,48,85.73,7,121.41,4,4.58,3774,1979.91,7354,4861.99
Cachar,158,2034,2421.48,1837,2543.69,790,1062.32,337,478.87,428,799.26,239,327.83,10,688.65,19,35,2541,3897.12,8235,12254.22
Charaideo,33,355,408.81,201,272.7,30,68.37,37,54.67,55,62.14,21,36.68,1,0.7,8,16,572,529.5,1280,1449.57
Chirang,34,520,301.67,100,142.97,264,259.22,22,37,43,43.49,31,22.81,0,0,3,7.05,393,324.38,1376,1138.59
Darrang,70,702,1101.9,325,499.46,697,1162.84,1457,570.88,149,170.92,166,200.26,1,40.08,8,13.55,5003,3925.22,8508,7685.11
Dhemaji,45,526,581.35,406,582.31,147,259.06,2253,560.18,197,199.83,23,22.6,0,0,7,10.82,1732,1174.7,5291,3390.85
Dhubri,83,556,864.12,472,723.27,298,476.06,281,388.71,179,172.03,30,40.54,1,38.2,11,38.12,606,690.96,2434,3432.01
Dibrugarh,182,1293,1530.01,752,1085.79,792,875.83,2231,875.41,503,588.31,255,261.75,5,11.2,15,25.17,6885,6570.31,12731,11823.78
Dima Hasao,28,89,66.64,39,60.89,19,17.43,15,16.46,8,10.73,3,2.82,0,0,3,7,309,226.89,485,408.86
Goalpara,67,550,555.58,316,445.15,296,344.69,559,227.86,243,218.9,50,58.36,6,0.94,5,6.72,1518,2077.96,3543,3936.16
Golaghat,115,1262,1219.76,627,1015.72,512,341.49,2281,1026.29,159,184.38,39,28.65,5,458.05,2,3,8627,5281.93,13514,9559.27
Hailakandi,44,479,583.21,393,588.9,309,523,74,144.36,213,306.16,27,37.84,3,1578.33,8,11.77,800,747.23,2306,4520.8
Hojai,59,486,869.07,554,989.57,199,345.06,576,326.98,124,154.44,43,71.33,1,0.25,3,3.65,492,966.35,2478,3726.7
Jorhat,135,1138,1344.35,614,902.31,879,771.69,1065,700.73,207,239.71,68,132.73,2,2.1,20,111.05,5461,5714.99,9454,9919.66
Kamrup Metro,167,1004,1354.19,710,1212.3,2943,1657.71,3914,1374.38,743,1241.48,159,166,4,46.11,18,32.31,4865,3903.99,14360,10988.47
Karbi Anglong,64,145,149.05,55,83.19,605,308.44,498,184.86,32,46.87,32,24.66,0,0,5,9,1035,1476.53,2407,2282.6
Karimganj,87,1217,1678.99,1355,1925.25,311,435.21,259,350.54,189,228.66,115,119.38,9,69.26,10,10.89,1711,1068.93,5176,5887.11
Kokrajhar,52,204,208.13,64,79.52,440,306.78,47,51.19,156,185.19,22,171.31,0,0,1,9.2,466,630.46,1400,1641.78
Lakhimpur,87,993,1445.87,952,1516.2,369,560.16,1834,631.37,416,610.91,203,353.95,1,0.26,9,17.77,3415,1780.56,8192,6917.05
Majuli,14,58,111.49,59,116.68,6,9.24,27,55.09,13,12.43,16,18.06,0,0,1,2,87,62.38,267,387.37
Morigaon,67,2011,2515.24,1134,1530.72,848,1161.91,579,660.57,262,343.94,188,352.03,1,14.53,8,11.17,2365,1879.08,7396,8469.19
Nagaon,149,2079,2830.53,1675,2744.59,1216,1308.15,4660,2281.94,463,585.7,449,669.4,10,563.69,32,58.08,11205,4281.11,21789,15323.19
Nalbari,83,660,705.71,259,428.43,763,751.21,3597,1001.53,382,271.34,162,148.93,2,12.86,10,15.69,3993,3208.3,9828,6544
Sivasagar,94,1094,1018.38,486,670.98,1090,763.77,2122,1104.23,599,611.22,73,62.83,0,0,12,11.44,4365,2627.44,9841,6870.29
Sonitpur,122,980,1112.95,442,679.29,300,523.55,2246,876.8,572,645.21,107,211.36,1,0.22,5,16.69,2971,2111.23,7624,6177.3
South Salmara,11,0,0,0,0,4,14.88,3,1.97,3,10.52,1,2.18,0,0,0,0,57,189.52,68,219.07
Tinsukia,147,1252,1797.08,1065,1608.12,715,963.69,3229,1023.82,334,764.01,103,80.19,1,0.05,4,6.45,2752,7042.98,9455,13286.39
Udalguri,46,123,151.32,20,34.15,203,375.67,59,124.74,280,289.8,96,50.86,0,0,0,0,1048,1283.15,1829,2309.69
West Karbi Anglong,22,2,3.08,0,0,140,55.21,4,6.26,2,8.75,7,1.55,0,0,0,0,48,26.27,203,101.12
