district,Total Branch,Small and Marginal Farmers No,Small and Marginal Farmers Amt,Scheduled Castes No,Scheduled Castes Amt,Scheduled Tribes No,Scheduled Tribes Amt,DRI scheme No,DRI scheme Amt,Self Help Groups No,Self Help Groups Amt,women beneficiaries No,women beneficiaries Amt,Minority communities No,Minority communities Amt,PMJDY No,PMJDY Amt,Others No,Others Amt,Tot Weaker Sec O/S No.,Tot Weaker Sec O/S Amt.
Baksa,53,24283,15268.42,3562,2921.66,11041,10841.21,17,7.05,5233,6395.21,5598,1954.45,5276,4695.95,40,4.67,17158,5840.87,72208,47929.49
Barpeta,121,77010,46354.38,15108,8688.57,6025,4533.82,195,31.29,7895,7436.17,37542,11367.98,41680,45176.95,706,9778.74,26508,14148.88,212669,147516.78
Biswanath,56,34439,19276.57,7979,5171.47,8997,5323.07,67,20.31,6793,7106.4,10176,4117.34,5032,4555.45,23,4.08,16445,8155.54,89951,53730.23
Bongaigaon,55,22365,14293.88,7241,4945.01,3133,4124.84,103,15.6,2308,2733.32,12737,5453.28,10317,14431.19,834,679.2,18428,10416.89,77466,57093.21
Cachar,158,79654,49728.89,49398,30373.36,8251,7104.76,612,123.58,5083,4395.43,45994,20277.97,40066,36820.71,730,4496.13,40581,41695.07,270369,195015.9
Charaideo,33,17448,10454.13,1574,1243.87,1246,922.2,54,11.38,2193,2427.93,8620,3261.73,1645,1483.26,21,9.03,5783,4667.74,38584,24481.27
Chirang,34,22089,13838.69,3439,2394.8,11869,10429.89,71,49.36,3772,3612.39,6394,2800.38,6356,4755.07,12,4.15,7156,3375.86,61158,41260.59
Darrang,70,55293,32141.81,4041,2744.94,2967,2210.3,91,14.47,5924,6196.53,18451,6038.44,23781,24548.83,45,10.77,15674,7095.79,126267,81001.88
Dhemaji,45,29552,20120.42,4382,3575.27,14464,14602.1,123,19.46,6044,5389.47,8606,3612.34,832,559.01,29,16.02,21838,11176.63,85870,59070.72
Dhubri,83,51563,29148.79,10779,6412.86,2350,1650.51,176,72.5,4055,3663.93,17670,7191.14,26240,25229.99,91,44.58,15872,9489.65,128796,82903.95
Dibrugarh,182,98376,58589.43,14169,11743.93,14969,14055.73,391,170.88,7145,6473.23,58237,22437.27,7360,10783,502,462.63,39290,28365.74,240439,153081.84
Dima Hasao,28,1319,737.73,1081,1301.27,2842,4470.23,75,4.75,937,1052.52,2343,1203.4,2051,2541.43,52,2.62,3271,3750.78,13971,15064.73
Goalpara,67,38288,20578.46,4892,3388.86,13945,8240.69,226,61.45,6336,5404.33,14667,5580.2,18524,16916.67,72,9.89,17750,8838.93,114700,69019.48
Golaghat,115,94676,50888.25,15360,9626.65,14165,9610.96,239,41.57,5620,7168.51,42174,15234.94,6221,5555.96,361,123.54,32799,17084.96,211615,115335.34
Hailakandi,44,24089,13067.65,8375,5638.44,1727,1401.47,123,22.15,2218,1760.7,8261,3555.51,20241,17376.77,117,85.83,6874,5384.52,72025,48293.04
Hojai,59,36608,21037.92,12939,8339.38,5013,3572.95,234,29.73,2645,2562.93,13173,7111.29,18464,14229.54,140,24.75,22534,13315.35,111750,70223.84
Jorhat,135,68484,34470.99,13588,9048.19,14171,9434.66,281,114.9,4681,6024.41,43391,14449.88,6328,9960.48,352,2286.48,30119,14129.5,181395,99919.49
Kamrup Metro,167,102225,56859.48,20705,12933.73,16463,10973.14,392,105.27,10815,9543.9,57098,17236.48,25678,24699.46,424,29.61,49828,22218.1,283628,154599.17
Karbi Anglong,64,13572,7408.68,1146,1530.27,12877,15349.29,30,3.88,4416,4793.15,13325,4616.41,1747,2663.87,18,2.19,19302,6216.73,66433,42584.47
Karimganj,87,46009,30773.87,26080,15126.96,3533,2403.13,221,55.04,3509,2474.55,22104,7539.02,19742,15161.83,160,1019,15114,9787.8,136472,84341.2
Kokrajhar,52,24924,15784.85,4161,2806.43,15733,17355.33,100,35.6,2722,2612.17,14995,5975.6,11905,7876.82,28,103.25,6951,5221.42,81519,57771.47
Lakhimpur,87,75448,48635.68,14020,11513.53,18997,19547.47,370,44.71,7295,7577.66,27370,12298.36,12284,11818.68,130,503.32,45432,25458.82,201346,137398.23
Majuli,14,6061,3208.81,776,643.45,2527,2026.52,14,9.04,980,1460.12,776,374.38,609,347.87,10,3.11,3807,1840.59,15560,9913.89
Morigaon,67,66877,43663.06,13159,8089.28,16022,9781.11,297,50.89,4768,4279.53,19111,8382.64,21985,14406.73,1813,41.55,17930,10911.61,161962,99606.4
Nagaon,149,132353,74380.89,26928,17585.31,16632,10805.25,453,73.2,9722,10403.94,59911,22994.63,56692,46651.61,364,206.33,48171,35357.7,351226,218458.86
Nalbari,83,47384,24939.26,7435,4753.91,4368,3643.04,113,42.28,9404,9803.91,29125,7374.65,13505,12536.97,82,11.54,17593,9824.98,129009,72930.54
Sivasagar,94,53284,27060.99,7848,5935.13,5396,4538.29,181,22.96,3926,3891.61,30337,11184.97,6889,9738.75,510,1761.68,23582,13634.87,131953,77769.25
Sonitpur,122,63198,38070.95,14057,9540.44,13653,9740.8,196,23.99,9215,8317.37,29067,12362.4,11529,13650.8,283,3368.77,37337,24986.58,178535,120062.1
South Salmara,11,2465,1061.96,31,74.54,28,8.34,0,0,554,574.93,286,120.78,2608,5023.2,12,0.04,210,291.13,6194,7154.92
Tinsukia,147,65312,46606.98,7883,7933.22,10496,11284.35,188,44.74,6589,6294.78,32954,19306.39,6195,9538.94,362,905.52,19926,12842.86,149905,114757.78
Udalguri,46,38586,24181.66,2613,1947.82,26403,25576.05,39,37.11,3770,4004.48,7729,3894.06,11584,11289.39,71,2.76,15116,6118.11,105911,77051.44
West Karbi Anglong,22,2847,1823.87,196,226.28,2115,3489.57,0,0,2510,1927.92,3760,1309.35,283,585.68,11,0.28,1685,394.25,13407,9757.2
