district,Total Branch,Enrolment under PMJJBY,eligible cases under PMJJBY,renewals under PMJJBY,Enrolment under PMSBY,eligible cases under PMSBY,renewals under PMSBY,Enrolment under APY,Total Enrolment No.
Baksa,53,44867,478678,25648,129768,701969,73106,20879,195514
Barpeta,122,103322,1024608,56550,386377,1593177,241283,42475,532174
Biswanath,57,55890,328097,29502,127159,480344,79455,24058,207107
Bongaigaon,56,38476,314171,17412,147894,482370,84141,17417,203787
Cachar,159,102147,608165,55571,296068,992889,192484,33537,431752
Charaideo,33,31020,174506,13846,76510,268829,46617,9465,116995
Chirang,34,38601,329013,22001,109245,489776,68745,11666,159512
Darrang,71,74246,579463,39264,220205,911372,137267,21432,315883
Dhemaji,46,70991,338902,33420,213925,563901,128846,31142,316058
Dhubri,84,84969,748810,37691,369069,1240632,233661,35267,489305
Dibrugarh,183,128958,680697,70841,310038,1038215,197998,47473,486469
Dima Hasao,29,14568,88650,6219,38892,125692,20504,8436,61896
Goalpara,68,60071,521103,26215,242479,829669,142871,23182,325732
Golaghat,116,87790,410844,46478,211400,653797,136842,31827,331017
Hailakandi,45,34919,242270,18935,104859,412648,67959,14017,153795
Hojai,60,61515,333346,27717,169496,561017,100844,15656,246667
Jorhat,136,77028,404589,38990,229863,633830,148399,31067,337958
Kamrup Metro,167,87761,860230,49414,265919,1297984,164886,38850,392530
Karbi Anglong,65,45172,320485,23907,113330,437308,79679,29397,187899
Karimganj,88,47902,358108,24758,131928,607923,85983,21190,201020
Kokrajhar,53,49677,461366,28021,145432,756827,82300,12744,207853
Lakhimpur,88,99670,395154,47290,295776,645635,176319,34389,429835
Majuli,14,10043,82392,3960,28398,126432,17506,5952,44393
Morigaon,68,48226,356249,23730,123857,566965,79831,17378,189461
Nagaon,150,128314,726835,66469,382217,1315415,217016,44748,555279
Nalbari,84,53470,483303,29552,146063,720159,93605,17577,217110
Sivasagar,95,82044,339410,46252,193260,527162,124306,19715,295019
Sonitpur,123,114457,675518,63818,258477,1001690,155907,33751,406685
South Salmara,11,6266,156244,1990,46991,250663,29277,4060,57317
Tinsukia,148,100969,604482,47144,255149,898024,147378,31774,387892
Udalguri,47,66031,559958,35315,154307,839800,94980,17494,237832
West Karbi Anglong,22,17123,119575,10259,41344,170879,27871,11234,69701
