District,Total Br(s),Sishu,Kishore,Tarun,Tarun Plus,Total MUDRA Disb
Aizawl,132,2304,5226,420,16,7966
Champhai,20,277,584,70,5,936
Hnahthial,5,0,18,15,0,33
Khawzawl,8,30,23,15,0,68
Kolasib,26,747,2339,56,0,3142
Lawngtlai,13,62,156,39,0,257
Lunglei,25,259,453,64,1,777
Mamit,12,27,29,7,0,63
Saiha,8,3,20,10,2,35
Saitual,10,22,46,22,0,90
Serchhip,19,29,90,27,0,146
