district,Branches Rural,Semi- Urban,Urban,Total,ATMs Rural,Semi- Urban,Urban,Total,CSPs Fixed,Others,Total
Aizawl,23,0,135,251,8,0,135,251,235,138,251
Champhai,6,9,0,123,0,9,0,123,113,10,123
Hnahthial,5,0,0,16,2,0,0,16,16,0,16
Khawzawl,5,1,0,19,3,1,0,19,19,0,19
Kolasib,7,14,0,131,1,14,0,131,125,5,131
Lawngtlai,6,4,0,184,3,4,0,184,184,0,184
Lunglei,8,13,2,171,2,13,2,171,169,2,171
Mamit,12,0,0,76,5,0,0,76,76,0,76
Saiha,1,6,0,51,0,6,0,51,50,1,51
Saitual,7,1,0,14,2,1,0,14,14,0,14
Serchhip,11,4,0,75,4,4,0,75,75,0,75
