district,Total Br(s),SANCTION No.,Amt.,DISBURSED No.,Amt.,O/S No.,Amt.,NPA No.,Amt.,%
Aizawl,132,183,510.97,156,510.97,937,510.97,183,510.97,12.09
Champhai,20,10,23.08,10,23.08,156,23.08,16,23.08,3.84
Hnahthial,5,0,0.43,0,0.43,39,0.43,1,0.43,0.29
Khawzawl,8,6,1.45,6,1.45,69,1.45,1,1.45,0.43
Kolasib,26,12,143.96,15,143.96,161,143.96,37,143.96,20.48
Lawngtlai,13,2,38.07,2,38.07,112,38.07,19,38.07,16.97
Lunglei,25,51,98.04,51,98.04,427,98.04,37,98.04,7.1
Mamit,12,2,48.7,2,48.7,115,48.7,23,48.7,14.02
Saiha,8,7,31.27,7,31.27,52,31.27,14,31.27,16.19
Saitual,10,6,33.79,6,33.79,109,33.79,12,33.79,6.56
Serchhip,19,13,46.26,14,46.26,216,46.26,20,46.26,6.95
