district,Total Br(s),Current Year Self-Help Group No.,Amt.,NRLM O/S No.,Amt.,NRLM Irregular No.,Amt.,NRLM NPA No.,Amt.,%
Aizawl,132,102,7.62,471,7.62,42,7.62,5,7.62,1.13
Champhai,20,66,50.42,463,50.42,94,50.42,20,50.42,3.1
Hnahthial,5,42,0,74,0,14,0,0,0,0
Khawzawl,8,46,19.86,196,19.86,15,19.86,12,19.86,5.05
Kolasib,26,72,124.98,337,124.98,54,124.98,65,124.98,14.41
Lawngtlai,13,91,14.27,266,14.27,34,14.27,13,14.27,3.22
Lunglei,25,43,3.12,202,3.12,44,3.12,4,3.12,1.36
Mamit,12,97,17.4,432,17.4,39,17.4,9,17.4,1.6
Saiha,8,40,43.87,314,43.87,16,43.87,22,43.87,5.82
Saitual,10,46,6.09,255,6.09,21,6.09,4,6.09,0.9
Serchhip,19,50,36.84,395,36.84,75,36.84,18,36.84,3.39
