District,Total Br,PMJJBY,PMSBY,APY,Total Enrolment
Aizawl,132,53608,93155,6788,153551
Champhai,20,7544,12475,1092,21111
Hnahthial,5,2851,4890,169,7910
Khawzawl,8,3222,4513,108,7843
Kolasib,26,6412,12320,1183,19915
Lawngtlai,13,6142,11212,1096,18450
Lunglei,25,10365,22490,1958,34813
Mamit,12,4409,7892,269,12570
Saiha,8,4971,7652,881,13504
Saitual,10,3323,5188,220,8731
Serchhip,19,6040,9221,494,15755
