District,Total Br(s),Numberofoperative CASA,Numberof Aadhaarseeded CASA,Numberof Authenticated CASA
Aizawl,132,601941,462330,151228
Champhai,20,94470,71798,14175
Hnahthial,5,27303,22328,3945
Khawzawl,8,38551,33714,3133
Kolasib,26,107655,85829,15491
Lawngtlai,13,128492,97912,20886
Lunglei,25,152475,114158,24640
Mamit,12,82543,69095,7430
Saiha,8,76236,54652,11744
Saitual,10,50330,44002,4583
Serchhip,19,76526,63835,6212
