District,Total Branch,Agri,Edn,Housing,Personal,Other NPS,Total NPS
Aizawl,132,2,0,19,270,1674,1965
Champhai,20,3,0,4,10,74,91
Hnahthial,5,0,0,1,1,4,6
Khawzawl,8,0,0,0,11,12,23
Kolasib,26,0,0,1,17,176,194
Lawngtlai,13,1,0,2,43,97,143
Lunglei,25,42,0,1,26,123,192
Mamit,12,0,0,0,16,20,36
Saiha,8,3,0,1,16,53,73
Saitual,10,0,0,1,3,6,10
Serchhip,19,0,0,1,16,31,48
