district,Total Br(s),In- active CSPs,RuPay card active in PMJDY,First time active RuPay card,Aadhaar Authenti- cated SB accounts,RuPay card issued in KCC
Aizawl,132,10,43413,3059,139689,3410
Champhai,20,8,8157,395,14965,1694
Hnahthial,5,8,3474,264,4404,3
Khawzawl,8,1,6956,146,5871,38
Kolasib,26,3,9629,721,20429,82
Lawngtlai,13,14,15150,2021,24883,2036
Lunglei,25,12,21204,1468,26374,1129
Mamit,12,7,14148,92,8394,18
Saiha,8,13,9980,332,12281,2935
Saitual,10,0,7059,99,5126,69
Serchhip,19,1,11206,227,7877,64
