District,Total Br,Crop,Term Loan,Agri Infra,Ancillary,Agri Total NPA
Aizawl,132,5376,1054,1,24,6455
Champhai,20,132,390,0,7,529
Hnahthial,5,32,27,0,0,59
Khawzawl,8,38,108,0,0,146
Kolasib,26,89,303,0,14,406
Lawngtlai,13,337,682,0,8,1027
Lunglei,25,68,716,0,5,789
Mamit,12,49,134,0,0,183
Saiha,8,164,252,0,15,431
Saitual,10,67,75,0,1,143
Serchhip,19,41,203,0,2,246
