District,Total MSME NPA Amt (PS),Total MSME NPA No. (PS),Other MSME Amt,Other MSME No.,KVIC Amt,KVIC No.,Medium Amt,Medium No.,Small Amt,Small No.,Micro Amt,Micro No.
East Garo Hills,332.93,710,7.48,3,14.49,14,0,0,1.09,1,309.87,692
East Jaintia Hills,1228.36,366,0,0,0.55,2,0,0,433,32,794.81,332
East Khasi Hills,11889.91,3066,28.31,16,187,61,2016.02,8,2235.85,223,7422.73,2758
North Garo Hills,341.29,417,1.49,1,0,0,0,0,0,0,339.8,416
Ri Bhoi,1425.65,1084,18.56,20,45.37,33,0,0,162.69,28,1199.03,1003
South Garo Hills,324.82,301,1.39,2,14.34,14,0,0,0,0,309.09,285
West Garo Hills,2161.31,2080,47.06,20,19.9,12,0,0,414.58,161,1679.77,1887
West Jaintia Hills,2647.13,958,6.35,14,18.29,18,207.63,5,844.21,117,1570.65,804
West Khasi Hills,665.43,395,0,0,6.96,10,0,0,30.33,4,628.14,381
