district,No Medium,Small Amt,Small No,Amt Micro,No Micro,Amt Ancillary,No Ancillary,Agri Amt Infra,Agri No Infra,Term Amt Loan,Loan Term No,Crop Amt,Crop No
East Garo Hills,0,1.09,1,309.87,692,0,0,367.08,1365,19.45,44,804.38,1867
East Jaintia Hills,0,433,32,794.81,332,22.02,18,110.17,413,23.1,42,30.86,47
East Khasi Hills,8,2235.85,223,7422.73,2758,1247.11,116,1063.94,814,208.41,384,2323.55,4803
Eastern West Khasi Hills,0,23.91,4,251.03,175,2,2,25.79,106,45.88,63,423.92,1040
North Garo Hills,0,0,0,339.8,416,19.82,12,471.66,1709,1.17,2,1365.05,2927
Ri Bhoi,0,162.69,28,1199.03,1003,124.15,137,431.21,1836,159.69,623,7653.65,13204
South Garo Hills,0,0,0,309.09,285,1.31,1,237.28,1291,36.33,82,280.85,909
South West Garo Hills,0,1.88,3,412.24,325,0,0,1079.34,1912,15.3,42,1259.57,3154
South West Khasi Hills,0,3.95,2,82.01,56,0,0,24.37,119,6.45,10,151.48,359
West Garo Hills,0,414.58,161,1679.77,1887,13.39,11,577.08,2782,130.76,348,2174.82,5074
West Jaintia Hills,5,844.21,117,1570.65,804,113.13,90,126.07,349,27.68,71,828.49,1584
West Khasi Hills,0,30.33,4,628.14,381,0,0,77.45,455,29.79,54,1822.76,2985
