district,% Amt. NPA NULM,Amt. NPA NULM,No. NPA NULM,Amt. O/S NULM,No. O/S NULM,rent Total Disb Amount NULM Year Cur-,Disb rent Total NULM No. Year Cur-,of SHG ciary Beneif- No. Women,Amt. SHG Women,No. SHG Women,of SHG ciary Beneif- No.,Amt SHG,No. SHG,No. ciary Beneif- of Sep-G,Amt. Sep-G,No Sep-G,Amt Sep-I,No. Sep-I
East Garo Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Jaintia Hills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Khasi Hills,66.26,12,23,18.11,30,1.9,1,1,1.9,1,1,1.9,1,0,0,0,0,0
Ri Bhoi,0,6.42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Garo Hills,35.83,18.1,18,50.52,54,14.62,12,10,12.4,9,10,12.41,10,0,0,0,2.21,2
West Khasi Hills,0,0,0,0.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0
