District,Current Year Disbursement No.,Current Year Disbursement Amt,Outstanding No.,Outstanding Amt
East Garo Hills,122,260.25,191,276.71
East Jaintia Hills,0,0,26,6.34
East Khasi Hills,205,278.49,6233,1795.83
Eastern West Khasi Hills,54,78.98,83,77.73
North Garo Hills,0,0,87,93.71
Ri Bhoi,111,64.15,2012,491.18
South Garo Hills,0,0,22,8.1
South West Garo Hills,70,106.48,223,158.61
South West Khasi Hills,0,0,7,3.06
West Garo Hills,361,761.27,1334,1068.28
West Jaintia Hills,114,198.82,203,195.1
West Khasi Hills,2,5,72,132.24
