district,Tot Agri Amt. (PS) NPA,Tot Agri No. (PS) NPA,Amt Ancillary,Ancillary No,Agri Amt Infra,Agri Infra No,Term Amt Loan,Term No Loan,Crop Amt,Crop No
East Garo Hills,1190.91,3276,0,0,367.08,1365,19.45,44,804.38,1867
East Jaintia Hills,186.15,520,22.02,18,110.17,413,23.1,42,30.86,47
East Khasi Hills,4843.01,6117,1247.11,116,1063.94,814,208.41,384,2323.55,4803
North Garo Hills,1857.7,4650,19.82,12,471.66,1709,1.17,2,1365.05,2927
Ri Bhoi,8368.7,15800,124.15,137,431.21,1836,159.69,623,7653.65,13204
South Garo Hills,555.77,2283,1.31,1,237.28,1291,36.33,82,280.85,909
South West Garo Hills,2354.21,5108,0,0,1079.34,1912,15.3,42,1259.57,3154
South West Khasi Hills,182.3,488,0,0,24.37,119,6.45,10,151.48,359
West Garo Hills,2896.05,8215,13.39,11,577.08,2782,130.76,348,2174.82,5074
West Jaintia Hills,1095.37,2094,113.13,90,126.07,349,27.68,71,828.49,1584
West Khasi Hills,1930,3494,0,0,77.45,455,29.79,54,1822.76,2985
