District,PMAY O/S Amt,PMAY O/S No.,PMAY Eligible Housing Loan O/S Amt,PMAY Eligible Housing Loan O/S No.,Rural Housing Loan O/S Amt,Rural Housing Loan O/S No.,Housing Loan O/S Amt (NPS),Housing Loan O/S No. (NPS),Housing Loan O/S Amt (PS),Housing Loan O/S No. (PS)
East Garo Hills,13.47,1,13.47,1,90.45,11,592.65,58,560.65,92
East Jaintia Hills,4.55,2,10.55,3,1103.09,80,1156.9,23,738.74,84
East Khasi Hills,2141.45,136,1808.54,119,3602.69,325,62373.44,3789,29456.22,3190
North Garo Hills,0,0,0,0,138.82,22,342.63,46,646.32,135
Ri Bhoi,468.17,32,375.02,29,23812.89,1949,16879.28,1257,8513.24,817
South Garo Hills,0,0,0,0,27.55,4,481.99,30,515.86,72
South West Garo Hills,0,0,0,0,789.29,68,478.55,41,452.61,48
South West Khasi Hills,0,0,0,0,582.23,40,379.3,14,289.15,35
West Garo Hills,111.64,15,104.36,13,1278.9,197,8964.03,763,5005.04,605
West Jaintia Hills,112.71,11,15.35,7,679,62,1937.72,91,3828.47,408
West Khasi Hills,251.14,32,231.93,29,160.39,24,283.73,18,996.69,144
