District,Total Enrolment,APY Enrolment,PMSBY Renewals,PMSBY Eligible Cases,PMSBY Enrolment,PMJJBY Renewals,PMJJBY Eligible Cases,PMJJBY Enrolment
East Garo Hills,68506,1934,8685,70074,47963,2610,46817,18609
East Jaintia Hills,60361,1831,16065,102366,38704,7339,82324,19826
East Khasi Hills,302134,15695,76444,752804,190620,39140,569264,95819
Eastern West Khasi Hills,22888,666,6222,82319,12713,5560,66237,9509
North Garo Hills,85049,6874,15417,87409,54419,4996,51043,23756
Ri Bhoi,144621,3654,37319,198756,101975,13061,150458,38992
South Garo Hills,28811,926,4057,49772,20451,1390,34922,7434
South West Garo Hills,129981,2164,17989,98336,90271,6682,58921,37546
South West Khasi Hills,24333,344,4925,55827,15057,3441,42995,8932
West Garo Hills,324450,7998,48678,332878,226616,15517,207379,89836
West Jaintia Hills,85094,2392,24136,184838,59345,7710,146136,23357
West Khasi Hills,37960,959,9666,116448,24435,5280,92859,12566
