district,Agri Total Amount O/S,O/S Agri No. Total,Amt Ancillary,No Ancillary,Agri Amt Infra,Agri No Infra,Farm Loan Credit Amt Term,Term Farm Loan Credit No,Farm Amt Credit Crop,Farm Crop No Credit
East Garo Hills,5784.42,5448,0.79,1,3699.61,1779,223.73,234,1860.29,3434
East Jaintia Hills,4500.36,2421,128.92,115,3508.38,994,197.74,236,665.32,1076
East Khasi Hills,126720.77,27038,5252.37,623,105872.66,1971,2587.23,3297,13008.51,21147
Eastern West Khasi Hills,4425.28,7386,42.03,58,851.67,193,326.05,603,3205.53,6532
North Garo Hills,3850.08,6090,17.38,25,1716.76,1874,73.35,102,2042.59,4089
Ri Bhoi,26167.15,32847,1729.51,263,5093.72,2542,1054.43,2059,18289.49,27983
South Garo Hills,3255.95,3194,3.9,4,1888.68,1359,427.97,278,935.4,1553
South West Garo Hills,4504.59,7577,0,0,2249.3,2485,152.34,644,2102.95,4448
South West Khasi Hills,2370.29,2941,0,0,820.16,304,151.51,167,1398.62,2470
West Garo Hills,12767.53,14286,141.63,54,7167.48,3466,891.69,2567,4566.73,8199
West Jaintia Hills,17965.71,6484,888.05,188,13318.86,682,700.25,877,3058.55,4737
West Khasi Hills,6074.47,7532,103.36,221,2260.55,1101,153.22,251,3557.34,5959
