District,PMEGP NPA Amt,PMEGP NPA No.,PMEGP O/S Amt,PMEGP O/S No.,PMEGP Disbursed Amt (CY),PMEGP Disbursed No. (CY),PMEGP Sanction Amt (CY),PMEGP Sanction No. (CY)
East Garo Hills,61.61,115,359.32,186,31.79,33,117.46,46
East Jaintia Hills,7.78,12,148.87,54,37.85,14,72.59,17
East Khasi Hills,38.24,487,3411.4,1118,704.14,187,1229.46,196
Eastern West Khasi Hills,25.89,26,146.64,84,54.57,22,90.47,23
North Garo Hills,30.66,80,398.09,208,26.26,12,66.14,25
Ri Bhoi,38.08,131,662,320,146.22,56,264.17,69
South Garo Hills,66.3,116,409.41,191,3.84,7,61.24,20
South West Garo Hills,67.65,103,513.07,225,25.65,17,100.1,34
South West Khasi Hills,34.61,25,233.66,131,93.71,33,183.79,33
West Garo Hills,40.19,240,1827.99,654,237.68,79,636.95,119
West Jaintia Hills,28.18,73,598.44,255,304.94,63,473.35,72
West Khasi Hills,51.55,113,372.31,202,66.34,23,133.6,28
