District,Self Help Groups No.,DRI Scheme Amt,DRI Scheme No.,Scheduled Tribes Amt,Scheduled Tribes No.,Scheduled Castes Amt,Scheduled Castes No.,Small & Marginal Farmers Amt,Small & Marginal Farmers No.
East Garo Hills,374,0,0,622.4,461,10.91,5,3068.44,4673
East Jaintia Hills,586,5.23,39,6050.88,3170,15.8,16,1740.31,2616
East Khasi Hills,1432,25.12,162,96191.01,42358,2063.87,1549,14429.41,24015
Eastern West Khasi Hills,773,1.37,8,7676.14,7284,0,0,3388.4,6676
North Garo Hills,366,0.85,5,818.86,745,18.99,12,3367.68,4828
Ri Bhoi,1205,3.81,29,13388.3,12682,675.07,499,18933.22,30044
South Garo Hills,346,0,0,631.91,575,0.52,2,1538.37,2297
South West Garo Hills,528,0,0,1426.77,1602,31.6,26,4246.28,6308
South West Khasi Hills,427,0,0,3113.1,2773,4.78,7,1589.4,2669
West Garo Hills,1476,0,0,8733.38,5809,105.13,54,6099,10292
West Jaintia Hills,1123,4.3,38,14554.82,7367,56.81,18,3937.49,4760
West Khasi Hills,642,1.15,9,7920.68,5203,47.29,6,4135.78,6747
