District,Total Non-Priority NPA Amt,Sec Tot NPA Non No. Prio,Other Amt (NPS),Other No. (NPS),Loan Amt Personal,Loan No Personal,Housing Amt (NPS),Housing No. (NPS),Education Amt (NPS),Education No. (NPS),Agriculture Amt (NPS),Agriculture No. (NPS)
East Garo Hills,581.85,290,459.96,207,121.89,83,0,0,0,0,0,0
East Jaintia Hills,769.31,168,477.22,121,53.79,46,238.3,1,0,0,0,0
East Khasi Hills,89992.9,2017,89101.12,1491,706.66,513,166,10,18.06,1,1.06,2
Eastern West Khasi Hills,203.43,64,197.64,58,5.79,6,0,0,0,0,0,0
North Garo Hills,609.7,333,396.87,213,212.73,119,0,0,0,0,0.1,1
Ri Bhoi,1639.64,469,1533.89,424,86.79,41,17.4,1,0,0,1.56,3
South Garo Hills,302.48,187,202.87,125,99.61,62,0,0,0,0,0,0
South West Garo Hills,558.49,220,490.19,177,68.3,43,0,0,0,0,0,0
South West Khasi Hills,90.72,35,79.9,24,10.82,11,0,0,0,0,0,0
West Garo Hills,2975.16,1057,2406.2,704,567.61,349,0.58,1,0,0,0.77,3
West Jaintia Hills,669.14,244,516.13,157,126.51,86,26.5,1,0,0,0,0
West Khasi Hills,197.38,72,151.54,38,45.84,34,0,0,0,0,0,0
