District,Total Minority Disbursement Amt,Total Minority Disbursement No.,Jains Amt,Jains No.,Sikhs Amt,Sikhs No.,Buddhists Amt,Buddhists No.,Muslims Amt,Muslims No.,Christians Amt,Christians No.
East Garo Hills,318.4,156,0,0,13.39,1,12.9,1,194.49,111,97.62,43
East Jaintia Hills,2129.55,913,10,11,0,0,0,1,357.46,95,1762.09,806
East Khasi Hills,39273.49,13874,55.23,12,731.56,316,295.33,92,5012.14,1153,33179.23,12301
North Garo Hills,114.01,54,0,0,0,0,0,0,75.55,34,38.46,20
Ri Bhoi,9522.92,4028,106.56,11,1855.58,28,45.45,29,4372.98,1474,3142.35,2486
South Garo Hills,155.46,62,9.5,1,0,0,0,0,125.92,29,20.04,32
West Garo Hills,5921.95,3829,0,0,43.14,20,8.48,13,2883.5,2958,2986.83,838
West Jaintia Hills,5048.74,1989,0,0,2.17,3,0,0,184.25,47,4862.32,1939
West Khasi Hills,2060.03,1408,0,0,0,1,11.01,7,189.41,99,1859.61,1301
