district,acp_agri_target,acp_agri_achievement,acp_agri_pct,acp_msme_target,acp_msme_achievement,acp_msme_pct,acp_other_psa_target,acp_other_psa_achievement,acp_other_psa_pct,acp_total_target,acp_total_achievement,acp_total_pct
Balod,1901.21,1013.42,53.3039,399.99,411.36,102.8426,96.98,40.9,42.1736,2398.18,1465.68,61.1163
Baloda Bazar,2822.8,1910.08,67.6661,680.34,630.04,92.6066,129.81,112.71,86.8269,3632.95,2652.83,73.0214
Balrampur,540.6,329.71,60.9896,176.56,290.15,164.3351,47.26,22.51,47.6301,764.42,642.37,84.0336
Bastar,1142.58,747.13,65.3897,784.61,790.97,100.8106,75.99,53.34,70.1934,2003.18,1591.44,79.4457
Bemetara,3005.76,1480.68,49.2614,266.76,301.25,112.9292,48.19,23.67,49.1181,3320.71,1805.6,54.3739
Bijapur,246.24,125.84,51.1046,34.63,50.29,145.2209,26.91,3.56,13.2293,307.78,179.69,58.3826
Bilaspur,2430.54,1709.22,70.3226,4880.8,4536.73,92.9505,369.44,307.64,83.272,7680.78,6553.59,85.3245
Dantewada,103.09,58.35,56.601,113.33,105.59,93.1704,13.26,14.42,108.7481,229.68,178.36,77.6559
Dhamtari,1682.77,1655.04,98.3521,570.85,719.29,126.0033,108.28,170.77,157.7115,2361.9,2545.1,107.7565
Durg,2695.36,2161.06,80.177,5005.27,6409.2,128.049,370.48,306.32,82.6819,8071.11,8876.58,109.9797
Gariaband,742.5,669.28,90.1387,170,170.46,100.2706,93.04,16.27,17.4871,1005.54,856.01,85.1294
Gaurela-Pendra-Marwahi,338.72,210.31,62.0896,176.95,169.25,95.6485,28.92,13.83,47.8216,544.59,393.39,72.236
Janjgir-Champa,1485.6,926.04,62.3344,740.98,815.96,110.119,151.14,68.69,45.4479,2377.72,1810.69,76.1524
Jashpur,596.08,398.42,66.84,473.31,427.56,90.334,64.29,46.18,71.8308,1133.68,872.16,76.9318
Kabirdham,2250.02,1253.54,55.7124,440.73,449.55,102.0012,198.24,152.96,77.159,2888.99,1856.05,64.2456
Kanker,1621.12,914.87,56.4344,437.63,379.67,86.7559,57.31,33.49,58.4366,2116.06,1328.03,62.7596
Khairagarh-Chhuikhadan-Gandai,1325.71,683.12,51.5286,78.36,73.59,93.9127,108.24,77.45,71.554,1512.31,834.16,55.158
Kondagaon,494.96,502.17,101.4567,251.68,199.32,79.1958,39.9,28.72,71.9799,786.54,730.21,92.8383
Korba,723.05,430.73,59.5713,1948.2,1812.89,93.0546,172.88,93.08,53.8408,2844.13,2336.7,82.1587
Korea,194.63,142.37,73.1491,128.81,183.69,142.6054,24.72,17.75,71.8042,348.16,343.81,98.7506
Mahasamund,2506.47,1917.41,76.4984,470.45,543.26,115.4767,74.03,57.69,77.9279,3050.95,2518.36,82.5435
Manendragarh-Chirmiri-Bharatpur,232.18,201.85,86.9369,203.87,234.55,115.0488,23.79,14.82,62.2951,459.84,451.22,98.1254
Mohla-Manpur-Ambagarh Chowki,224.43,229.35,102.1922,33.72,45.65,135.3796,45.02,43.07,95.6686,303.17,318.07,104.9147
Mungeli,1141.1,610.2,53.4747,230.97,240.91,104.3036,38.15,23.66,62.0183,1410.22,874.77,62.0307
Narayanpur,124.24,70.46,56.7128,53.17,40.72,76.5845,18.78,7.18,38.2322,196.19,118.36,60.3293
Raigarh,1333.33,972.61,72.9459,2468.15,2502,101.3715,133.3,78.9,59.1898,3934.78,3553.51,90.3103
Raipur,3869.01,5461.58,141.1622,24354.93,26450.41,108.6039,3326,4713.9,141.7288,31549.94,36625.89,116.0886
Rajnandgaon,2743.52,1716.77,62.5755,999.97,1162.16,116.2195,316.02,213.95,67.7014,4059.51,3092.88,76.1885
Sakti,998.16,552.55,55.3569,423.88,421.73,99.4928,85.59,34.31,40.0865,1507.63,1008.59,66.899
Sarangarh-Bilaigarh,608.35,593.64,97.582,159.47,208.01,130.4383,19.56,16.22,82.9243,787.38,817.87,103.8723
Sukma,132.25,86.32,65.2703,43,44.4,103.2558,8.55,6.49,75.9064,183.8,137.21,74.6518
Surajpur,660.29,482.8,73.1194,372.21,412.4,110.7977,58.7,33.23,56.6099,1091.2,928.43,85.0834
Surguja,910.18,674.31,74.0853,1140.77,1291.76,113.2358,108.1,62.17,57.5116,2159.05,2028.24,93.9413
