district,total_branch,branch_rural,branch_semi_urban,branch_urban,branch_rural_prev_fy,branch_rural_prev_q,branch_rural_growth_abs,branch_rural_growth_pct,branch_semi_urban_prev_fy,branch_semi_urban_prev_q,branch_semi_urban_growth_abs,branch_semi_urban_growth_pct,branch_urban_prev_fy,branch_urban_prev_q,branch_urban_growth_abs,branch_urban_growth_pct,branch_total_prev_fy,branch_total_prev_q,branch_total_growth_abs,branch_total_growth_pct
Balod,112,74,37,1,69,74,5,7.2464,37,37,0,0,1,1,0,0,107,112,5,4.6729
Baloda Bazar,113,49,64,0,49,49,0,0,64,63,0,0,0,0,0,0,113,112,0,0
Balrampur,75,61,13,1,60,61,1,1.6667,12,12,1,8.3333,1,1,0,0,73,74,2,2.7397
Bastar,119,74,4,41,74,74,0,0,4,4,0,0,39,40,2,5.1282,117,118,2,1.7094
Bemetara,87,60,26,1,54,60,6,11.1111,27,26,-1,-3.7037,1,1,0,0,82,87,5,6.0976
Bijapur,48,39,9,0,38,39,1,2.6316,8,8,1,12.5,0,0,0,0,46,47,2,4.3478
Bilaspur,264,69,38,157,69,69,0,0,40,37,-2,-5,150,157,7,4.6667,259,263,5,1.9305
Dantewada,44,22,22,0,22,22,0,0,21,22,1,4.7619,0,0,0,0,43,44,1,2.3256
Dhamtari,112,55,21,36,54,55,1,1.8519,22,21,-1,-4.5455,37,36,-1,-2.7027,113,112,-1,-0.885
Durg,303,76,40,187,76,77,0,0,40,40,0,0,187,186,0,0,303,303,0,0
Gariaband,66,38,28,0,36,38,2,5.5556,26,28,2,7.6923,0,0,0,0,62,66,4,6.4516
Gaurela-Pendra-Marwahi,29,9,20,0,9,9,0,0,16,19,4,25,0,0,0,0,25,28,4,16
Janjgir-Champa,121,60,59,2,59,60,1,1.6949,58,58,1,1.7241,2,2,0,0,119,120,2,1.6807
Jashpur,91,46,43,2,41,46,5,12.1951,43,43,0,0,2,2,0,0,86,91,5,5.814
Kabirdham,84,46,36,2,43,46,3,6.9767,38,36,-2,-5.2632,2,2,0,0,83,84,1,1.2048
Kanker,104,63,40,1,61,61,2,3.2787,39,40,1,2.5641,1,1,0,0,101,102,3,2.9703
Khairagarh-Chhuikhadan-Gandai,39,21,16,2,21,21,0,0,16,16,0,0,2,2,0,0,39,39,0,0
Kondagaon,56,28,27,1,27,28,1,3.7037,27,27,0,0,1,1,0,0,55,56,1,1.8182
Korba,134,44,28,62,44,44,0,0,28,28,0,0,61,62,1,1.6393,133,134,1,0.7519
Korea,37,16,20,1,14,14,2,14.2857,22,20,-2,-9.0909,1,1,0,0,37,35,0,0
Mahasamund,133,59,73,1,52,59,7,13.4615,72,70,1,1.3889,1,1,0,0,125,130,8,6.4
Manendragarh-Chirmiri-Bharatpur,54,24,29,1,26,26,-2,-7.6923,28,29,1,3.5714,1,1,0,0,55,56,-1,-1.8182
Mohla-Manpur-Ambagarh Chowki,32,30,1,1,29,30,1,3.4483,1,1,0,0,1,1,0,0,31,32,1,3.2258
Mungeli,52,23,28,1,23,23,0,0,28,28,0,0,1,1,0,0,52,52,0,0
Narayanpur,21,7,14,0,7,7,0,0,13,14,1,7.6923,0,0,0,0,20,21,1,5
Raigarh,149,65,28,56,65,65,0,0,27,28,1,3.7037,55,56,1,1.8182,147,149,2,1.3605
Raipur,549,106,69,374,104,106,2,1.9231,67,67,2,2.9851,361,371,13,3.6011,532,544,17,3.1955
Rajnandgaon,131,55,24,52,51,54,4,7.8431,22,24,2,9.0909,54,52,-2,-3.7037,127,130,4,3.1496
Sakti,55,33,22,0,32,33,1,3.125,21,22,1,4.7619,0,0,0,0,53,55,2,3.7736
Sarangarh-Bilaigarh,52,32,20,0,31,32,1,3.2258,18,19,2,11.1111,0,0,0,0,49,51,3,6.1224
Sukma,34,27,7,0,27,27,0,0,6,6,1,16.6667,0,0,0,0,33,33,1,3.0303
Surajpur,90,61,26,3,59,61,2,3.3898,26,26,0,0,3,3,0,0,88,90,2,2.2727
Surguja,104,57,3,44,57,57,0,0,3,3,0,0,44,43,0,0,104,103,0,0
