district,total_deposit,total_advance,overall_cd_ratio,deposits_prev_fy,deposits_prev_quarter,deposits_growth_abs,deposits_growth_pct,advances_prev_fy,advances_prev_quarter,advances_growth_abs,advances_growth_pct,cd_ratio_prev_fy,cd_ratio_prev_quarter,cd_ratio_benchmark
Balod,5962.68,2211.32,37.086,5741.8,5710.79,220.88,3.8469,1975.08,2249.73,236.24,11.961,34.3983,39.3944,40
Baloda Bazar,6837.16,3923.55,57.3857,6327.84,6359.21,509.32,8.0489,3477.27,3884.75,446.28,12.8342,54.9519,61.0886,40
Balrampur,3437.59,1332.62,38.7661,3017.4,3125.65,420.19,13.9256,1131.72,1320.44,200.9,17.7517,37.5065,42.2453,40
Bastar,7531.9,4566.11,60.6236,6416.79,6735.5,1115.11,17.378,3963.58,4475.06,602.53,15.2017,61.7689,66.4399,40
Bemetara,4945.49,2324.04,46.9931,4609.83,4419.59,335.66,7.2814,2039.72,2428.71,284.32,13.9392,44.2472,54.9533,40
Bijapur,1328.22,699.86,52.6916,1160.39,1135.44,167.83,14.4632,602.23,722.9,97.63,16.2114,51.8989,63.6669,40
Bilaspur,31536.11,19798.88,62.7816,29581.04,29062.78,1955.07,6.6092,17136.05,18305.56,2662.83,15.5393,57.9292,62.9863,40
Dantewada,2782.85,3702.66,133.0528,2507.71,2884.52,275.14,10.9718,2529.81,3018.37,1172.85,46.3612,100.8813,104.6403,40
Dhamtari,6252.1,3818.03,61.068,5919.03,5847.12,333.07,5.6271,3341.34,3733.09,476.69,14.2664,56.4508,63.8449,40
Durg,36760.15,21975.78,59.7815,33825.16,34806.27,2934.99,8.6769,19447.94,20994.58,2527.84,12.998,57.4955,60.3184,40
Gariaband,2674.33,1453.58,54.3531,2489.4,2454.09,184.93,7.4287,1237.56,1428.27,216.02,17.4553,49.7132,58.1996,40
Gaurela-Pendra-Marwahi,1630.15,848.88,52.0737,1465.94,1502.06,164.21,11.2017,720,832.01,128.88,17.9,49.1152,55.3913,40
Janjgir-Champa,7524.73,3950.79,52.5041,7148.59,7004.14,376.14,5.2617,3457.48,3908.65,493.31,14.2679,48.3659,55.8049,40
Jashpur,4947.93,2306.21,46.6096,4348,4483.58,599.93,13.7978,2013.05,2272.08,293.16,14.563,46.2983,50.6756,40
Kabirdham,3849.49,2576.25,66.9244,3513.43,3518.12,336.06,9.565,2205.3,2706.85,370.95,16.8208,62.7677,76.9402,40
Kanker,4659.88,2724.13,58.4592,4368.94,4390.28,290.94,6.6593,2382.63,2701.87,341.5,14.3329,54.5357,61.5421,40
Khairagarh-Chhuikhadan-Gandai,1805.28,907.47,50.2675,1731.12,1691.57,74.16,4.2839,758.51,965.25,148.96,19.6385,43.8161,57.0624,40
Kondagaon,2672.91,1620.7,60.6343,2453.76,2477.4,219.15,8.9312,1430,1589.39,190.7,13.3357,58.2779,64.1556,40
Korba,12393.87,8551.16,68.9951,11875.01,12332.99,518.86,4.3693,7259.79,8082.71,1291.37,17.788,61.135,65.5373,40
Korea,2474.56,1784.95,72.132,2291.25,2331.76,183.31,8.0004,1870.82,1799.82,-85.87,-4.59,81.6506,77.1872,40
Mahasamund,6063.19,4385.53,72.3304,5834.01,5635.33,229.18,3.9283,3846.83,4403.52,538.7,14.0037,65.938,78.1413,40
Manendragarh-Chirmiri-Bharatpur,3844.72,1243.94,32.3545,3822.8,3776.8,21.92,0.5734,1156.08,1263.04,87.86,7.5998,30.2417,33.4421,40
Mohla-Manpur-Ambagarh Chowki,1286.75,386.42,30.0307,1202.19,1161.21,84.56,7.0338,313.57,411.19,72.85,23.2325,26.0832,35.4105,40
Mungeli,2788.35,1577.31,56.5679,2639.44,2509.64,148.91,5.6417,1329.01,1573.68,248.3,18.6831,50.352,62.7054,40
Narayanpur,976.08,431.22,44.1788,807.16,869.4,168.92,20.9277,379.08,427.64,52.14,13.7544,46.9647,49.1879,40
Raigarh,11453.18,9326.81,81.4342,10547.78,10885.08,905.4,8.5838,7999.4,9394.75,1327.41,16.5939,75.8397,86.3085,40
Raipur,100732.2,110339.17,109.5371,88212.54,90612.26,12519.66,14.1926,95039.92,108094.03,15299.25,16.0977,107.7397,119.2929,40
Rajnandgaon,8963.41,5435.25,60.6382,8476.28,8826.2,487.13,5.747,4645.01,5387.73,790.24,17.0127,54.8001,61.0425,40
Sakti,3444.08,1565.77,45.4626,3322.74,3035.28,121.34,3.6518,1364.57,1611.3,201.2,14.7446,41.0676,53.0857,40
Sarangarh-Bilaigarh,2625.38,1301.58,49.5768,2493.2,2359.55,132.18,5.3016,1120.19,1334.78,181.39,16.1928,44.9298,56.5693,40
Sukma,1381.93,555.56,40.2017,1151.35,1200.43,230.58,20.0269,479.36,576.45,76.2,15.8962,41.6346,48.0203,40
Surajpur,5532.87,2043.7,36.9374,4975.53,5201.67,557.34,11.2016,1770.43,2021.29,273.27,15.4352,35.5827,38.8585,40
Surguja,9584.74,4454.67,46.4767,8672.09,8958.99,912.65,10.524,3989.83,4399.93,464.84,11.6506,46.0077,49.1119,40
