district,total_atm,atm_rural,atm_semi_urban,atm_urban,atm_rural_prev_fy,atm_rural_prev_q,atm_rural_growth_abs,atm_rural_growth_pct,atm_semi_urban_prev_fy,atm_semi_urban_prev_q,atm_semi_urban_growth_abs,atm_semi_urban_growth_pct,atm_urban_prev_fy,atm_urban_prev_q,atm_urban_growth_abs,atm_urban_growth_pct,atm_total_prev_fy,atm_total_prev_q,atm_total_growth_abs,atm_total_growth_pct
Balod,91,42,46,1,38,42,4,10.5263,48,48,-2,-4.1667,1,1,0,0,87,91,4,4.5977
Baloda Bazar,100,25,74,2,23,25,2,8.6957,69,70,5,7.2464,2,2,0,0,94,97,6,6.383
Balrampur,44,25,19,1,19,25,6,31.5789,18,18,1,5.5556,2,1,-1,-50,39,44,5,12.8205
Bastar,122,36,3,83,34,37,2,5.8824,3,3,0,0,86,88,-3,-3.4884,123,128,-1,-0.813
Bemetara,57,29,27,1,24,24,5,20.8333,32,30,-5,-15.625,1,1,0,0,57,55,0,0
Bijapur,24,13,11,0,11,13,2,18.1818,11,11,0,0,0,0,0,0,22,24,2,9.0909
Bilaspur,318,28,36,254,29,23,-1,-3.4483,37,33,-1,-2.7027,251,262,3,1.1952,317,318,1,0.3155
Dantewada,50,9,41,0,8,9,1,12.5,44,41,-3,-6.8182,0,0,0,0,52,50,-2,-3.8462
Dhamtari,81,26,15,40,26,26,0,0,20,18,-5,-25,43,43,-3,-6.9767,89,87,-8,-8.9888
Durg,455,51,36,368,50,52,1,2,33,35,3,9.0909,376,370,-8,-2.1277,459,457,-4,-0.8715
Gariaband,48,23,24,1,25,25,-2,-8,25,25,-1,-4,1,1,0,0,51,51,-3,-5.8824
Gaurela-Pendra-Marwahi,27,1,25,1,1,1,0,0,24,25,1,4.1667,1,1,0,0,26,27,1,3.8462
Janjgir-Champa,130,40,88,2,35,36,5,14.2857,78,79,10,12.8205,2,2,0,0,115,117,15,13.0435
Jashpur,66,12,49,5,11,11,1,9.0909,47,48,2,4.2553,5,5,0,0,63,64,3,4.7619
Kabirdham,71,20,50,1,18,18,2,11.1111,52,52,-2,-3.8462,1,1,0,0,71,71,0,0
Kanker,76,33,42,1,28,28,5,17.8571,49,48,-7,-14.2857,1,1,0,0,78,77,-2,-2.5641
Khairagarh-Chhuikhadan-Gandai,26,10,14,2,8,10,2,25,15,14,-1,-6.6667,2,2,0,0,25,26,1,4
Kondagaon,50,12,36,2,9,10,3,33.3333,36,39,0,0,2,2,0,0,47,51,3,6.383
Korba,172,26,21,125,22,26,4,18.1818,23,22,-2,-8.6957,131,125,-6,-4.5802,176,173,-4,-2.2727
Korea,45,4,40,1,3,4,1,33.3333,39,40,1,2.5641,2,1,-1,-50,44,45,1,2.2727
Mahasamund,107,40,67,0,33,39,7,21.2121,65,67,2,3.0769,0,0,0,0,98,106,9,9.1837
Manendragarh-Chirmiri-Bharatpur,36,10,25,1,8,10,2,25,26,25,-1,-3.8462,2,1,-1,-50,36,36,0,0
Mohla-Manpur-Ambagarh Chowki,19,17,1,1,15,15,2,13.3333,1,1,0,0,1,1,0,0,17,17,2,11.7647
Mungeli,45,10,33,2,9,10,1,11.1111,31,32,2,6.4516,2,2,0,0,42,44,3,7.1429
Narayanpur,20,1,19,0,1,1,0,0,20,20,-1,-5,0,0,0,0,21,21,-1,-4.7619
Raigarh,160,31,37,92,31,31,0,0,40,39,-3,-7.5,91,90,1,1.0989,162,160,-2,-1.2346
Raipur,774,89,65,620,87,90,2,2.2989,64,60,1,1.5625,643,644,-23,-3.577,794,794,-20,-2.5189
Rajnandgaon,133,22,17,94,22,24,0,0,16,17,1,6.25,94,93,0,0,132,134,1,0.7576
Sakti,48,22,26,0,20,19,2,10,22,27,4,18.1818,0,0,0,0,42,46,6,14.2857
Sarangarh-Bilaigarh,46,16,29,1,15,14,1,6.6667,29,31,0,0,1,1,0,0,45,46,1,2.2222
Sukma,15,6,9,0,7,7,-1,-14.2857,9,8,0,0,0,0,0,,16,15,-1,-6.25
Surajpur,59,20,37,2,16,20,4,25,38,37,-1,-2.6316,2,2,0,0,56,59,3,5.3571
Surguja,112,29,3,80,28,28,1,3.5714,2,3,1,50,81,83,-1,-1.2346,111,114,1,0.9009
