district,Total Branch,No. of KCC issued during quarter (Including renewal),KCC Disbursed Amount during quarter,Total O/S KCC No.,Total O/S KCC Amount.,Number of rupay card Issued,KCC Card activated,No. of KCC for animal husbandary issued during quarter (Including renewal),KCC for animal husbandary Amount disbursed during quarter,AH Total no. of KCC,AH Outstanding amount.,AH Number of rupay card Issued,AH Card activated,No. of KCC for Fishries issued during quarter (including renewal),KCC for Fishery Amount disbursed during quarter,Fishery Total no. of KCC,Fishery Outstanding amount.,Fishery Number of rupay card Issued,Fishery Card activated
Bajali,34,720,"1,130.22","11,854","11,361.02","6,611","2,725",4,5.39,165,204.01,31,30,9,9.51,43,109.96,24,24
Baksa,34,394,506.33,"9,620","7,461.62","5,619","3,939",7,7.11,79,113.06,17,18,4,1.69,36,45.09,17,14
Barpeta,93,"1,603","3,115.91","38,726","38,995.36","22,242","11,837",21,23.61,593,429.97,10,10,13,12.32,155,167.35,21,18
Biswanath,63,673,951.01,"22,356","18,094.16","9,756","7,218",7,6.29,169,175.03,25,22,1,1.6,37,77.97,4,4
Bongaigaon,69,"1,142","2,813.26","16,246","18,592.01","11,479","7,948",1,1.39,101,58.47,15,14,5,10.8,29,58.43,6,4
Cachar,172,794,"1,235.78","44,521","25,789.77","14,539","9,540",7,6.17,158,153.79,8,4,29,18.57,376,450.24,65,65
Charaideo,36,374,372.78,"10,162","7,129.22","4,816","4,659",10,8.87,172,175.05,12,10,2,2.7,16,9.91,2,2
Chirang,36,423,884.11,"11,106","8,947.61","4,638","3,433",-,-,39,56.55,3,3,2,1.26,13,9.26,2,2
Darrang,70,"1,560","3,495.73","29,231","28,946.49","18,302","8,998",16,11.50,378,408.38,31,25,39,15.64,377,663.09,30,28
Dhemaji,51,615,938.63,"25,379","20,942.80","10,119","6,731",4,4.27,400,406.10,25,23,1,3.96,71,89.55,12,12
Dhubri,90,883,"1,315.42","27,251","19,660.83","9,662","6,688",3,1.90,191,211.61,20,20,6,3.07,34,29.47,1,1
Dibrugarh,187,"3,840","4,587.00","58,784","48,132.27","35,748","17,416",21,50.86,202,284.74,34,21,21,16.12,45,61.98,5,5
Dima Hasao,33,19,87.24,"1,429",596.62,186,110,5,4.24,104,82.63,43,35,2,0.57,21,10.39,6,6
Goalpara,71,"1,146","1,989.25","23,250","18,784.44","13,409","10,446",7,8.17,190,161.46,15,12,3,4.59,28,18.96,6,4
Golaghat,126,"1,331","1,924.06","51,961","35,323.97","23,434","11,078",14,16.01,249,204.35,24,18,1,0.77,31,21.47,3,3
Hailakandi,47,332,266.56,"15,822","7,596.37","7,133","4,796",37,49.70,242,276.59,25,25,1,0.69,46,43.01,7,4
Hojai,66,622,917.56,"18,825","13,330.00","6,687","3,822",4,3.87,107,64.90,3,4,-,0.54,47,33.93,-,-
Jorhat,145,"1,398","1,500.56","39,700","22,529.00","20,054","7,481",67,32.29,204,192.13,85,35,3,7.6,59,67.40,6,3
Kamrup Metro,181,"1,866","2,626.93","59,066","45,849.46","35,196","20,173",31,28.01,307,313.24,47,45,56,57.30,101,247.19,13,14
Karbi Anglong,62,524,625.68,"28,872","18,396.85","6,740","3,011",9,11.19,210,191.01,8,6,13,8.74,85,95.20,5,5
Kokrajhar,60,927,"1,807.26","23,487","23,233.59","11,031","9,388",33,38.18,165,168.90,33,33,3,2.83,48,37.97,8,8
Lakhimpur,91,"2,616","3,349.60","54,799","44,342.72","21,371","17,160",5,11.94,257,269.90,26,21,3,1.58,59,86.61,3,1
Majuli,16,162,98.50,"5,687","2,992.10","1,769","1,243",1,-,21,13.97,-,-,3,0.86,99,30.70,1,1
Morigaon,70,980,"1,243.08","34,792","25,616.69","14,501","10,848",34,46.60,481,506.08,157,155,27,15.33,348,533.80,82,82
Nagaon,156,"3,437","5,417.26","73,580","58,438.71","35,517","17,781",39,33.64,482,450.71,201,187,55,62.44,358,393.08,130,118
Nalbari,85,"1,048","1,833.96","27,308","21,458.91","14,607","8,375",35,23.64,662,544.77,131,126,18,20.03,113,95.48,21,18
Sivasagar,106,"1,108","1,564.13","24,676","15,978.32","10,120","5,409",48,46.80,496,438.20,33,17,2,-,187,132.69,78,78
Sonitpur,134,"1,309","2,540.08","25,497","25,194.78","15,476","9,497",11,17.20,295,375.01,72,65,7,2.43,82,111.00,16,15
South Salmara,16,10,7.55,"2,016",918.86,320,298,-,-,8,12.26,-,-,-,-,28,34.04,-,-
Tamulpur,21,182,678.90,"5,939","6,367.05","2,797","1,294",0,0,22,52.50,0,0,7,6.52,12,14.13,3,3
Tinsukia,151,"2,314","3,658.51","38,564","36,181.96","23,879","12,942",18,25.75,356,454.31,74,74,15,18.43,85,106.60,2,4
Udalguri,56,885,894.62,"28,878","20,976.06","14,893","10,714",0,0,99,109.00,6,4,9,1.29,27,86.60,1,1
West Karbi Anglong,21,266,238.80,"10,113","5,293.04",699,267,1,0.73,15,9.77,0,0,-,0,8,1.74,0,0
