district,Total Branch,Agri NPS No,Agri NPS Amt,Education NPS No,Education NPS Amt,Housing NPS No,Housing NPS Amt,Personal Loan No,Personal Loan Amt,Other NPS No,Other NPS Amt,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt.
Bajali,34,15,17.07,1,0.24,3,1.02,122,107.04,"2,404",810.56,"2,545",935.93
Baksa,34,5,15.92,0,0.00,7,14.9,179,267.67,"1,099","1,060.67","1,290","1,359.16"
Barpeta,93,13,15.59,0,0.00,26,112.1,577,581.15,"12,107","4,702.44","12,723","5,411.28"
Biswanath,63,2,0.23,0,0.00,7,12.99,202,118.21,"3,629","1,044.33","3,840","1,175.76"
Bongaigaon,69,5,11.57,0,0.00,16,172.64,333,519.34,"3,839","2,406.32","4,193","3,109.87"
Cachar,172,16,4.33,0,0.00,20,372.39,562,779.96,"15,075","7,007.52","15,673","8,164.20"
Charaideo,36,1,0.00,0,0.00,0,0,66,86.99,748,410.41,815,497.40
Chirang,36,0,0.00,0,0.00,1,22.44,114,90.49,"1,376",408.32,"1,491",521.25
Darrang,70,8,9.40,0,0.00,8,62.16,430,368.21,"8,655","2,871.66","9,101","3,311.43"
Dhemaji,51,1,4.50,0,0.00,7,20.69,233,299.33,"2,078","1,238.49","2,319","1,563.01"
Dhubri,90,7,5.67,0,0.00,4,27.69,484,465.28,"11,816","3,158.66","12,311","3,657.30"
Dibrugarh,187,12,5.90,2,34.76,26,404.68,956,"1,375.06","6,782","5,865.49","7,778","7,685.89"
Dima Hasao,33,0,0.00,0,0.00,0,0,60,98.49,223,301.99,283,400.48
Goalpara,71,2,4.10,0,0.00,5,167.95,272,320.36,"4,802","2,616.34","5,081","3,108.75"
Golaghat,126,10,8.66,0,0.00,17,125.72,379,282.43,"5,381","2,323.56","5,787","2,740.37"
Hailakandi,47,3,2.27,0,0.00,7,9.4,219,228.74,"2,336","1,440.35","2,565","1,680.76"
Hojai,66,6,7.34,1,34.99,5,39.74,264,280.57,"4,907","1,590.14","5,183","1,952.78"
Jorhat,145,6,3.97,1,36.11,52,641.46,686,655.84,"5,608","4,271.49","6,353","5,608.87"
Kamrup,181,6,7.91,0,0.00,23,316.4,742,934.50,"13,529","5,976.42","14,300","7,235.23"
Kamrup Metro,473,8,4.90,1,13.14,238,6217.45,"3,646","5,275.40","24,925","34,990.81","28,818","46,501.70"
Karbi Anglong,62,1,0.02,0,0.00,0,0.00,286,326.99,"1,210",972.73,"1,497","1,299.74"
Kokrajhar,60,3,2.78,0,0.00,5,108.48,454,287.08,"1,895","1,911.01","2,357","2,309.35"
Lakhimpur,91,8,12.86,0,0.00,15,116.27,388,468.62,"8,347","3,711.69","8,758","4,309.44"
Majuli,16,2,4.20,0,0.00,1,2.06,32,28.61,244,230.16,279,265.03
Morigaon,70,7,10.75,0,0.00,12,73.27,307,561.88,"4,195","2,420.88","4,521","3,066.78"
Nagaon,156,17,28.17,1,1.66,41,431.76,681,916.97,"15,205","7,223.50","15,945","8,602.06"
Nalbari,85,1,14.69,0,0.00,19,119.82,489,595.07,"7,858","3,614.55","8,367","4,344.13"
Sivasagar,106,7,15.13,0,0.00,19,217.76,455,935.86,"4,771","3,535.09","5,252","4,703.84"
Sonitpur,134,6,11.66,0,0.00,19,266.03,703,874.09,"7,301","4,479.67","8,029","5,631.45"
South Salmara,16,0,0.00,0,0.00,1,0.2,103,113.66,318,424.60,422,538.46
Sribhumi,95,1,0.68,0,0.00,3,63.95,267,356.25,"6,014","2,602.99","6,285","3,023.87"
Tamulpur,21,0,0.00,0,0.00,0,0,92,131.58,"1,377",358.36,"1,469",489.94
Tinsukia,151,9,5.77,0,0.00,14,98.51,753,725.46,"6,327","8,638.76","7,103","9,468.50"
Udalguri,56,0,0.00,0,0.00,11,236.87,222,255.40,"1,332",956.03,"1,565","1,448.30"
West Karbi Anglong,21,0,0.00,0,0.00,0,0,29,42.34,218,89.57,247,131.91
