District,Total Branch,Agri (PS) Target No.,Agri (PS) Target Amt,Agri (PS) Achieved No.,Agri (PS) Achieved Amt,Agri(PS) Achv% Amt,Crop Loan Target No.,Crop Loan Target Amt,Crop Loan Achieved No.,Crop Loan Achieved Amt,Crop Loan Achv% Amt,Msme (PS) Target No.,Msme (PS) Target Amt,Msme (PS) Achieved No.,Msme (PS) Achieved Amt,Msme (PS) Achv% Amt,Other PS Target No.,Other PS Target Amt,Other PS Achieved No.,Other PS Achieved Amt,Other PS Achv% Amt,Total (PS) Target No.,Total (PS) Target Amt,Total (PS) Achieved No.,Total (PS) Achieved Amt,Total(PS) Achv% Amt
Bajali,34,21795,30315.00,1541,2634.32,8.69,14825,17275.00,511,816.25,4.73,4950,18175.00,413,6925.44,38.10,2131,8130.00,649,1315.76,16.18,28876,56620.00,2603,10875.52,19.21
Baksa,34,85335,33854.00,1142,2502.59,7.39,30169,17384.00,437,722.88,4.16,5967,11254.00,492,5463.28,48.55,11004,2683.00,275,660.57,24.62,102306,47791.00,1909,8626.44,18.05
Barpeta,93,60912,111300.00,5564,15309.54,13.76,17645,22440.00,1831,3132.85,13.96,18493,75645.00,1454,33176.41,43.86,4851,14000.00,3293,4392.42,31.37,84256,200945.00,10311,52878.37,26.31
Biswanath,63,15670,65430.00,2883,6844.88,10.46,2796,23340.00,810,1339.92,5.74,7309,30990.00,669,8113.14,26.18,3438,14700.00,1298,1706.86,11.61,26417,111120.00,4850,16664.88,15.00
Bongaigaon,69,57554,68673.47,3664,7380.98,10.75,31151,31301.17,1135,2943.16,9.40,16196,60000.00,1162,28869.62,48.12,3284,15100.00,1694,2335.69,15.47,77034,143773.47,6520,38586.29,26.84
Cachar,172,71287,101724.00,6316,11072.34,10.88,41034,34738.90,1007,1632.17,4.70,28810,146276.72,2677,69732.42,47.67,45070,36276.08,7023,5426.17,14.96,145167,284276.80,16016,86230.93,30.33
Charaideo,36,14441,32512.00,1694,2494.35,7.67,6790,10450.00,537,574.74,5.50,2899,14721.00,508,4535.58,30.81,2242,2521.00,463,645.20,25.59,19582,49754.00,2665,7675.13,15.43
Chirang,36,36395,39566.98,1786,3133.93,7.92,22002,26297.12,532,1275.13,4.85,2384,22197.00,464,7721.72,34.79,2618,4819.93,1008,1471.02,30.52,41397,66583.91,3258,12326.67,18.51
Darrang,70,40342,55688.40,5217,11754.95,21.11,23523,27946.23,1362,2368.15,8.47,35972,60598.86,1075,20102.21,33.17,3950,7628.56,1684,2613.79,34.26,80264,123915.82,7976,34470.95,27.82
Dhemaji,51,37915,57984.77,2942,5023.66,8.66,31150,40881.79,988,1458.50,3.57,4306,24558.60,967,10729.49,43.69,1520,7901.65,1082,2911.37,36.85,43741,90445.02,4991,18664.52,20.64
Dhubri,90,70001,70415.04,4373,7279.90,10.34,20391,15471.60,1131,1996.52,12.90,5942,55252.83,1635,28133.94,50.92,7564,41865.52,3839,4698.12,11.22,83507,167533.39,9847,40111.96,23.94
Dibrugarh,187,56580,165254.00,12592,23999.00,14.52,25210,57367.00,7382,4481.84,7.81,13850,228700.00,2714,64991.38,28.42,3345,73110.00,1924,3796.45,5.19,73775,467064.00,17230,92786.83,19.87
Dima Hasao,33,21176,23545.57,169,467.95,1.99,13037,13876.68,25,56.21,0.41,2765,8378.04,430,1157.16,13.81,872,2473.48,68,156.15,6.31,24813,34397.09,667,1781.26,5.18
Goalpara,71,35191,60670.73,3045,7148.12,11.78,24911,46029.79,1262,2686.77,5.84,10042,28932.06,879,16394.85,56.67,7938,16379.64,2231,3080.52,18.81,53171,105982.43,6155,26623.49,25.12
Golaghat,126,59691,123905.66,6020,12888.09,10.40,22304,82044.36,1826,2060.88,2.51,2864,60558.96,1443,18871.95,31.16,3526,9779.00,1943,2336.93,23.90,66081,194243.62,9406,34096.97,17.55
Hailakandi,47,13812,28223.00,1486,2352.36,8.33,7075,11610.00,408,374.32,3.22,2258,21158.00,618,5121.93,24.21,7740,21983.00,1256,1038.27,4.72,23810,71364.00,3360,8512.56,11.93
Hojai,66,21410,46890.52,2547,4475.71,9.55,16272,34190.68,728,1036.00,3.03,5252,68889.45,1107,19163.71,27.82,3980,6977.08,2040,2280.76,32.69,30642,122757.05,5694,25920.18,21.12
Jorhat,145,70759,127861.78,5564,21231.20,16.60,39407,37000.00,1736,1957.92,5.29,11191,152709.00,1827,61193.94,40.07,5795,15150.00,2482,3927.73,25.93,87745,295720.78,9873,86352.87,29.20
Kamrup Metro,181,109978,149404.07,9751,13915.26,9.31,74083,39425.42,2104,3190.33,8.09,52263,95884.36,2153,55095.26,57.46,5777,24657.84,3952,5161.98,20.93,168018,269946.27,15856,74172.50,27.48
Karbi Anglong,62,71279,79602.55,1540,2424.42,3.05,54697,54353.87,639,558.56,1.03,5231,27728.05,771,8660.72,31.23,4662,15980.31,738,1355.87,8.48,81172,123310.91,3049,12441.01,10.09
Kokrajhar,60,53539,59558.00,4469,6585.72,11.06,7969,10159.00,1358,2255.40,22.20,9901,19600.00,859,11248.31,57.39,2124,4292.00,2068,3057.79,71.24,65564,83450.00,7396,20891.82,25.04
Lakhimpur,91,57593,105640.06,6958,9725.70,9.21,39740,74322.00,4017,2899.56,3.90,13232,99260.00,1547,26991.24,27.19,4077,10675.00,2187,4122.54,38.62,74902,215575.06,10692,40839.48,18.94
Majuli,16,36472,29092.00,794,1113.63,3.83,30760,25060.00,216,352.57,1.41,1170,3161.00,226,872.79,27.61,751,3369.00,320,961.49,28.54,38393,35622.00,1340,2947.91,8.28
Morigaon,70,91781,72081.00,3142,4698.15,6.52,67882,34206.00,1115,1130.52,3.31,2554,27574.00,1015,7430.04,26.95,5776,18501.00,1285,1575.46,8.52,100111,118156.00,5442,13703.65,11.60
Nagaon,156,102692,156632.20,12675,16495.19,10.53,67335,74177.00,6167,3725.73,5.02,47574,139971.97,2589,57297.00,40.93,11053,22109.62,3870,5150.29,23.29,161319,318713.79,19134,78942.48,24.77
Nalbari,85,25078,72585.00,3801,8052.49,11.09,9670,14505.00,1144,1976.38,13.63,5145,51450.00,1167,21466.92,41.72,2765,10535.00,1644,2904.01,27.57,32988,134570.00,6612,32423.42,24.09
Sivasagar,106,42615,72946.55,4426,7031.94,9.64,10175,17454.86,1293,1496.63,8.57,9580,77369.00,1456,30580.58,39.53,7216,11335.00,1312,1844.53,16.27,59411,161650.55,7194,39457.05,24.41
Sonitpur,134,17900,96705.00,6084,14448.91,14.94,3269,10984.00,1255,1844.14,16.79,17405,104300.00,2295,51169.95,49.06,4229,52570.00,2283,4762.42,9.06,39534,253575.00,10662,70381.28,27.76
South Salmara,16,4383,5160.54,163,300.22,5.82,501,610.00,37,121.33,19.89,4102,6275.00,165,1621.88,25.85,1274,2265.00,246,512.36,22.62,9759,13700.54,574,2434.46,17.77
