District,Total Branch,No. Of New Crop kcc issued during quarter,New Crop KCC Amount disbursed during quarter (Rs. in Lakhs),No. of Crop KCC Renewed During the quarter,Crops KCC Renewed Amount During the quarter (Rs. in Lakhs),Out of total no. of Active Crops KCC (Since Inception),Crops Kcc Total Active Amount(Rs. in Lakhs),Crops KCC NPA No at the end of current quarter,Crops KCC NPA Amt at the end of current quarter (Since Inception) (Rs. in Lakhs),No. of New KCC for animal husbandary issued during quarter,KCC for Animal Husbandry Amount disbursed during quarter (Rs. in Lakhs),No Renewal KCC for animal husbandary as on end of current quarter,KCC for animal husbandary Outstanding Renewal amount. as on end of current quarter (Rs. in Lakhs),KCC for Animal Husbandry Total no. of Active KCC for animal husbandary (Since Inception),KCC for Animal Husbandry Total Active Amount(Rs. in Lakhs),KCC for Animal Husbandry NPA No at the end of current quarter,KCC for Animal Husbandry NPA Amt at the end of current quarter (Since Inception) (Rs. in Lakhs),No. of New KCC for fishries issued during quarter,KCC for Fishries New KCC Amount disbursed during quarter (Rs. in Lakhs),Total no. of KCC for fishries as on end of current quarter,KCC for Fishries No. of KCC Renewed During the quarter Amount (Rs. in Lakhs),KCC for Fishries Total no. of Active KCC for fishries (Since Inception),KCC for Fishries Total Active Amount(Rs. in Lakhs),KCC for Fisheries NPA No at the end of current quarter,KCC for Fisheries NPA Amt at the end of current quarter (Since Inception) (Rs. in Lakhs)
Bajali,34,209,448.14,"1,269",968.70,"6,970","8,130","2,834","1,805.83",2,2.32,4,3.66,206,154.62,1,0.31,0,0.21,12,17.16,58,123.07,3,26.22
Baksa,34,78,46.4,880,654.73,"8,168","6,157","3,043","1,579.23",5,5.13,15,18.53,51,55.92,6,5.12,0,4.7,5,6.11,26,35.33,4,9.56
Barpeta,93,369,553.57,2774,"2,481.47",29669,28070.42,"17,799","12,133.39",8,9.62,37,30.33,610,475.06,362,253.28,0,18.75,65,68.97,106,846.47,8,5.72
Biswanath,63,115,426.22,"1,985","1,507.97","16,297","14,227","10,048","6,402.01",11,13.87,23,73.11,349,688.6,44,50.68,0,0,0,0,18,34.47,3,4.64
Bongaigaon,69,395,"1,176.35",781,"1,361.17","13,589","16,106",4906,3134.43,1,6.04,10,20.91,1348,702.26,18,8.59,0,9.7,1,0.41,1273,648.24,6,3.97
Cachar,172,237,303.03,"1,341","1,324.98","39,550","21,421",23292,12129.21,8,17.01,38,16.14,394,273.51,20,20.96,0,16.19,1,6,573,578.21,79,152.57
Charaideo,36,165,175.81,359,315.42,"9,435","6,692",1474,907.39,4,6.63,2,1.35,131,117.4,24,19.4,0,1.5,0,0,10,6.27,0,0
Chirang,36,87,132.28,538,892.00,"9,411","8,134",5818,3179.95,-,-,1,1.55,20,42.44,6,5.22,0,0.71,0,0,11,6.72,2,1.93
Darrang,70,678,1461.58,2558,"2,534.16","21,524","21,222",11084,7201.89,3,3.46,15,13.68,484,419.69,220,262.24,0,12.2,9,14.88,510,659.31,97,283.95
Dhemaji,51,111,190.81,708,662.13,"18,830","15,193","10,599","7,465.93",5,9.76,33,71.12,654,696.54,34,38.83,0,0.96,1,0.91,83,99.82,11,21.47
Dhubri,90,381,543.54,894,902.00,"22,894","17,307","17,032","8,903.71",5,5.13,4,2.97,84,71.26,23,14.11,0,0.91,2,1.41,27,21.77,3,2.72
Dibrugarh,187,461,644.28,"3,270","3,344.54","49,394","40,233","24,699","15,272.84",73,255.68,79,367.83,784,2285.62,27,60.6,0,0.63,3,28.79,243,223.42,10,6.93
Dima Hasao,33,8,13.34,4,7.83,996,384,186,36.53,4,4.24,0,0,101,80.91,0,0.00,0,0.56,0,0,14,7.26,2,1.41
Goalpara,71,380,"1,099.78","1,216",780.41,"20,739","16,713",8740,4325.16,10,4.76,5,3.63,115,93.14,4,2.43,0,2.65,2,2.42,74,59.58,7,4.69
Golaghat,126,503,749.57,1109,1085.16,42115,28960.52,23534,12107.82,55,100.39,33,148.15,522,1014.96,59,101.23,0,0,1,0.21,87,47.71,10,6.04
