District,Total Branch,Agri NPS No.,Agri NPS Amt,Education NPS No.,Education NPS Amt,Housing NPS No.,Housing NPS Amt,Personal Loan No.,Personal Loan Amt,Other NPS No.,Other NPS Amt,Tot NPS O/S No.,Tot NPS O/S Amt,Tot Non Prio Sec NPA No.,Tot Non Prio Sec NPA Amt,NPS NPA Amt.%
Bajali,34,44,89.06,1,53.67,"1,054","9,548.32","2,574","5,503.38","20,116","55,580.41","23,789","70,774.84","2,545",935.93,1.32
Baksa,34,9,24.54,8,145.17,459,"4,204.03","1,672","4,009.89","10,363","30,873.98","12,511","39,257.61","1,290","1,359.16",3.46
Barpeta,93,133,274.57,21,483.47,"2,260","20,937.63","9,827","18,663.99","66,840","151,004.17","79,081","191,363.83","12,723","5,411.28",2.83
Biswanath,63,18,578.65,11,249.80,"1,191","8,445.00","3,479","6,174.79","24,833","56,851.70","29,532","72,299.94","3,840","1,175.76",1.63
Bongaigaon,69,108,101.62,16,416.77,"2,488","26,939.63","8,702","20,910.67","43,627","130,439.70","54,941","178,808.39","4,193","3,109.87",1.74
Cachar,172,50,15.61,24,523.65,"3,205","32,475.99","15,444","29,765.12","124,447","251,160.10","143,170","313,940.47","15,673","8,164.20",2.60
Charaideo,36,2,1.31,1,39.01,372,"3,178.10","1,701","2,905.12","11,653","34,647.49","13,729","40,771.03",815,497.40,1.22
Chirang,36,0,0.00,1,6.40,731,"5,003.11","1,917","3,184.96","14,138","43,943.41","16,787","52,137.88","1,491",521.25,1.00
Darrang,70,35,71.38,8,186.64,"1,776","11,958.28","6,781","11,765.58","43,085","89,129.87","51,685","113,111.75","9,101","3,311.43",2.93
Dhemaji,51,21,79.68,6,117.75,"1,983","10,227.24","4,797","11,452.79","28,830","89,333.69","35,637","111,211.15","2,319","1,563.01",1.41
Dhubri,90,66,105.24,4,107.35,"1,879","11,698.87","6,724","11,815.23","59,827","116,775.97","68,500","140,502.66","12,311","3,657.30",2.60
Dibrugarh,187,225,715.91,45,1397.46,"5,474","66,982.78","22,128","57,929.97","107,802","390,332.26","135,674","517,358.38","7,778","7,685.89",1.49
Dima Hasao,33,0,0.00,4,119.21,198,"1,924.30","3,392","12,957.30","9,750","38,279.53","13,344","53,280.34",283,400.48,0.75
Goalpara,71,13,35.35,4,70.83,"1,088","5,762.47","5,119","8,584.97","37,572","91,658.34","43,796","106,111.96","5,081","3,108.75",2.93
Golaghat,126,57,932.19,9,331.47,"2,814","21,948.16","8,466","19,596.37","65,863","220,407.78","77,209","263,215.97","5,787","2,740.37",1.04
Hailakandi,47,12,28.42,0,6.11,687,"3,932.24","3,020","5,536.01","17,941","44,173.80","21,660","53,676.58","2,565","1,680.76",3.13
Hojai,66,11,25.50,4,113.76,837,"8,186.55","6,131","10,704.94","38,548","77,878.12","45,531","96,908.87","5,183","1,952.78",2.02
Jorhat,145,60,324.41,40,1196.34,"7,406","62,890.07","15,319","36,497.58","88,643","240,232.71","111,468","341,141.11","6,353","5,608.87",1.64
Kamrup Metro,181,110,117.63,35,705.10,"5,143","50,903.85","13,532","26,487.01","93,847","254,923.84","112,667","333,137.43","14,300","7,235.23",2.17
Karbi Anglong,62,12,256.35,4,141.23,689,"3,964.37","6,533","22,526.02","26,424","87,770.82","33,662","114,658.79","1,497","1,299.74",1.13
Kokrajhar,60,17,1384.25,10,282.56,"1,551","16,213.89","5,162","11,163.45","37,103","116,641.48","43,843","145,685.63","2,357","2,309.35",1.59
Lakhimpur,91,26,74.30,13,318.30,"2,838","25,629.11","8,974","23,473.07","57,249","155,176.60","69,100","204,671.38","8,758","4,309.44",2.11
Majuli,16,3,8.85,0,0.00,300,"2,145.50","1,725","5,646.24","5,020","17,688.49","7,048","25,489.08",279,265.03,1.04
Morigaon,70,128,225.22,4,74.28,996,"8,261.16","5,549","17,265.87","26,734","56,691.90","33,411","82,518.43","4,521","3,066.78",3.72
Nagaon,156,156,389.84,36,829.49,"4,090","40,473.79","11,723","30,430.57","102,449","255,941.66","118,454","328,065.35","15,945","8,602.06",2.62
Nalbari,85,16,38.63,10,205.55,"3,074","27,014.39","7,374","20,587.74","45,178","109,583.97","55,652","157,430.28","8,367","4,344.13",2.76
Sivasagar,106,99,1092.76,24,666.87,"2,871","24,670.60","10,605","24,810.85","71,720","190,426.67","85,319","241,667.75","5,252","4,703.84",1.95
Sonitpur,134,81,402.53,29,809.47,"4,748","56,064.59","13,023","28,367.48","75,910","209,257.90","93,791","294,901.97","8,029","5,631.45",1.91
South Salmara,16,1,4.57,0,0.00,259,417.61,"1,304","1,294.21","4,584","11,780.24","6,148","13,496.63",422,538.46,3.99
Tamulpur,21,4,10.92,0,0.00,300,980.69,"1,211","2,099.21","8,038","21,476.19","9,553","24,567.01","1,469",489.94,1.99
Tinsukia,151,63,1255.43,18,390.53,"3,077","36,231.26","13,471","30,119.30","69,088","192,356.38","85,717","260,352.90","7,103","9,468.50",3.64
Udalguri,56,8,35.77,9,176.43,"1,973","6,791.55","2,998","4,381.89","22,464","74,735.25","27,452","86,120.89","1,565","1,448.30",1.68
West Karbi Anglong,21,1,1.50,1,11.98,81,109.20,"1,059","4,179.53","4,274","14,972.15","5,416","19,274.36",247,131.91,0.68
