District,Total Branch,Sishu No.,Sishu amt,Kishore no,Kishore Amt,Tarun No.,Tarun Amt,Tarun Plus No.,Tarun Plus Amt,Total MUDRA Disb No.,Total MUDRA Disb Amt
Bajali,34,526,202.44,749,895.02,59,398.43,1,12.00,"1,335","1,507.89"
Baksa,34,317,140.72,406,539.88,70,334.78,-,-,793,"1,015.38"
Barpeta,93,2542,1004.92,"3,142","3,885.63",219,"1,474.96",4,25.39,"5,907","6,390.90"
Biswanath,63,1260,456.1,"1,510","1,809.92",49,393.07,-,-,"2,816","2,657.59"
Bongaigaon,69,1667,641.37,"1,679","2,053.85",97,662.27,2,22.20,"3,445","3,379.69"
Cachar,172,6328,2427.51,"8,321","9,989.71",227,"1,592.18",6,85.64,"14,882","14,095.04"
Charaideo,36,985,348.2,549,782.38,63,388.39,1,14.78,"1,598","1,533.75"
Chirang,36,815,320.83,934,"1,105.20",56,320.77,-,-,"1,805","1,746.80"
Darrang,70,2064,791.57,"2,309","2,716.34",106,782.30,3,27.51,"4,482","4,317.72"
Dhemaji,51,943,370.54,980,"1,774.37",111,796.29,4,28.84,"2,038","2,970.04"
Dhubri,90,2648,1106.98,"3,255","3,916.11",106,601.81,1,19.16,"6,010","5,644.06"
Dibrugarh,187,3242,1142.62,"3,451","4,582.10",212,"1,483.77",13,172.86,"6,918","7,381.35"
Dima Hasao,33,242,119.46,72,172.46,29,183.27,-,-,343,475.19
Goalpara,71,1677,656.02,"1,494","1,959.99",104,636.26,1,10.02,"3,276","3,262.29"
Golaghat,126,"2,311",894,"2,993","3,796.37",148,981.60,2,13.33,"5,444","5,680.51"
Hailakandi,47,1106,426.67,"1,369","1,511.83",50,288.37,3,37.69,"2,528","2,264.56"
Hojai,66,1647,655.19,"1,778","2,366.20",141,976.83,1,16.00,"3,567","4,014.22"
Jorhat,145,2183,830,"2,991","3,683.24",165,"1,116.90",1,9.61,"5,335","5,637.25"
Kamrup Metro,181,4120,1636.54,"5,756","7,044.02",260,"1,677.32",5,63.46,"10,139","10,420.34"
Karbi Anglong,62,730,302.93,538,854.76,91,678.90,1,19.08,"1,345","1,848.17"
Kokrajhar,60,2123,866.74,"2,021","2,281.92",77,532.87,1,15.75,"4,220","3,696.28"
Lakhimpur,91,1418,551.94,"2,449","3,238.87",147,"1,062.72",2,38.37,"4,010","4,888.90"
Majuli,16,446,154.36,121,172.16,16,96.44,-,-,583,422.96
Morigaon,70,1155,475.9,"2,064","2,530.47",67,491.85,1,12.50,"3,286","3,510.22"
Nagaon,156,4151,1680.84,"6,206","7,117.96",268,"1,779.20",4,62.16,"10,625","10,638.16"
Nalbari,85,1624,641.61,"2,265","2,541.32",111,792.92,-,-,"3,993","3,972.35"
Sivasagar,106,1589,577.64,"2,447","3,137.17",129,821.62,-,-,"4,163","4,535.53"
Sonitpur,134,3093,1183.28,"3,697","4,713.34",223,"1,578.57",5,77.04,"7,003","7,544.73"
South Salmara,16,16,5.01,84,239.02,10,70.32,-,-,110,314.35
Tamulpur,21,218,92.67,474,563.50,21,165.26,-,-,713,821.43
Tinsukia,151,"1,914",699,"1,995","2,994.89",279,"1,883.01",3,39.04,"4,172","5,605.96"
Udalguri,56,1170,471.18,770,"1,063.81",52,431.18,7,86.04,"1,997","2,051.21"
West Karbi Anglong,21,4,1.52,48,92.91,12,95.16,-,-,64,189.59
